step,epoch,train_loss,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
9,0,3.2200520038604736,,,,,,,,,,
19,0,2.188390016555786,,,,,,,,,,
29,0,1.6885064840316772,,,,,,,,,,
39,0,2.5431230068206787,,,,,,,,,,
49,0,2.9605727195739746,,,,,,,,,,
50,0,,0.1858554184436798,0.7360013723373413,2.365067720413208,0.22170409560203552,0.11304347962141037,,,,,
59,1,1.4392496347427368,,,,,,,,,,
69,1,2.1082637310028076,,,,,,,,,,
79,1,1.5808653831481934,,,,,,,,,,
89,1,1.4815776348114014,,,,,,,,,,
99,1,2.0408105850219727,,,,,,,,,,
101,1,,0.27178430557250977,0.7662299871444702,2.115678548812866,0.3196054995059967,0.1826086938381195,,,,,
109,2,1.8563108444213867,,,,,,,,,,
119,2,1.3264669179916382,,,,,,,,,,
129,2,1.8175973892211914,,,,,,,,,,
139,2,1.7101056575775146,,,,,,,,,,
149,2,1.4243203401565552,,,,,,,,,,
152,2,,0.3378499150276184,0.784497082233429,2.015720844268799,0.3599253296852112,0.239130437374115,,,,,
159,3,1.6060676574707031,,,,,,,,,,
169,3,1.7483556270599365,,,,,,,,,,
179,3,1.5744298696517944,,,,,,,,,,
189,3,1.7892050743103027,,,,,,,,,,
199,3,2.091829538345337,,,,,,,,,,
203,3,,0.373528391122818,0.7969067692756653,1.961058259010315,0.3986216187477112,0.2652173936367035,,,,,
209,4,1.689786672592163,,,,,,,,,,
219,4,1.8152172565460205,,,,,,,,,,
229,4,1.7875652313232422,,,,,,,,,,
239,4,1.6783571243286133,,,,,,,,,,
249,4,1.2564034461975098,,,,,,,,,,
254,4,,0.38419097661972046,0.7994663715362549,1.915804386138916,0.4096486270427704,0.27391305565834045,,,,,
255,5,,,,,,,0.38419097661972046,0.27391305565834045,0.4096486270427704,1.915804386138916,0.7994663715362549
