step,train_loss,epoch,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,3.0674498081207275,0,,,,,,,,,,
19,1.7584335803985596,0,,,,,,,,,,
29,1.3114858865737915,0,,,,,,,,,,
39,1.5546642541885376,0,,,,,,,,,,
49,1.9823647737503052,0,,,,,,,,,,
49,,0,0.40243902802467346,0.5882110595703125,0.5645304322242737,1.762081503868103,0.8686336278915405,,,,,
59,1.405306339263916,1,,,,,,,,,,
69,1.1537578105926514,1,,,,,,,,,,
79,1.3412504196166992,1,,,,,,,,,,
89,2.0189921855926514,1,,,,,,,,,,
99,2.18326735496521,1,,,,,,,,,,
99,,1,0.4268292784690857,0.602264404296875,0.5744045376777649,1.6350408792495728,0.874659538269043,,,,,
109,1.4342215061187744,2,,,,,,,,,,
119,1.3197622299194336,2,,,,,,,,,,
129,0.8529374003410339,2,,,,,,,,,,
139,0.9060341715812683,2,,,,,,,,,,
149,1.1111741065979004,2,,,,,,,,,,
149,,2,0.41056910157203674,0.597564697265625,0.5694167613983154,1.5963554382324219,0.8734968900680542,,,,,
159,1.962923288345337,3,,,,,,,,,,
169,1.4466580152511597,3,,,,,,,,,,
179,1.2280513048171997,3,,,,,,,,,,
189,1.2440235614776611,3,,,,,,,,,,
199,2.0277516841888428,3,,,,,,,,,,
199,,3,0.42276424169540405,0.603607177734375,0.5754594206809998,1.5616097450256348,0.8755319118499756,,,,,
209,1.0038316249847412,4,,,,,,,,,,
219,1.6246527433395386,4,,,,,,,,,,
229,1.385204553604126,4,,,,,,,,,,
239,0.9304426908493042,4,,,,,,,,,,
249,1.2057089805603027,4,,,,,,,,,,
249,,4,0.434959352016449,0.607330322265625,0.5805985331535339,1.5669306516647339,0.878420352935791,,,,,
250,,5,,,,,,0.607330322265625,0.5805985331535339,0.878420352935791,1.5669306516647339,0.434959352016449
