step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
9,0,2.7195515632629395,,,,,,,,,,
19,0,2.8155643939971924,,,,,,,,,,
29,0,2.5504777431488037,,,,,,,,,,
39,0,1.752767562866211,,,,,,,,,,
49,0,2.239196538925171,,,,,,,,,,
55,0,,0.7389129400253296,0.22144170105457306,0.17455486953258514,2.21805739402771,0.08805031329393387,,,,,
59,1,2.027740716934204,,,,,,,,,,
69,1,2.303927421569824,,,,,,,,,,
79,1,1.1894176006317139,,,,,,,,,,
89,1,2.2470574378967285,,,,,,,,,,
99,1,2.546247959136963,,,,,,,,,,
109,1,2.1519901752471924,,,,,,,,,,
111,1,,0.7709527015686035,0.3123757839202881,0.285238653421402,2.051252603530884,0.18238992989063263,,,,,
119,2,2.2310097217559814,,,,,,,,,,
129,2,2.1581180095672607,,,,,,,,,,
139,2,1.891749620437622,,,,,,,,,,
149,2,1.4045144319534302,,,,,,,,,,
159,2,1.5559180974960327,,,,,,,,,,
167,2,,0.7956551313400269,0.37853261828422546,0.34959858655929565,1.921860933303833,0.2515723407268524,,,,,
169,3,1.9652190208435059,,,,,,,,,,
179,3,1.4826593399047852,,,,,,,,,,
189,3,1.7455095052719116,,,,,,,,,,
199,3,1.786344289779663,,,,,,,,,,
209,3,1.953207015991211,,,,,,,,,,
219,3,2.3195741176605225,,,,,,,,,,
223,3,,0.7944201231002808,0.37456125020980835,0.3476226031780243,1.867357611656189,0.2515723407268524,,,,,
229,4,1.0754735469818115,,,,,,,,,,
239,4,1.2470983266830444,,,,,,,,,,
249,4,1.5398508310317993,,,,,,,,,,
259,4,1.3793290853500366,,,,,,,,,,
269,4,0.6935765147209167,,,,,,,,,,
279,4,1.6745778322219849,,,,,,,,,,
279,4,,0.8080374002456665,0.3973081707954407,0.37227004766464233,1.800966501235962,0.28930819034576416,,,,,
280,5,,,,,,,0.28930819034576416,0.3973081707954407,1.800966501235962,0.8080374002456665,0.37227004766464233
