train_loss,step,epoch,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em
0.4976045787334442,9,0,,,,,,,,,,
0.32257553935050964,19,0,,,,,,,,,,
0.1339750438928604,29,0,,,,,,,,,,
0.16368572413921356,39,0,,,,,,,,,,
0.10601283609867096,49,0,,,,,,,,,,
0.1599804013967514,59,0,,,,,,,,,,
0.08043583482503891,69,0,,,,,,,,,,
0.12722022831439972,79,0,,,,,,,,,,
0.07519078999757767,89,0,,,,,,,,,,
,94,0,0.9312986135482788,0.7200450301170349,0.7021514177322388,0.6675900220870972,0.09487318247556686,,,,,
0.07051598280668259,99,1,,,,,,,,,,
0.04828779771924019,109,1,,,,,,,,,,
0.07289011031389236,119,1,,,,,,,,,,
0.042344097048044205,129,1,,,,,,,,,,
0.08196503669023514,139,1,,,,,,,,,,
0.04883900657296181,149,1,,,,,,,,,,
0.05418013781309128,159,1,,,,,,,,,,
0.30618950724601746,169,1,,,,,,,,,,
0.09464801847934723,179,1,,,,,,,,,,
0.12276492267847061,189,1,,,,,,,,,,
,189,1,0.9393014311790466,0.748917281627655,0.7336328625679016,0.7036011219024658,0.08430600166320801,,,,,
0.07703638076782227,199,2,,,,,,,,,,
0.09533946961164474,209,2,,,,,,,,,,
0.06098664179444313,219,2,,,,,,,,,,
0.04415395110845566,229,2,,,,,,,,,,
0.07565314322710037,239,2,,,,,,,,,,
0.027908869087696075,249,2,,,,,,,,,,
0.09548790007829666,259,2,,,,,,,,,,
0.059438418596982956,269,2,,,,,,,,,,
0.048796892166137695,279,2,,,,,,,,,,
,284,2,0.9419276118278503,0.7563900947570801,0.7445395588874817,0.7174515128135681,0.07948298007249832,,,,,
0.05699871852993965,289,3,,,,,,,,,,
0.03984193503856659,299,3,,,,,,,,,,
0.053227249532938004,309,3,,,,,,,,,,
0.06685458868741989,319,3,,,,,,,,,,
0.29051473736763,329,3,,,,,,,,,,
0.05882835388183594,339,3,,,,,,,,,,
0.07416950166225433,349,3,,,,,,,,,,
0.0615118183195591,359,3,,,,,,,,,,
0.04898405075073242,369,3,,,,,,,,,,
0.046226248145103455,379,3,,,,,,,,,,
,379,3,0.9439451694488525,0.7630986571311951,0.7526598572731018,0.7257617712020874,0.07323134690523148,,,,,
0.05993950739502907,389,4,,,,,,,,,,
0.03510551527142525,399,4,,,,,,,,,,
0.04558797925710678,409,4,,,,,,,,,,
0.25025326013565063,419,4,,,,,,,,,,
0.053740035742521286,429,4,,,,,,,,,,
0.0262606143951416,439,4,,,,,,,,,,
0.0889197513461113,449,4,,,,,,,,,,
0.04946576803922653,459,4,,,,,,,,,,
0.06692790985107422,469,4,,,,,,,,,,
,474,4,0.946667492389679,0.7731615304946899,0.7658335566520691,0.7396121621131897,0.07205530256032944,,,,,
,475,5,,,,,,0.7658335566520691,0.07205530256032944,0.946667492389679,0.7731615304946899,0.7396121621131897
