epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,test_loss
0,1.06071937084198,9,,,,,,
0,0.30854663252830505,19,,,,,,
0,0.38321158289909363,29,,,,,,
0,0.4581622779369354,39,,,,,,
0,0.31461232900619507,49,,,,,,
0,0.6296140551567078,59,,,,,,
0,0.4702252745628357,69,,,,,,
0,0.6118257641792297,79,,,,,,
0,0.4512121081352234,89,,,,,,
0,0.837207555770874,99,,,,,,
0,,102,0.4667312204837799,0.29646018147468567,0.8490386009216309,0.5295998454093933,0.14659826457500458,
1,0.5525778532028198,109,,,,,,
1,1.9984441995620728,119,,,,,,
1,0.9445877075195312,129,,,,,,
1,0.1002090722322464,139,,,,,,
1,0.80324786901474,149,,,,,,
1,0.11967156082391739,159,,,,,,
1,nan,169,,,,,,
1,0.186607226729393,179,,,,,,
1,0.3469620943069458,189,,,,,,
1,0.5302854180335999,199,,,,,,
1,,205,0.509651243686676,0.38053098320961,0.8638607263565063,0.5566222071647644,0.15085038542747498,
2,0.13563477993011475,209,,,,,,
2,0.19546207785606384,219,,,,,,
2,0.15360039472579956,229,,,,,,
2,0.25385433435440063,239,,,,,,
2,0.14823341369628906,249,,,,,,
2,0.0897321030497551,259,,,,,,
2,0.2842997908592224,269,,,,,,
2,0.12740249931812286,279,,,,,,
2,0.5742348432540894,289,,,,,,
2,0.17242828011512756,299,,,,,,
2,,308,0.5369792580604553,0.39380529522895813,0.8691455125808716,0.5823495388031006,0.15316855907440186,
3,0.06835687160491943,309,,,,,,
3,0.07833518832921982,319,,,,,,
3,0.2177172601222992,329,,,,,,
3,0.0608615018427372,339,,,,,,
3,0.24168212711811066,349,,,,,,
3,0.08928146958351135,359,,,,,,
3,0.07071825116872787,369,,,,,,
3,0.2275245487689972,379,,,,,,
3,0.02052990347146988,389,,,,,,
3,0.09165056049823761,399,,,,,,
3,0.2586277723312378,409,,,,,,
3,,411,0.5318208932876587,0.39380529522895813,0.8701179623603821,0.5693997144699097,0.1611146777868271,
4,0.06792638450860977,419,,,,,,
4,0.13247840106487274,429,,,,,,
4,0.2973194420337677,439,,,,,,
4,0.04301673546433449,449,,,,,,
4,0.029766304418444633,459,,,,,,
4,0.028860343620181084,469,,,,,,
4,0.0487019382417202,479,,,,,,
4,0.20339791476726532,489,,,,,,
4,0.03026180900633335,499,,,,,,
4,0.047537777572870255,509,,,,,,
4,,514,0.5401787757873535,0.40265485644340515,0.8719866871833801,0.576476514339447,0.17949017882347107,
5,,515,,,,,,0.17949017882347107
