step,train_loss,epoch,val_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,val_qa_em,test_loss
9,0.5459082126617432,0,,,,,,
19,0.7126978635787964,0,,,,,,
29,0.6627036929130554,0,,,,,,
39,0.28827840089797974,0,,,,,,
49,0.4085853099822998,0,,,,,,
59,0.3606153428554535,0,,,,,,
69,0.13243868947029114,0,,,,,,
79,0.2617827355861664,0,,,,,,
89,0.3907683789730072,0,,,,,,
99,0.17195847630500793,0,,,,,,
109,0.314098596572876,0,,,,,,
119,0.21818791329860687,0,,,,,,
129,0.21879805624485016,0,,,,,,
139,0.1840091198682785,0,,,,,,
149,0.22876788675785065,0,,,,,,
159,0.4490293860435486,0,,,,,,
169,0.16232648491859436,0,,,,,,
179,0.24099799990653992,0,,,,,,
189,0.19260910153388977,0,,,,,,
199,0.14910399913787842,0,,,,,,
209,0.2713163197040558,0,,,,,,
219,0.2657572627067566,0,,,,,,
229,0.17014214396476746,0,,,,,,
239,0.2754811644554138,0,,,,,,
249,0.2081580013036728,0,,,,,,
259,0.22857916355133057,0,,,,,,
269,0.25966793298721313,0,,,,,,
279,0.2197919338941574,0,,,,,,
289,0.22823217511177063,0,,,,,,
299,0.13749492168426514,0,,,,,,
309,0.10549681633710861,0,,,,,,
319,0.13889071345329285,0,,,,,,
329,0.16539831459522247,0,,,,,,
339,0.17579714953899384,0,,,,,,
349,0.07694894820451736,0,,,,,,
359,0.20409688353538513,0,,,,,,
369,0.14748039841651917,0,,,,,,
379,0.2060278356075287,0,,,,,,
389,0.14439529180526733,0,,,,,,
399,0.12712404131889343,0,,,,,,
409,0.13116620481014252,0,,,,,,
419,0.07599792629480362,0,,,,,,
429,0.22939684987068176,0,,,,,,
439,0.13558396697044373,0,,,,,,
449,0.15558107197284698,0,,,,,,
459,0.1214694082736969,0,,,,,,
469,0.14071336388587952,0,,,,,,
479,0.2217474728822708,0,,,,,,
489,0.09558680653572083,0,,,,,,
499,0.1797356903553009,0,,,,,,
509,0.16876620054244995,0,,,,,,
519,0.13020330667495728,0,,,,,,
529,0.221779927611351,0,,,,,,
539,0.0913776084780693,0,,,,,,
549,0.18746235966682434,0,,,,,,
559,0.12437434494495392,0,,,,,,
569,0.12779858708381653,0,,,,,,
579,0.13750311732292175,0,,,,,,
589,0.10221207141876221,0,,,,,,
599,0.07472912967205048,0,,,,,,
609,0.10833755880594254,0,,,,,,
619,0.14193162322044373,0,,,,,,
629,0.11209837347269058,0,,,,,,
639,0.09523966908454895,0,,,,,,
649,0.06316792964935303,0,,,,,,
659,0.12608250975608826,0,,,,,,
669,0.1266591101884842,0,,,,,,
679,0.2293550819158554,0,,,,,,
689,0.10930214822292328,0,,,,,,
699,0.11740439385175705,0,,,,,,
709,0.23294013738632202,0,,,,,,
719,0.08427020907402039,0,,,,,,
729,0.1831512153148651,0,,,,,,
739,0.11642491817474365,0,,,,,,
749,0.12169753015041351,0,,,,,,
759,0.1179347038269043,0,,,,,,
769,0.07530517876148224,0,,,,,,
779,0.11712798476219177,0,,,,,,
789,0.040831129997968674,0,,,,,,
799,0.07466499507427216,0,,,,,,
809,0.1206732913851738,0,,,,,,
819,0.08347917348146439,0,,,,,,
829,0.16884568333625793,0,,,,,,
839,0.06801750510931015,0,,,,,,
849,0.12807558476924896,0,,,,,,
859,0.11490347236394882,0,,,,,,
869,0.07729382812976837,0,,,,,,
879,0.09504522383213043,0,,,,,,
889,0.06508547812700272,0,,,,,,
899,0.10311052948236465,0,,,,,,
909,0.08217481523752213,0,,,,,,
919,0.15918979048728943,0,,,,,,
929,0.07851710170507431,0,,,,,,
939,0.09143336862325668,0,,,,,,
949,0.08712436258792877,0,,,,,,
959,0.16960284113883972,0,,,,,,
969,0.06332388520240784,0,,,,,,
979,0.10814319550991058,0,,,,,,
989,0.07788393646478653,0,,,,,,
999,0.13362973928451538,0,,,,,,
1009,0.1815243810415268,0,,,,,,
1019,0.10680364817380905,0,,,,,,
1029,0.11933086067438126,0,,,,,,
1039,0.045081984251737595,0,,,,,,
1049,0.12134674191474915,0,,,,,,
