step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss
9,1.083559513092041,0,,,,,,
19,0.23428387939929962,0,,,,,,
29,0.23633505403995514,0,,,,,,
39,0.22775274515151978,0,,,,,,
49,0.1991160809993744,0,,,,,,
59,0.2764798402786255,0,,,,,,
69,0.12158828228712082,0,,,,,,
79,0.09887071698904037,0,,,,,,
89,0.16887253522872925,0,,,,,,
99,0.14854615926742554,0,,,,,,
104,,0,0.15605886280536652,0.534925639629364,0.6259647011756897,0.8710891604423523,0.2970297038555145,
109,0.11085989326238632,1,,,,,,
119,0.17080028355121613,1,,,,,,
129,0.5708884596824646,1,,,,,,
139,0.21459004282951355,1,,,,,,
149,0.13524304330348969,1,,,,,,
159,0.1433447152376175,1,,,,,,
169,0.18739469349384308,1,,,,,,
179,0.16515220701694489,1,,,,,,
189,0.10042372345924377,1,,,,,,
199,0.14235107600688934,1,,,,,,
209,0.018312757834792137,1,,,,,,
209,,1,0.14069043099880219,0.5636011362075806,0.6519554257392883,0.880672812461853,0.3217821717262268,
219,0.11804173141717911,2,,,,,,
229,0.10981908440589905,2,,,,,,
239,0.11487054824829102,2,,,,,,
249,0.07019880414009094,2,,,,,,
259,0.19362300634384155,2,,,,,,
269,0.05117892846465111,2,,,,,,
279,0.056732602417469025,2,,,,,,
289,0.02633851021528244,2,,,,,,
299,0.0883043110370636,2,,,,,,
309,0.10516206920146942,2,,,,,,
314,,2,0.1306748390197754,0.5915169715881348,0.6773973703384399,0.887102484703064,0.3366336524486542,
319,0.022665655240416527,3,,,,,,
329,0.04912508651614189,3,,,,,,
339,0.0763242170214653,3,,,,,,
349,0.0497794933617115,3,,,,,,
359,0.03912940248847008,3,,,,,,
369,0.06601924449205399,3,,,,,,
379,0.11982888728380203,3,,,,,,
389,0.08329334110021591,3,,,,,,
399,0.048972103744745255,3,,,,,,
409,0.027877703309059143,3,,,,,,
419,0.001982481684535742,3,,,,,,
419,,3,0.13386593759059906,0.5975776314735413,0.6765538454055786,0.8875781893730164,0.3366336524486542,
429,0.04029887914657593,4,,,,,,
439,0.05308578535914421,4,,,,,,
449,0.04776303470134735,4,,,,,,
459,0.02469760552048683,4,,,,,,
469,0.0797228142619133,4,,,,,,
479,0.017933497205376625,4,,,,,,
489,0.017364123836159706,4,,,,,,
499,0.007725764065980911,4,,,,,,
509,0.03199045732617378,4,,,,,,
519,0.02677867002785206,4,,,,,,
524,,4,0.13949091732501984,0.6128364205360413,0.6849589347839355,0.8909950852394104,0.36138615012168884,
525,,5,,,,,,0.13949091732501984
