step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score
9,0,0.3786962032318115,,,,,,,,,,
19,0,0.2860904037952423,,,,,,,,,,
29,0,0.2078014463186264,,,,,,,,,,
39,0,0.1788332164287567,,,,,,,,,,
49,0,0.1370680034160614,,,,,,,,,,
59,0,0.1534694880247116,,,,,,,,,,
69,0,0.1773635596036911,,,,,,,,,,
79,0,0.11118824779987335,,,,,,,,,,
89,0,0.08918450027704239,,,,,,,,,,
99,0,0.16238731145858765,,,,,,,,,,
109,0,0.10651503503322601,,,,,,,,,,
118,0,,0.9078227281570435,0.6324427127838135,0.16154299676418304,0.5408560037612915,0.584985077381134,,,,,
119,1,0.10365331172943115,,,,,,,,,,
129,1,0.1580088883638382,,,,,,,,,,
139,1,0.09818176180124283,,,,,,,,,,
149,1,0.13470236957073212,,,,,,,,,,
159,1,0.07179230451583862,,,,,,,,,,
169,1,0.10441611707210541,,,,,,,,,,
179,1,0.06686333566904068,,,,,,,,,,
189,1,0.0778464674949646,,,,,,,,,,
199,1,0.11134438961744308,,,,,,,,,,
209,1,0.09678351879119873,,,,,,,,,,
219,1,0.05178052559494972,,,,,,,,,,
229,1,0.12239746749401093,,,,,,,,,,
237,1,,0.9162557125091553,0.6660940051078796,0.15530610084533691,0.5836575627326965,0.6248503923416138,,,,,
239,2,0.09115336835384369,,,,,,,,,,
249,2,0.10502505302429199,,,,,,,,,,
259,2,0.1401960849761963,,,,,,,,,,
269,2,0.09732001274824142,,,,,,,,,,
279,2,0.06759502738714218,,,,,,,,,,
289,2,0.09372518956661224,,,,,,,,,,
299,2,0.0881117507815361,,,,,,,,,,
309,2,0.15226294100284576,,,,,,,,,,
319,2,0.10990647971630096,,,,,,,,,,
329,2,0.07161656022071838,,,,,,,,,,
339,2,0.08163554221391678,,,,,,,,,,
349,2,0.0784166008234024,,,,,,,,,,
356,2,,0.9184843301773071,0.6713767051696777,0.1504427045583725,0.5972762703895569,0.6338964104652405,,,,,
359,3,0.0583098866045475,,,,,,,,,,
369,3,0.08132795989513397,,,,,,,,,,
379,3,0.06299691647291183,,,,,,,,,,
389,3,0.11836930364370346,,,,,,,,,,
399,3,0.06665767729282379,,,,,,,,,,
409,3,0.12112747877836227,,,,,,,,,,
419,3,0.05138745903968811,,,,,,,,,,
429,3,0.06378199905157089,,,,,,,,,,
439,3,0.06641808897256851,,,,,,,,,,
449,3,0.28220924735069275,,,,,,,,,,
459,3,0.08128960430622101,,,,,,,,,,
469,3,0.09002040326595306,,,,,,,,,,
475,3,,0.9211040139198303,0.6774577498435974,0.145738422870636,0.6070038676261902,0.6447992324829102,,,,,
479,4,0.05478663742542267,,,,,,,,,,
489,4,0.07563012838363647,,,,,,,,,,
499,4,0.19049903750419617,,,,,,,,,,
509,4,0.08445475995540619,,,,,,,,,,
519,4,0.07713358849287033,,,,,,,,,,
529,4,0.062030129134655,,,,,,,,,,
539,4,0.07079887390136719,,,,,,,,,,
549,4,0.04009423777461052,,,,,,,,,,
559,4,0.16655494272708893,,,,,,,,,,
569,4,0.11928555369377136,,,,,,,,,,
579,4,0.08073166012763977,,,,,,,,,,
589,4,0.04254661872982979,,,,,,,,,,
594,4,,0.9225512146949768,0.6857350468635559,0.1443471759557724,0.6147859692573547,0.6517507433891296,,,,,
595,5,,,,,,,0.6517507433891296,0.6857350468635559,0.1443471759557724,0.6147859692573547,0.9225512146949768
