step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
9,0,0.9779762625694275,,,,,,,,,,
19,0,2.8849356174468994,,,,,,,,,,
29,0,1.354927897453308,,,,,,,,,,
39,0,1.052209734916687,,,,,,,,,,
49,0,1.382716178894043,,,,,,,,,,
49,0,,0.125,0.8267839550971985,0.45087891817092896,0.372403085231781,1.461029052734375,,,,,
59,1,0.6002151370048523,,,,,,,,,,
69,1,0.8669118881225586,,,,,,,,,,
79,1,1.780626654624939,,,,,,,,,,
89,1,0.7855587005615234,,,,,,,,,,
99,1,0.5252427458763123,,,,,,,,,,
99,1,,0.125,0.830575168132782,0.47392576932907104,0.3822680413722992,1.3855197429656982,,,,,
109,2,0.4199048578739166,,,,,,,,,,
119,2,0.8053624033927917,,,,,,,,,,
129,2,0.278887540102005,,,,,,,,,,
139,2,1.5877904891967773,,,,,,,,,,
149,2,0.9982277154922485,,,,,,,,,,
149,2,,0.11249999701976776,0.8311336040496826,0.4852294921875,0.3913249373435974,1.3560423851013184,,,,,
159,3,0.7873947024345398,,,,,,,,,,
169,3,0.5604414939880371,,,,,,,,,,
179,3,0.8292614817619324,,,,,,,,,,
189,3,0.9947890043258667,,,,,,,,,,
199,3,0.529594898223877,,,,,,,,,,
199,3,,0.10833333432674408,0.8333402276039124,0.4935546815395355,0.3984035849571228,1.340099573135376,,,,,
209,4,1.1687225103378296,,,,,,,,,,
219,4,0.5548834204673767,,,,,,,,,,
229,4,0.6930685043334961,,,,,,,,,,
239,4,0.8270878195762634,,,,,,,,,,
249,4,0.6601962447166443,,,,,,,,,,
249,4,,0.11666666716337204,0.835235059261322,0.4909261167049408,0.3991231620311737,1.3261749744415283,,,,,
250,5,,,,,,,0.835235059261322,0.11666666716337204,0.3991231620311737,0.4909261167049408,1.3261749744415283
