train_loss,epoch,step,val_qa_em,val_qa_sas,val_qa_bert_score,val_loss,val_qa_answer_f1,test_loss
0.7741183638572693,0,9,,,,,,
0.7682566046714783,0,19,,,,,,
0.7388496994972229,0,29,,,,,,
0.3515263795852661,0,39,,,,,,
0.42362526059150696,0,49,,,,,,
0.3494589924812317,0,59,,,,,,
0.6286169290542603,0,69,,,,,,
0.7849006652832031,0,79,,,,,,
0.2401878386735916,0,89,,,,,,
0.7211790084838867,0,99,,,,,,
0.9443454146385193,0,109,,,,,,
0.6522252559661865,0,119,,,,,,
0.22078076004981995,0,129,,,,,,
0.2000482678413391,0,139,,,,,,
0.34459027647972107,0,149,,,,,,
0.43496307730674744,0,159,,,,,,
0.2795790731906891,0,169,,,,,,
0.46910613775253296,0,179,,,,,,
0.12676480412483215,0,189,,,,,,
0.30622398853302,0,199,,,,,,
0.3209165334701538,0,209,,,,,,
0.42008793354034424,0,219,,,,,,
0.4782252013683319,0,229,,,,,,
0.23354853689670563,0,239,,,,,,
0.4406890571117401,0,249,,,,,,
0.2765234112739563,0,259,,,,,,
0.12911809980869293,0,269,,,,,,
0.1506393998861313,0,279,,,,,,
0.24522723257541656,0,289,,,,,,
0.15353725850582123,0,299,,,,,,
0.07342123240232468,0,309,,,,,,
0.3322594463825226,0,319,,,,,,
0.26904383301734924,0,329,,,,,,
,0,333,0.536796510219574,0.6400688886642456,0.8837138414382935,0.12767508625984192,0.6323990821838379,
0.22358794510364532,1,339,,,,,,
0.2076786607503891,1,349,,,,,,
0.3171030580997467,1,359,,,,,,
0.18847571313381195,1,369,,,,,,
0.24435772001743317,1,379,,,,,,
0.1616208404302597,1,389,,,,,,
0.5795522928237915,1,399,,,,,,
0.407837450504303,1,409,,,,,,
0.3457450568675995,1,419,,,,,,
0.09830550104379654,1,429,,,,,,
0.08668679744005203,1,439,,,,,,
1.290217638015747,1,449,,,,,,
0.3753688335418701,1,459,,,,,,
0.046727005392313004,1,469,,,,,,
0.1474289745092392,1,479,,,,,,
0.11969047039747238,1,489,,,,,,
0.11728968471288681,1,499,,,,,,
0.2082536667585373,1,509,,,,,,
0.3213641941547394,1,519,,,,,,
0.06279652565717697,1,529,,,,,,
0.23198187351226807,1,539,,,,,,
0.21987417340278625,1,549,,,,,,
0.1481543332338333,1,559,,,,,,
0.24460674822330475,1,569,,,,,,
0.09651768952608109,1,579,,,,,,
0.17338944971561432,1,589,,,,,,
0.14185084402561188,1,599,,,,,,
0.22828005254268646,1,609,,,,,,
0.28780800104141235,1,619,,,,,,
0.04096522927284241,1,629,,,,,,
0.12293855100870132,1,639,,,,,,
0.0434873029589653,1,649,,,,,,
0.046125322580337524,1,659,,,,,,
,1,667,0.5584415793418884,0.6663337349891663,0.8954992890357971,0.12795190513134003,0.6616706848144531,
0.16550463438034058,2,669,,,,,,
0.16301248967647552,2,679,,,,,,
0.1586436629295349,2,689,,,,,,
0.08065212517976761,2,699,,,,,,
0.08329381048679352,2,709,,,,,,
0.1393907219171524,2,719,,,,,,
0.10919320583343506,2,729,,,,,,
0.3362634778022766,2,739,,,,,,
0.09918411821126938,2,749,,,,,,
0.1339540183544159,2,759,,,,,,
0.06584997475147247,2,769,,,,,,
0.04858719930052757,2,779,,,,,,
0.10066550970077515,2,789,,,,,,
0.33149784803390503,2,799,,,,,,
0.6316475868225098,2,809,,,,,,
0.041442953050136566,2,819,,,,,,
0.02201756089925766,2,829,,,,,,
0.06829994171857834,2,839,,,,,,
0.044373612850904465,2,849,,,,,,
0.09001977741718292,2,859,,,,,,
0.012847059406340122,2,869,,,,,,
0.172037735581398,2,879,,,,,,
0.024543460458517075,2,889,,,,,,
0.09065708518028259,2,899,,,,,,
0.29467344284057617,2,909,,,,,,
0.09937906265258789,2,919,,,,,,
0.09402111172676086,2,929,,,,,,
0.11558981984853745,2,939,,,,,,
0.0939275324344635,2,949,,,,,,
0.11219026893377304,2,959,,,,,,
0.05382896214723587,2,969,,,,,,
0.02015666849911213,2,979,,,,,,
0.028430728241801262,2,989,,,,,,
0.03130674362182617,2,999,,,,,,
,2,1001,0.5541125535964966,0.6588514447212219,0.8921383023262024,0.13888292014598846,0.6527129411697388,
0.05426376685500145,3,1009,,,,,,
0.022722262889146805,3,1019,,,,,,
0.032027702778577805,3,1029,,,,,,
0.1457282453775406,3,1039,,,,,,
0.05121761932969093,3,1049,,,,,,
0.06906052678823471,3,1059,,,,,,
0.035084038972854614,3,1069,,,,,,
0.016666017472743988,3,1079,,,,,,
0.010305600240826607,3,1089,,,,,,
0.047176294028759,3,1099,,,,,,
0.016561180353164673,3,1109,,,,,,
0.0699063241481781,3,1119,,,,,,
0.0990053340792656,3,1129,,,,,,
0.007954279892146587,3,1139,,,,,,
0.09117326885461807,3,1149,,,,,,
0.07485867291688919,3,1159,,,,,,
0.07266256958246231,3,1169,,,,,,
0.31690317392349243,3,1179,,,,,,
0.01471145823597908,3,1189,,,,,,
0.05783296748995781,3,1199,,,,,,
0.023135365918278694,3,1209,,,,,,
0.03476833552122116,3,1219,,,,,,
0.05708044394850731,3,1229,,,,,,
0.02027728222310543,3,1239,,,,,,
0.022439027205109596,3,1249,,,,,,
0.02360435575246811,3,1259,,,,,,
0.009043388068675995,3,1269,,,,,,
0.01809222251176834,3,1279,,,,,,
0.007031936198472977,3,1289,,,,,,
0.036677103489637375,3,1299,,,,,,
0.010530116967856884,3,1309,,,,,,
0.1009039655327797,3,1319,,,,,,
0.05017732456326485,3,1329,,,,,,
,3,1335,0.5541125535964966,0.6492429971694946,0.8894080519676208,0.15577483177185059,0.6434468030929565,
0.008804078213870525,4,1339,,,,,,
0.04139011353254318,4,1349,,,,,,
0.278908908367157,4,1359,,,,,,
0.0033080223947763443,4,1369,,,,,,
0.011613822542130947,4,1379,,,,,,
0.016155201941728592,4,1389,,,,,,
0.08404138684272766,4,1399,,,,,,
0.006242887116968632,4,1409,,,,,,
0.010630648583173752,4,1419,,,,,,
0.004821117036044598,4,1429,,,,,,
0.03087850660085678,4,1439,,,,,,
0.05144951120018959,4,1449,,,,,,
0.0035749441012740135,4,1459,,,,,,
0.0060309614054858685,4,1469,,,,,,
0.003295427653938532,4,1479,,,,,,
0.006764904595911503,4,1489,,,,,,
0.0065850624814629555,4,1499,,,,,,
0.03143049404025078,4,1509,,,,,,
0.005456493701785803,4,1519,,,,,,
0.005763957276940346,4,1529,,,,,,
0.004321604035794735,4,1539,,,,,,
0.016601404175162315,4,1549,,,,,,
0.00936123263090849,4,1559,,,,,,
0.01625468209385872,4,1569,,,,,,
0.0007427454111166298,4,1579,,,,,,
0.0032050632871687412,4,1589,,,,,,
0.0027827227022498846,4,1599,,,,,,
0.005318544339388609,4,1609,,,,,,
0.056246817111968994,4,1619,,,,,,
0.008263057097792625,4,1629,,,,,,
0.006149196997284889,4,1639,,,,,,
0.005123145878314972,4,1649,,,,,,
0.02140326052904129,4,1659,,,,,,
0.0037556178867816925,4,1669,,,,,,
,4,1669,0.5497835278511047,0.6572643518447876,0.8923147320747375,0.18090249598026276,0.6467509865760803,
,5,1670,,,,,,0.12795190513134003
