train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas
5.692324638366699,0,9,,,,,
4.017946243286133,0,19,,,,,
3.2862606048583984,0,29,,,,,
2.6140336990356445,0,39,,,,,
2.090735673904419,0,49,,,,,
1.4555723667144775,0,59,,,,,
1.0748125314712524,0,69,,,,,
0.7481232285499573,0,79,,,,,
0.38783419132232666,0,89,,,,,
,0,96,0.2631359100341797,0.4505673944950104,0.7903366684913635,0.23076923191547394,0.5096274614334106
0.33599424362182617,1,99,,,,,
0.24058079719543457,1,109,,,,,
0.2128901332616806,1,119,,,,,
0.14901313185691833,1,129,,,,,
0.2084188014268875,1,139,,,,,
0.12049974501132965,1,149,,,,,
0.19215166568756104,1,159,,,,,
0.16812965273857117,1,169,,,,,
0.19527512788772583,1,179,,,,,
0.1798793077468872,1,189,,,,,
,1,193,0.20392437279224396,0.43938449025154114,0.7872728109359741,0.23529411852359772,0.5013316869735718
0.1394420713186264,2,199,,,,,
0.09555351734161377,2,209,,,,,
0.14021816849708557,2,219,,,,,
0.09917793422937393,2,229,,,,,
0.10078225284814835,2,239,,,,,
0.10042157024145126,2,249,,,,,
0.0743715763092041,2,259,,,,,
0.07401128858327866,2,269,,,,,
0.050586309283971786,2,279,,,,,
0.13930845260620117,2,289,,,,,
,2,290,0.1564614176750183,0.4635172486305237,0.7901630401611328,0.2398190051317215,0.526031494140625
0.09032922983169556,3,299,,,,,
0.05659032240509987,3,309,,,,,
0.10305768251419067,3,319,,,,,
0.028223181143403053,3,329,,,,,
0.026748640462756157,3,339,,,,,
0.027166686952114105,3,349,,,,,
0.05071769654750824,3,359,,,,,
0.05330049991607666,3,369,,,,,
0.020309217274188995,3,379,,,,,
,3,387,0.2262575328350067,0.4636681377887726,0.7919504642486572,0.24434389173984528,0.5281838774681091
0.011694293469190598,4,389,,,,,
0.019093547016382217,4,399,,,,,
0.021157091483473778,4,409,,,,,
0.01688649319112301,4,419,,,,,
0.03210832551121712,4,429,,,,,
0.013966994360089302,4,439,,,,,
0.007581556681543589,4,449,,,,,
0.009279043413698673,4,459,,,,,
0.011213017627596855,4,469,,,,,
0.006703399121761322,4,479,,,,,
,4,484,0.20321568846702576,0.47120967507362366,0.7936326265335083,0.25339367985725403,0.536349892616272
