step,train_loss,epoch,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_em,test_loss
9,0.09353894740343094,0,,,,,,
19,0.051326632499694824,0,,,,,,
29,0.04392247274518013,0,,,,,,
39,0.05310733988881111,0,,,,,,
49,0.04860616847872734,0,,,,,,
59,0.0743124708533287,0,,,,,,
69,0.03631706163287163,0,,,,,,
79,0.04325385391712189,0,,,,,,
89,0.04450323060154915,0,,,,,,
99,0.0520724393427372,0,,,,,,
109,0.03436058759689331,0,,,,,,
119,0.046716392040252686,0,,,,,,
129,0.03372791409492493,0,,,,,,
139,0.03513616696000099,0,,,,,,
149,0.030786868184804916,0,,,,,,
159,0.049356840550899506,0,,,,,,
169,0.0366976261138916,0,,,,,,
179,0.07153118401765823,0,,,,,,
189,0.035323336720466614,0,,,,,,
199,0.03455175459384918,0,,,,,,
209,0.0536629855632782,0,,,,,,
219,0.057265475392341614,0,,,,,,
229,0.049576904624700546,0,,,,,,
239,0.035174693912267685,0,,,,,,
249,0.029040466994047165,0,,,,,,
259,0.029497871175408363,0,,,,,,
269,0.02834830805659294,0,,,,,,
279,0.02164650522172451,0,,,,,,
289,0.0618329681456089,0,,,,,,
299,0.025100532919168472,0,,,,,,
309,0.0458432137966156,0,,,,,,
319,0.032071780413389206,0,,,,,,
329,0.0368637852370739,0,,,,,,
339,0.045630406588315964,0,,,,,,
349,0.05838911235332489,0,,,,,,
359,0.05486784875392914,0,,,,,,
369,0.030642379075288773,0,,,,,,
379,0.030596133321523666,0,,,,,,
389,0.017110714688897133,0,,,,,,
399,0.017808692529797554,0,,,,,,
409,0.018817199394106865,0,,,,,,
419,0.03132181614637375,0,,,,,,
429,0.034451160579919815,0,,,,,,
439,0.012007925659418106,0,,,,,,
449,0.01645807735621929,0,,,,,,
455,,0,0.8849529027938843,0.545638382434845,0.06941709667444229,0.4870557487010956,0.4401114284992218,
459,0.03878677636384964,1,,,,,,
469,0.04064703360199928,1,,,,,,
479,0.0638016015291214,1,,,,,,
489,0.03622635453939438,1,,,,,,
499,0.012593048624694347,1,,,,,,
509,0.022257501259446144,1,,,,,,
519,0.016150228679180145,1,,,,,,
