epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
0,0.2710886001586914,9,,,,,,
0,0.43604931235313416,19,,,,,,
0,0.14152663946151733,29,,,,,,
0,0.2605850100517273,39,,,,,,
0,0.2825937271118164,49,,,,,,
0,0.2518301010131836,59,,,,,,
0,0.22382542490959167,69,,,,,,
0,0.21176697313785553,79,,,,,,
0,0.10550501197576523,89,,,,,,
0,0.49516481161117554,99,,,,,,
0,,102,0.12284906953573227,0.8574625253677368,0.23720930516719818,0.5191760063171387,0.598520815372467,
1,0.14590829610824585,109,,,,,,
1,0.186964213848114,119,,,,,,
1,0.16488797962665558,129,,,,,,
1,0.16932672262191772,139,,,,,,
1,0.19572024047374725,149,,,,,,
1,0.13018681108951569,159,,,,,,
1,0.07402656227350235,169,,,,,,
1,0.1745629906654358,179,,,,,,
1,0.1321137547492981,189,,,,,,
1,0.19936653971672058,199,,,,,,
1,,205,0.11091027408838272,0.8688322901725769,0.2930232584476471,0.5600911974906921,0.6410992741584778,
2,0.19075512886047363,209,,,,,,
2,0.15815667808055878,219,,,,,,
2,0.13802599906921387,229,,,,,,
2,0.31886348128318787,239,,,,,,
2,0.09509377181529999,249,,,,,,
2,0.12874607741832733,259,,,,,,
2,0.08415903151035309,269,,,,,,
2,0.12363722175359726,279,,,,,,
2,0.13643662631511688,289,,,,,,
2,0.0940532386302948,299,,,,,,
2,,308,0.1064964160323143,0.8740779161453247,0.3348837196826935,0.5802352428436279,0.6521929502487183,
3,0.11516018211841583,309,,,,,,
3,0.04580079764127731,319,,,,,,
3,0.06332274526357651,329,,,,,,
3,0.11259166151285172,339,,,,,,
3,0.06810775399208069,349,,,,,,
3,0.023983612656593323,359,,,,,,
3,0.04739611968398094,369,,,,,,
3,0.05609775707125664,379,,,,,,
3,0.03931400179862976,389,,,,,,
3,0.05021550506353378,399,,,,,,
3,0.08844982087612152,409,,,,,,
3,,411,0.09766683727502823,0.8729782104492188,0.3162790834903717,0.5782420039176941,0.6452291011810303,
4,0.08590478450059891,419,,,,,,
4,0.03354506939649582,429,,,,,,
4,0.03576953709125519,439,,,,,,
4,0.040673162788152695,449,,,,,,
4,0.016389982774853706,459,,,,,,
4,0.022985052317380905,469,,,,,,
4,0.0118700060993433,479,,,,,,
4,0.02223869413137436,489,,,,,,
4,0.10335889458656311,499,,,,,,
4,0.040421705693006516,509,,,,,,
4,,514,0.10299207270145416,0.8751822710037231,0.3488371968269348,0.5873023271560669,0.6536527276039124,
5,,515,,,,,,0.10299207270145416
