epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,test_loss
0,0.2828354239463806,9,,,,,,
0,0.1652832180261612,19,,,,,,
0,0.17338202893733978,29,,,,,,
0,0.1483505219221115,39,,,,,,
0,0.25809550285339355,49,,,,,,
0,0.16034801304340363,59,,,,,,
0,0.12934213876724243,69,,,,,,
0,0.20956018567085266,79,,,,,,
0,0.1541871875524521,89,,,,,,
0,0.20804962515830994,99,,,,,,
0,,99,0.6707200407981873,0.8889939785003662,0.6019995212554932,0.30000001192092896,0.09793024510145187,
1,0.1028539389371872,109,,,,,,
1,0.15251746773719788,119,,,,,,
1,0.13067729771137238,129,,,,,,
1,0.08017365634441376,139,,,,,,
1,0.10819344967603683,149,,,,,,
1,0.09197297692298889,159,,,,,,
1,0.15987245738506317,169,,,,,,
1,0.09966961294412613,179,,,,,,
1,0.575458824634552,189,,,,,,
1,0.059679463505744934,199,,,,,,
1,,199,0.6964977383613586,0.8990592360496521,0.638656497001648,0.2916666567325592,0.09087817370891571,
2,0.06503430753946304,209,,,,,,
2,0.09108800441026688,219,,,,,,
2,0.0762765109539032,229,,,,,,
2,0.05528971925377846,239,,,,,,
2,0.056367382407188416,249,,,,,,
2,0.05915680155158043,259,,,,,,
2,0.1017029657959938,269,,,,,,
2,0.06357035785913467,279,,,,,,
2,0.09148001670837402,289,,,,,,
2,0.018077097833156586,299,,,,,,
2,,299,0.6969281435012817,0.9016596674919128,0.645797610282898,0.2916666567325592,0.0918932631611824,
3,0.042292505502700806,309,,,,,,
3,0.05502348765730858,319,,,,,,
3,0.04323316365480423,329,,,,,,
3,0.04308468475937843,339,,,,,,
3,0.03611721098423004,349,,,,,,
3,0.03598484769463539,359,,,,,,
3,0.05886126309633255,369,,,,,,
3,0.04628421738743782,379,,,,,,
3,0.058432210236787796,389,,,,,,
3,0.007826072163879871,399,,,,,,
3,,399,0.6905238628387451,0.899425745010376,0.6394010782241821,0.28333333134651184,0.09944751858711243,
4,0.023441284894943237,409,,,,,,
4,0.02544132061302662,419,,,,,,
4,0.02351277507841587,429,,,,,,
4,0.02899477258324623,439,,,,,,
4,0.020481208339333534,449,,,,,,
4,0.017497999593615532,459,,,,,,
4,0.026084695011377335,469,,,,,,
4,0.03199818357825279,479,,,,,,
4,0.03546850010752678,489,,,,,,
4,0.003910929895937443,499,,,,,,
4,,499,0.693142831325531,0.9015375375747681,0.6448771953582764,0.3083333373069763,0.10945744067430496,
5,,500,,,,,,0.10945744067430496
