epoch,step,train_loss,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
0,9,0.6454917788505554,,,,,,
0,19,0.5501912236213684,,,,,,
0,29,0.5824527144432068,,,,,,
0,39,0.3186328113079071,,,,,,
0,49,0.4614323079586029,,,,,,
0,59,0.6113284230232239,,,,,,
0,69,0.4076882302761078,,,,,,
0,79,0.8284329771995544,,,,,,
0,89,0.6297864317893982,,,,,,
0,99,0.3412081301212311,,,,,,
0,99,,0.34156784415245056,0.5027119517326355,0.5254537463188171,0.35772356390953064,0.8421614170074463,
1,109,0.1748262643814087,,,,,,
1,119,0.1927521526813507,,,,,,
1,129,0.7354190945625305,,,,,,
1,139,0.2928158640861511,,,,,,
1,149,0.4115648865699768,,,,,,
1,159,0.636297345161438,,,,,,
1,169,0.3604285418987274,,,,,,
1,179,0.6364439129829407,,,,,,
1,189,0.5976315140724182,,,,,,
1,199,0.26328393816947937,,,,,,
1,199,,0.33310607075691223,0.5386715531349182,0.5581137537956238,0.4186991751194,0.8562473058700562,
2,209,0.10249531269073486,,,,,,
2,219,0.11396969854831696,,,,,,
2,229,0.553253173828125,,,,,,
2,239,0.2239028364419937,,,,,,
2,249,0.20417340099811554,,,,,,
2,259,0.4685474932193756,,,,,,
2,269,0.20799139142036438,,,,,,
2,279,0.29858413338661194,,,,,,
2,289,0.3960162401199341,,,,,,
2,299,0.1609417200088501,,,,,,
2,299,,0.3333846926689148,0.5291499495506287,0.5523909330368042,0.40243902802467346,0.856745183467865,
3,309,0.058801278471946716,,,,,,
3,319,0.06157507002353668,,,,,,
3,329,0.4306137263774872,,,,,,
3,339,0.1834796816110611,,,,,,
3,349,0.12055385112762451,,,,,,
3,359,0.3214583694934845,,,,,,
3,369,0.13110437989234924,,,,,,
3,379,0.14336350560188293,,,,,,
3,389,0.25157463550567627,,,,,,
3,399,0.10838194936513901,,,,,,
3,399,,0.344782292842865,0.5349134206771851,0.5562849044799805,0.40243902802467346,0.8552232980728149,
4,409,0.03970644250512123,,,,,,
4,419,0.035712823271751404,,,,,,
4,429,0.31035685539245605,,,,,,
4,439,0.14906205236911774,,,,,,
4,449,0.07020873576402664,,,,,,
4,459,0.2048032283782959,,,,,,
4,469,0.08671067655086517,,,,,,
4,479,0.06299372762441635,,,,,,
4,489,0.12692619860172272,,,,,,
4,499,0.06369531899690628,,,,,,
4,499,,0.36609360575675964,0.5346119403839111,0.5548363924026489,0.4146341383457184,0.8543222546577454,
5,500,,,,,,,0.36609360575675964
