step,train_loss,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
9,0.5229495167732239,0,,,,,,,,,,
19,0.24439594149589539,0,,,,,,,,,,
29,0.17775112390518188,0,,,,,,,,,,
39,0.18373623490333557,0,,,,,,,,,,
49,0.16267934441566467,0,,,,,,,,,,
59,0.16681978106498718,0,,,,,,,,,,
69,0.11383343487977982,0,,,,,,,,,,
79,0.18739239871501923,0,,,,,,,,,,
89,0.3614315986633301,0,,,,,,,,,,
99,0.11368582397699356,0,,,,,,,,,,
109,0.18173013627529144,0,,,,,,,,,,
119,0.1442665010690689,0,,,,,,,,,,
124,,0,0.43980345129966736,0.08872228860855103,0.5376073718070984,0.49180006980895996,0.8846445083618164,,,,,
129,0.1416458785533905,1,,,,,,,,,,
139,0.4957026243209839,1,,,,,,,,,,
149,0.20858845114707947,1,,,,,,,,,,
159,0.09790346026420593,1,,,,,,,,,,
169,0.10688217729330063,1,,,,,,,,,,
179,0.12536932528018951,1,,,,,,,,,,
189,0.11469235271215439,1,,,,,,,,,,
199,0.13044635951519012,1,,,,,,,,,,
209,0.11196208000183105,1,,,,,,,,,,
219,0.07627418637275696,1,,,,,,,,,,
229,0.4405650198459625,1,,,,,,,,,,
239,0.11248073726892471,1,,,,,,,,,,
249,0.14478300511837006,1,,,,,,,,,,
249,,1,0.4987714886665344,0.07925508916378021,0.5830786228179932,0.5413788557052612,0.8962317705154419,,,,,
259,0.06327925622463226,2,,,,,,,,,,
269,0.196152001619339,2,,,,,,,,,,
279,0.13193966448307037,2,,,,,,,,,,
289,0.10772233456373215,2,,,,,,,,,,
299,0.1285979449748993,2,,,,,,,,,,
309,0.09453398734331131,2,,,,,,,,,,
319,0.09067562967538834,2,,,,,,,,,,
329,0.11119070649147034,2,,,,,,,,,,
339,0.10245119780302048,2,,,,,,,,,,
349,0.0875554010272026,2,,,,,,,,,,
359,0.09074441343545914,2,,,,,,,,,,
369,0.13530132174491882,2,,,,,,,,,,
374,,2,0.5282555222511292,0.07736532390117645,0.6074725389480591,0.5708678960800171,0.902900755405426,,,,,
379,0.0936594307422638,3,,,,,,,,,,
389,0.08244384825229645,3,,,,,,,,,,
399,0.12448794394731522,3,,,,,,,,,,
409,0.0967615619301796,3,,,,,,,,,,
419,0.07589732110500336,3,,,,,,,,,,
429,0.1260763704776764,3,,,,,,,,,,
439,0.08673249930143356,3,,,,,,,,,,
449,0.11454716324806213,3,,,,,,,,,,
459,0.11585240066051483,3,,,,,,,,,,
469,0.066041961312294,3,,,,,,,,,,
479,0.16363105177879333,3,,,,,,,,,,
489,0.09195684641599655,3,,,,,,,,,,
499,0.19957180321216583,3,,,,,,,,,,
499,,3,0.525798499584198,0.07322262972593307,0.5978780388832092,0.5640447735786438,0.9011595845222473,,,,,
509,0.07702076435089111,4,,,,,,,,,,
519,0.10518360137939453,4,,,,,,,,,,
529,0.07924040406942368,4,,,,,,,,,,
539,0.09280472993850708,4,,,,,,,,,,
549,0.10003381967544556,4,,,,,,,,,,
559,0.11745841056108475,4,,,,,,,,,,
569,0.08380979299545288,4,,,,,,,,,,
579,0.11779431253671646,4,,,,,,,,,,
589,0.055308375507593155,4,,,,,,,,,,
599,0.07420793175697327,4,,,,,,,,,,
609,0.07974836975336075,4,,,,,,,,,,
619,0.08372454345226288,4,,,,,,,,,,
624,,4,0.5405405163764954,0.07136447727680206,0.613772451877594,0.579800009727478,0.9041134119033813,,,,,
625,,5,,,,,,0.9041134119033813,0.07136447727680206,0.579800009727478,0.613772451877594,0.5405405163764954
