epoch,step,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
0,9,0.46417897939682007,,,,,,
0,19,0.3680233061313629,,,,,,
0,29,0.2000158429145813,,,,,,
0,39,0.41762036085128784,,,,,,
0,49,0.24457746744155884,,,,,,
0,59,0.24542762339115143,,,,,,
0,69,0.08417656272649765,,,,,,
0,79,0.17087537050247192,,,,,,
0,89,0.19250963628292084,,,,,,
0,99,0.22299650311470032,,,,,,
0,109,0.21787984669208527,,,,,,
0,119,0.34667909145355225,,,,,,
0,129,0.2263038456439972,,,,,,
0,139,0.2505800724029541,,,,,,
0,149,0.18254566192626953,,,,,,
0,159,0.1511843353509903,,,,,,
0,169,0.189935564994812,,,,,,
0,179,0.18217477202415466,,,,,,
0,189,0.20677103102207184,,,,,,
0,199,0.12668544054031372,,,,,,
0,209,0.17592117190361023,,,,,,
0,219,0.14083130657672882,,,,,,
0,229,0.10477983206510544,,,,,,
0,239,0.20033138990402222,,,,,,
0,249,0.179709330201149,,,,,,
0,259,0.09302357584238052,,,,,,
0,269,0.20796304941177368,,,,,,
0,279,0.13455386459827423,,,,,,
0,289,0.1300540268421173,,,,,,
0,299,0.24199405312538147,,,,,,
0,309,0.0927748903632164,,,,,,
0,319,0.12705837190151215,,,,,,
0,329,0.12436218559741974,,,,,,
0,339,0.085423544049263,,,,,,
0,345,,0.10512763261795044,0.7666721343994141,0.1371428519487381,0.19853252172470093,0.24919751286506653,
1,349,0.15095633268356323,,,,,,
1,359,0.11380095779895782,,,,,,
1,369,0.20518819987773895,,,,,,
1,379,0.15642519295215607,,,,,,
1,389,0.14150236546993256,,,,,,
1,399,0.1737717092037201,,,,,,
1,409,0.16977226734161377,,,,,,
1,419,0.1527935415506363,,,,,,
1,429,0.1004723384976387,,,,,,
1,439,0.093714140355587,,,,,,
1,449,0.23185765743255615,,,,,,
1,459,0.24908588826656342,,,,,,
1,469,0.2168622612953186,,,,,,
1,479,0.11739060282707214,,,,,,
1,489,0.12572863698005676,,,,,,
1,499,0.10463251173496246,,,,,,
1,509,0.11424073576927185,,,,,,
1,519,0.11463514715433121,,,,,,
1,529,0.18693286180496216,,,,,,
1,539,0.19769030809402466,,,,,,
1,549,0.10714423656463623,,,,,,
1,559,0.06243502348661423,,,,,,
1,569,0.21895045042037964,,,,,,
1,579,0.0647108405828476,,,,,,
1,589,0.300336629152298,,,,,,
1,599,0.1266554743051529,,,,,,
1,609,0.07441801577806473,,,,,,
1,619,0.10398144274950027,,,,,,
1,629,0.12764926254749298,,,,,,
1,639,0.11913386732339859,,,,,,
1,649,0.28804150223731995,,,,,,
1,659,0.07139028608798981,,,,,,
1,669,0.109339140355587,,,,,,
1,679,0.05904668569564819,,,,,,
1,689,0.1269729882478714,,,,,,
1,691,,0.10927341133356094,0.784332275390625,0.18857142329216003,0.2491772472858429,0.2912456691265106,
2,699,0.10958372056484222,,,,,,
2,709,0.07301700860261917,,,,,,
2,719,0.11733780801296234,,,,,,
2,729,0.04756075143814087,,,,,,
2,739,0.07942656427621841,,,,,,
2,749,0.10146378725767136,,,,,,
2,759,0.10278297960758209,,,,,,
2,769,0.08489889651536942,,,,,,
2,779,0.10643279552459717,,,,,,
2,789,0.07365608215332031,,,,,,
2,799,0.0791814997792244,,,,,,
2,809,0.0836830586194992,,,,,,
2,819,0.10735153406858444,,,,,,
2,829,0.06382942199707031,,,,,,
2,839,0.11008512228727341,,,,,,
2,849,0.06137987598776817,,,,,,
2,859,0.0715627372264862,,,,,,
2,869,0.15669602155685425,,,,,,
2,879,0.07939771562814713,,,,,,
2,889,0.0797334611415863,,,,,,
2,899,0.09561862796545029,,,,,,
