epoch,step,train_loss,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score
0,9,0.3454795777797699,,,,,,,,,,
0,19,0.23264080286026,,,,,,,,,,
0,29,0.156264066696167,,,,,,,,,,
0,39,0.16119059920310974,,,,,,,,,,
0,49,0.13528935611248016,,,,,,,,,,
0,59,0.12320667505264282,,,,,,,,,,
0,69,0.1370299756526947,,,,,,,,,,
0,79,0.11519768089056015,,,,,,,,,,
0,89,0.0827641636133194,,,,,,,,,,
0,99,0.10583800077438354,,,,,,,,,,
0,109,0.1046445295214653,,,,,,,,,,
0,118,,0.5778647065162659,0.1606716811656952,0.9053678512573242,0.6278772354125977,0.5369649529457092,,,,,
1,119,0.10412872582674026,,,,,,,,,,
1,129,0.13518047332763672,,,,,,,,,,
1,139,0.11210008710622787,,,,,,,,,,
1,149,0.12494919449090958,,,,,,,,,,
1,159,0.07247712463140488,,,,,,,,,,
1,169,0.09577718377113342,,,,,,,,,,
1,179,0.06088723614811897,,,,,,,,,,
1,189,0.0893900990486145,,,,,,,,,,
1,199,0.0702388808131218,,,,,,,,,,
1,209,0.09282796084880829,,,,,,,,,,
1,219,0.0855732336640358,,,,,,,,,,
1,229,0.11318275332450867,,,,,,,,,,
1,237,,0.6160072684288025,0.14773693680763245,0.9150974154472351,0.6564379334449768,0.5739299654960632,,,,,
2,239,0.08289048075675964,,,,,,,,,,
2,249,0.09499549120664597,,,,,,,,,,
2,259,0.09694672375917435,,,,,,,,,,
2,269,0.09816858172416687,,,,,,,,,,
2,279,0.06774775683879852,,,,,,,,,,
2,289,0.10921618342399597,,,,,,,,,,
2,299,0.05476786568760872,,,,,,,,,,
2,309,0.164887472987175,,,,,,,,,,
2,319,0.12693439424037933,,,,,,,,,,
2,329,0.07833199948072433,,,,,,,,,,
2,339,0.0619337297976017,,,,,,,,,,
2,349,0.05977724865078926,,,,,,,,,,
2,356,,0.6201692223548889,0.14043253660202026,0.9155903458595276,0.6578112840652466,0.5836575627326965,,,,,
3,359,0.053765278309583664,,,,,,,,,,
3,369,0.08657616376876831,,,,,,,,,,
3,379,0.09442143887281418,,,,,,,,,,
3,389,0.07205629348754883,,,,,,,,,,
3,399,0.07029909640550613,,,,,,,,,,
3,409,0.10013040900230408,,,,,,,,,,
3,419,0.08502647280693054,,,,,,,,,,
3,429,0.0757974237203598,,,,,,,,,,
3,439,0.05460125207901001,,,,,,,,,,
3,449,0.27285292744636536,,,,,,,,,,
3,459,0.057955995202064514,,,,,,,,,,
3,469,0.07475520670413971,,,,,,,,,,
3,475,,0.6417638659477234,0.13843046128749847,0.9204282760620117,0.6769303679466248,0.6050583720207214,,,,,
4,479,0.04812322556972504,,,,,,,,,,
4,489,0.07060131430625916,,,,,,,,,,
4,499,0.18126866221427917,,,,,,,,,,
4,509,0.0937202125787735,,,,,,,,,,
4,519,0.10045471787452698,,,,,,,,,,
4,529,0.06241783872246742,,,,,,,,,,
4,539,0.05688057467341423,,,,,,,,,,
4,549,0.07548890262842178,,,,,,,,,,
4,559,0.20263993740081787,,,,,,,,,,
4,569,0.13018938899040222,,,,,,,,,,
4,579,0.08000169694423676,,,,,,,,,,
4,589,0.0568610280752182,,,,,,,,,,
4,594,,0.6527270674705505,0.1374104917049408,0.9231945276260376,0.6836065053939819,0.618677020072937,,,,,
5,595,,,,,,,0.6836065053939819,0.6527270674705505,0.1374104917049408,0.618677020072937,0.9231945276260376
