step,train_loss,epoch,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_em,test_loss
9,0.12392457574605942,0,,,,,,
19,0.04170725494623184,0,,,,,,
29,0.048002514988183975,0,,,,,,
39,0.06599258631467819,0,,,,,,
49,0.04914141446352005,0,,,,,,
59,0.04092435911297798,0,,,,,,
69,0.026179969310760498,0,,,,,,
79,0.05625772848725319,0,,,,,,
89,0.024812286719679832,0,,,,,,
99,0.041687291115522385,0,,,,,,
109,0.044537417590618134,0,,,,,,
119,0.034486979246139526,0,,,,,,
129,0.03014426864683628,0,,,,,,
139,0.03856756538152695,0,,,,,,
149,0.053746793419122696,0,,,,,,
159,0.02473975159227848,0,,,,,,
169,0.04289693385362625,0,,,,,,
179,0.03718506917357445,0,,,,,,
189,0.02668129839003086,0,,,,,,
199,0.034030426293611526,0,,,,,,
209,0.038680944591760635,0,,,,,,
219,0.029893280938267708,0,,,,,,
229,0.03864229470491409,0,,,,,,
239,0.03712698072195053,0,,,,,,
249,0.02855515480041504,0,,,,,,
259,0.02640686184167862,0,,,,,,
269,0.0340721569955349,0,,,,,,
279,0.03682224452495575,0,,,,,,
289,0.035852622240781784,0,,,,,,
299,0.038124486804008484,0,,,,,,
309,0.03337842598557472,0,,,,,,
319,0.017858082428574562,0,,,,,,
329,0.029725156724452972,0,,,,,,
339,0.02838578075170517,0,,,,,,
349,0.0405949130654335,0,,,,,,
359,0.05480403080582619,0,,,,,,
369,0.019670551642775536,0,,,,,,
379,0.020118961110711098,0,,,,,,
389,0.02425648830831051,0,,,,,,
399,0.026503853499889374,0,,,,,,
409,0.07444828748703003,0,,,,,,
419,0.03136076405644417,0,,,,,,
429,0.029360365122556686,0,,,,,,
439,0.026391861960291862,0,,,,,,
449,0.025180788710713387,0,,,,,,
459,0.012726245447993279,0,,,,,,
461,,0,0.8988016247749329,0.601137101650238,0.06310570240020752,0.5527613162994385,0.5069252252578735,
469,0.011806396767497063,1,,,,,,
479,0.02061481960117817,1,,,,,,
489,0.026079336181282997,1,,,,,,
499,0.017314599826931953,1,,,,,,
509,0.03200485184788704,1,,,,,,
519,0.023069661110639572,1,,,,,,
529,0.0492076650261879,1,,,,,,
539,0.0397757925093174,1,,,,,,
549,0.04495595395565033,1,,,,,,
559,0.03623964264988899,1,,,,,,
569,0.030939022079110146,1,,,,,,
579,0.025835370644927025,1,,,,,,
589,0.01627899333834648,1,,,,,,
