step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
9,2.7185444831848145,0,,,,,,,,,,
19,2.233210563659668,0,,,,,,,,,,
29,1.3296817541122437,0,,,,,,,,,,
39,1.4315160512924194,0,,,,,,,,,,
47,,0,1.8472689390182495,0.5295597314834595,0.5553222894668579,0.860772430896759,0.3722943663597107,,,,,
49,1.202311396598816,1,,,,,,,,,,
59,2.8800673484802246,1,,,,,,,,,,
69,2.212618112564087,1,,,,,,,,,,
79,1.5435099601745605,1,,,,,,,,,,
89,2.1680688858032227,1,,,,,,,,,,
95,,1,1.687597632408142,0.5444881319999695,0.5689290165901184,0.8657620549201965,0.4025973975658417,,,,,
99,0.8583726286888123,2,,,,,,,,,,
109,0.8822341561317444,2,,,,,,,,,,
119,1.2408899068832397,2,,,,,,,,,,
129,0.8451414108276367,2,,,,,,,,,,
139,1.1998610496520996,2,,,,,,,,,,
143,,2,1.6123682260513306,0.5717021226882935,0.6001302003860474,0.8782320022583008,0.4372294247150421,,,,,
149,1.1474932432174683,3,,,,,,,,,,
159,1.6159768104553223,3,,,,,,,,,,
169,1.0236191749572754,3,,,,,,,,,,
179,1.249916911125183,3,,,,,,,,,,
189,1.7136367559432983,3,,,,,,,,,,
191,,3,1.5987389087677002,0.562923789024353,0.5856770873069763,0.8766023516654968,0.43290042877197266,,,,,
199,1.5434932708740234,4,,,,,,,,,,
209,1.278166651725769,4,,,,,,,,,,
219,1.90293550491333,4,,,,,,,,,,
229,1.0881881713867188,4,,,,,,,,,,
239,1.5831327438354492,4,,,,,,,,,,
239,,4,1.570837140083313,0.5742926597595215,0.5975097417831421,0.8771641850471497,0.4502164423465729,,,,,
240,,5,,,,,,0.4502164423465729,1.570837140083313,0.5975097417831421,0.5742926597595215,0.8771641850471497
