step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_loss,val_qa_answer_f1,val_qa_sas,test_loss
9,0.8492764830589294,0,,,,,,
19,0.6450263261795044,0,,,,,,
29,0.30477669835090637,0,,,,,,
39,0.5909786820411682,0,,,,,,
49,0.558325469493866,0,,,,,,
59,0.3909159004688263,0,,,,,,
69,0.4453343451023102,0,,,,,,
79,0.28567129373550415,0,,,,,,
89,1.2553294897079468,0,,,,,,
97,,0,0.8332309722900391,0.3014354109764099,0.18041932582855225,0.447657972574234,0.4870055615901947,
99,0.5374523401260376,1,,,,,,
109,0.7222304344177246,1,,,,,,
119,0.3901772201061249,1,,,,,,
129,0.5636410713195801,1,,,,,,
139,0.4297804832458496,1,,,,,,
149,0.5129081010818481,1,,,,,,
159,0.4140366017818451,1,,,,,,
169,0.542540967464447,1,,,,,,
179,0.2347911298274994,1,,,,,,
189,0.6307160258293152,1,,,,,,
195,,1,0.858674943447113,0.3971291780471802,0.14759297668933868,0.5196631550788879,0.5535915493965149,
199,0.2546885311603546,2,,,,,,
209,0.19330252707004547,2,,,,,,
219,0.23743130266666412,2,,,,,,
229,0.2182704359292984,2,,,,,,
239,0.3879856765270233,2,,,,,,
249,0.14501632750034332,2,,,,,,
259,0.1871812641620636,2,,,,,,
269,0.25559213757514954,2,,,,,,
279,0.324734091758728,2,,,,,,
289,0.21443070471286774,2,,,,,,
293,,2,0.8756948113441467,0.45933014154434204,0.13694699108600616,0.5795743465423584,0.6061742901802063,
299,0.11696672439575195,3,,,,,,
309,0.20795460045337677,3,,,,,,
319,0.19686585664749146,3,,,,,,
329,0.1508764773607254,3,,,,,,
339,0.11771686375141144,3,,,,,,
349,0.14212103188037872,3,,,,,,
359,0.08427562564611435,3,,,,,,
369,0.15386301279067993,3,,,,,,
379,0.05123327672481537,3,,,,,,
389,0.10499431937932968,3,,,,,,
391,,3,0.8806289434432983,0.49760764837265015,0.1368846744298935,0.6111422181129456,0.6374567747116089,
399,0.16081418097019196,4,,,,,,
409,0.053998224437236786,4,,,,,,
419,0.19497612118721008,4,,,,,,
429,0.4071985185146332,4,,,,,,
439,0.21608980000019073,4,,,,,,
449,0.050832368433475494,4,,,,,,
459,0.2546684443950653,4,,,,,,
469,0.059151049703359604,4,,,,,,
479,0.0545097254216671,4,,,,,,
489,3.0524613857269287,4,,,,,,
489,,4,0.8867009878158569,0.5023923516273499,0.14538446068763733,0.6221969723701477,0.6456442475318909,
490,,5,,,,,,0.14538446068763733
