step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss
9,1.1537466049194336,0,,,,,,
19,0.674591600894928,0,,,,,,
29,0.33288902044296265,0,,,,,,
39,0.3340805470943451,0,,,,,,
49,0.44692885875701904,0,,,,,,
59,0.3671513795852661,0,,,,,,
69,0.6952471137046814,0,,,,,,
79,0.41279396414756775,0,,,,,,
89,0.2738266885280609,0,,,,,,
99,0.21774721145629883,0,,,,,,
109,0.20735524594783783,0,,,,,,
119,0.1988939791917801,0,,,,,,
123,,0,0.34568822383880615,0.07717158645391464,0.34519219398498535,0.27542373538017273,0.8158092498779297,
129,0.34308159351348877,1,,,,,,
139,0.20631466805934906,1,,,,,,
149,0.13740380108356476,1,,,,,,
159,0.29298558831214905,1,,,,,,
169,0.15480688214302063,1,,,,,,
179,0.13909006118774414,1,,,,,,
189,0.3550630807876587,1,,,,,,
199,0.21432185173034668,1,,,,,,
209,0.18375638127326965,1,,,,,,
219,0.11430375277996063,1,,,,,,
229,0.32954737544059753,1,,,,,,
239,0.24957655370235443,1,,,,,,
247,,1,0.40071195363998413,0.057934489101171494,0.38434621691703796,0.3262711763381958,0.8308818936347961,
249,0.1039503738284111,2,,,,,,
259,0.13908886909484863,2,,,,,,
269,0.1359061449766159,2,,,,,,
279,0.17956048250198364,2,,,,,,
289,0.13144491612911224,2,,,,,,
299,0.097405806183815,2,,,,,,
309,0.14430275559425354,2,,,,,,
319,0.07914940267801285,2,,,,,,
329,0.1100548803806305,2,,,,,,
339,0.07353255152702332,2,,,,,,
349,0.08188288658857346,2,,,,,,
359,0.11293701082468033,2,,,,,,
369,0.07209999114274979,2,,,,,,
371,,2,0.45628467202186584,0.0558183453977108,0.4308582842350006,0.3813559412956238,0.8493090271949768,
379,0.09594044089317322,3,,,,,,
389,0.15037724375724792,3,,,,,,
399,0.16014215350151062,3,,,,,,
409,0.04544619843363762,3,,,,,,
419,0.10805318504571915,3,,,,,,
429,0.10775347799062729,3,,,,,,
439,0.09880851209163666,3,,,,,,
449,0.040580496191978455,3,,,,,,
459,0.07281096279621124,3,,,,,,
469,0.08099674433469772,3,,,,,,
479,0.06381889432668686,3,,,,,,
489,0.055391788482666016,3,,,,,,
495,,3,0.4890768527984619,0.060840386897325516,0.45478442311286926,0.4237288236618042,0.8584839105606079,
499,0.020227855071425438,4,,,,,,
509,0.060771092772483826,4,,,,,,
519,0.043845515698194504,4,,,,,,
529,0.037616241723299026,4,,,,,,
539,0.031415823847055435,4,,,,,,
549,0.03607358783483505,4,,,,,,
559,0.05016684532165527,4,,,,,,
569,0.042466919869184494,4,,,,,,
579,0.03259750083088875,4,,,,,,
589,0.03830944374203682,4,,,,,,
599,0.034893542528152466,4,,,,,,
609,0.04726826772093773,4,,,,,,
619,0.0036476654931902885,4,,,,,,
619,,4,0.5145540833473206,0.07094137370586395,0.4804556965827942,0.4449152648448944,0.8645066022872925,
620,,5,,,,,,0.07094137370586395
