epoch,step,train_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,test_loss
0,9,1.8501566648483276,,,,,,
0,19,0.7061959505081177,,,,,,
0,29,0.1790400743484497,,,,,,
0,39,0.7045186161994934,,,,,,
0,49,0.31379085779190063,,,,,,
0,59,0.44018179178237915,,,,,,
0,69,0.5541117787361145,,,,,,
0,79,0.2700313627719879,,,,,,
0,89,0.5717294812202454,,,,,,
0,99,0.4654276967048645,,,,,,
0,102,,0.8383405804634094,0.4661320149898529,0.29885056614875793,0.5250529050827026,0.18306216597557068,
1,109,0.7081085443496704,,,,,,
1,119,0.29433855414390564,,,,,,
1,129,0.5722354650497437,,,,,,
1,139,0.7364295125007629,,,,,,
1,149,0.5568791627883911,,,,,,
1,159,0.3641328513622284,,,,,,
1,169,0.8641552329063416,,,,,,
1,179,0.2538118362426758,,,,,,
1,189,0.4080868065357208,,,,,,
1,199,0.33033287525177,,,,,,
1,205,,0.8519173860549927,0.5072889924049377,0.3563218414783478,0.5483438968658447,0.1679186224937439,
2,209,0.3320109248161316,,,,,,
2,219,0.23160505294799805,,,,,,
2,229,0.10345789045095444,,,,,,
2,239,0.45707860589027405,,,,,,
2,249,0.24003544449806213,,,,,,
2,259,0.1778792291879654,,,,,,
2,269,0.30542153120040894,,,,,,
2,279,0.10714516043663025,,,,,,
2,289,0.22905807197093964,,,,,,
2,299,0.34774577617645264,,,,,,
2,308,,0.8567233085632324,0.5273429751396179,0.39080458879470825,0.5660430192947388,0.16191236674785614,
3,309,0.25359687209129333,,,,,,
3,319,0.27642545104026794,,,,,,
3,329,0.5696873664855957,,,,,,
3,339,0.07986877858638763,,,,,,
3,349,0.089698925614357,,,,,,
3,359,0.13084213435649872,,,,,,
3,369,0.06441794335842133,,,,,,
3,379,0.05385870859026909,,,,,,
3,389,0.19681993126869202,,,,,,
3,399,0.16271167993545532,,,,,,
3,409,0.09213957190513611,,,,,,
3,411,,0.8596773147583008,0.5314481258392334,0.3965517282485962,0.5691239833831787,0.17153263092041016,
4,419,0.13918733596801758,,,,,,
4,429,0.02737659215927124,,,,,,
4,439,0.24081186950206757,,,,,,
4,449,0.023982567712664604,,,,,,
4,459,0.18974073231220245,,,,,,
4,469,0.09047501534223557,,,,,,
4,479,0.08200057595968246,,,,,,
4,489,0.048951391130685806,,,,,,
4,499,0.11148137599229813,,,,,,
4,509,0.03398783132433891,,,,,,
4,514,,0.8566513657569885,0.5262756943702698,0.3965517282485962,0.5589939951896667,0.19280476868152618,
5,515,,,,,,,0.17153263092041016
