train_loss,step,epoch,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,test_loss
0.9464883208274841,9,0,,,,,,
0.8978216052055359,19,0,,,,,,
0.4497999846935272,29,0,,,,,,
0.5912215113639832,39,0,,,,,,
0.5097232460975647,49,0,,,,,,
0.17311258614063263,59,0,,,,,,
0.45801928639411926,69,0,,,,,,
0.31218579411506653,79,0,,,,,,
0.17763085663318634,89,0,,,,,,
0.22986209392547607,99,0,,,,,,
0.19901123642921448,109,0,,,,,,
,118,0,0.3711022138595581,0.3743996322154999,0.3125,0.8187922239303589,0.07940495014190674,
0.23416128754615784,119,1,,,,,,
0.18606197834014893,129,1,,,,,,
0.2877635955810547,139,1,,,,,,
0.249302938580513,149,1,,,,,,
0.24947737157344818,159,1,,,,,,
0.4828762710094452,169,1,,,,,,
0.22972851991653442,179,1,,,,,,
0.19764754176139832,189,1,,,,,,
0.1634404957294464,199,1,,,,,,
0.1861857771873474,209,1,,,,,,
0.21119213104248047,219,1,,,,,,
0.20478156208992004,229,1,,,,,,
,237,1,0.39787599444389343,0.41362830996513367,0.34558823704719543,0.8298164010047913,0.06622698903083801,
0.0814562439918518,239,2,,,,,,
0.1241874173283577,249,2,,,,,,
0.15058806538581848,259,2,,,,,,
0.08804900199174881,269,2,,,,,,
0.07029455155134201,279,2,,,,,,
0.15551425516605377,289,2,,,,,,
0.1321427971124649,299,2,,,,,,
0.10057239979505539,309,2,,,,,,
0.162414088845253,319,2,,,,,,
0.12205091118812561,329,2,,,,,,
0.138790562748909,339,2,,,,,,
0.13104668259620667,349,2,,,,,,
,356,2,0.42265820503234863,0.44163861870765686,0.37867647409439087,0.8381166458129883,0.06620419025421143,
0.10825566947460175,359,3,,,,,,
0.09142713993787766,369,3,,,,,,
0.09770549088716507,379,3,,,,,,
0.07689960300922394,389,3,,,,,,
0.12509234249591827,399,3,,,,,,
0.12193909287452698,409,3,,,,,,
0.11026480793952942,419,3,,,,,,
0.059199389070272446,429,3,,,,,,
0.07665519416332245,439,3,,,,,,
0.03553008660674095,449,3,,,,,,
0.08802951127290726,459,3,,,,,,
0.15697188675403595,469,3,,,,,,
,475,3,0.45202717185020447,0.4754047989845276,0.4154411852359772,0.8458651304244995,0.069860078394413,
0.03217224404215813,479,4,,,,,,
0.07054995000362396,489,4,,,,,,
0.05868643522262573,499,4,,,,,,
0.054547425359487534,509,4,,,,,,
0.13866670429706573,519,4,,,,,,
0.07947110384702682,529,4,,,,,,
0.08532087504863739,539,4,,,,,,
0.09116263687610626,549,4,,,,,,
0.028314875438809395,559,4,,,,,,
0.057284533977508545,569,4,,,,,,
0.07295399904251099,579,4,,,,,,
0.07453940808773041,589,4,,,,,,
,594,4,0.45133471488952637,0.47450846433639526,0.4117647111415863,0.8460181951522827,0.07579712569713593,
,595,5,,,,,,0.07579712569713593
