epoch,train_loss,step,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
0,0.39560770988464355,9,,,,,,,,,,
0,0.43598419427871704,19,,,,,,,,,,
0,0.1833001673221588,29,,,,,,,,,,
0,0.3435223400592804,39,,,,,,,,,,
0,0.1563466638326645,49,,,,,,,,,,
0,0.3032984733581543,59,,,,,,,,,,
0,0.1193041205406189,69,,,,,,,,,,
0,0.08250564336776733,79,,,,,,,,,,
0,0.12264829874038696,89,,,,,,,,,,
0,,93,0.11402642726898193,0.6915991902351379,0.7181803584098816,0.6518324613571167,0.9317331910133362,,,,,
1,0.23392105102539062,99,,,,,,,,,,
1,0.1073201522231102,109,,,,,,,,,,
1,0.08043644577264786,119,,,,,,,,,,
1,0.22863683104515076,129,,,,,,,,,,
1,0.08996342867612839,139,,,,,,,,,,
1,0.06824326515197754,149,,,,,,,,,,
1,0.061197858303785324,159,,,,,,,,,,
1,0.07508489489555359,169,,,,,,,,,,
1,0.28727129101753235,179,,,,,,,,,,
1,,187,0.101959727704525,0.7319680452346802,0.7525431513786316,0.6963350772857666,0.9406766891479492,,,,,
2,0.08940307050943375,189,,,,,,,,,,
2,0.08184093236923218,199,,,,,,,,,,
2,0.10257107019424438,209,,,,,,,,,,
2,0.11899080127477646,219,,,,,,,,,,
2,0.11616460233926773,229,,,,,,,,,,
2,0.037504322826862335,239,,,,,,,,,,
2,0.13445395231246948,249,,,,,,,,,,
2,0.06564952433109283,259,,,,,,,,,,
2,0.05475300922989845,269,,,,,,,,,,
2,0.057318635284900665,279,,,,,,,,,,
2,,281,0.09523022174835205,0.7494090795516968,0.7683919072151184,0.717277467250824,0.9450488686561584,,,,,
3,0.07391069829463959,289,,,,,,,,,,
3,0.050944648683071136,299,,,,,,,,,,
3,0.05883774161338806,309,,,,,,,,,,
3,0.05866235867142677,319,,,,,,,,,,
3,0.0687200278043747,329,,,,,,,,,,
3,0.04810551926493645,339,,,,,,,,,,
3,0.07968955487012863,349,,,,,,,,,,
3,0.1896001547574997,359,,,,,,,,,,
3,0.32238101959228516,369,,,,,,,,,,
3,,375,0.08906257897615433,0.7693563103675842,0.7843424677848816,0.7408376932144165,0.9495009779930115,,,,,
4,0.05305449664592743,379,,,,,,,,,,
4,0.14428268373012543,389,,,,,,,,,,
4,0.04469487443566322,399,,,,,,,,,,
4,0.07062957435846329,409,,,,,,,,,,
4,0.04151345044374466,419,,,,,,,,,,
4,0.04744996875524521,429,,,,,,,,,,
4,0.05549963563680649,439,,,,,,,,,,
4,0.054800067096948624,449,,,,,,,,,,
4,0.15816548466682434,459,,,,,,,,,,
4,0.28304222226142883,469,,,,,,,,,,
4,,469,0.08773598819971085,0.7730177044868469,0.7879638671875,0.7434554696083069,0.9504842162132263,,,,,
5,,470,,,,,,0.9504842162132263,0.08773598819971085,0.7730177044868469,0.7879638671875,0.7434554696083069
