step,epoch,train_loss,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
9,0,3.9798758029937744,,,,,,,,,,
19,0,1.6633985042572021,,,,,,,,,,
29,0,2.7344422340393066,,,,,,,,,,
39,0,2.357287645339966,,,,,,,,,,
49,0,2.3977091312408447,,,,,,,,,,
53,0,,0.16834403574466705,0.7463883757591248,2.001162052154541,0.2057444304227829,0.09189189225435257,,,,,
59,1,1.9127393960952759,,,,,,,,,,
69,1,1.7408851385116577,,,,,,,,,,
79,1,2.2586004734039307,,,,,,,,,,
89,1,2.618394136428833,,,,,,,,,,
99,1,1.9326117038726807,,,,,,,,,,
107,1,,0.31509262323379517,0.7924208045005798,1.6873644590377808,0.366973876953125,0.16756756603717804,,,,,
109,2,2.186170816421509,,,,,,,,,,
119,2,1.94496750831604,,,,,,,,,,
129,2,1.5111950635910034,,,,,,,,,,
139,2,7.346785068511963,,,,,,,,,,
149,2,1.8764748573303223,,,,,,,,,,
159,2,1.5494517087936401,,,,,,,,,,
161,2,,0.3799991011619568,0.8132557272911072,1.550804853439331,0.4267069399356842,0.227027028799057,,,,,
169,3,1.696969747543335,,,,,,,,,,
179,3,4.396919250488281,,,,,,,,,,
189,3,1.41593599319458,,,,,,,,,,
199,3,1.3563206195831299,,,,,,,,,,
209,3,1.7201883792877197,,,,,,,,,,
215,3,,0.4321483373641968,0.8258965611457825,1.4892182350158691,0.4790751039981842,0.2702702581882477,,,,,
219,4,0.8598387837409973,,,,,,,,,,
229,4,1.7480747699737549,,,,,,,,,,
239,4,1.5032527446746826,,,,,,,,,,
249,4,0.375872939825058,,,,,,,,,,
259,4,3.1292717456817627,,,,,,,,,,
269,4,1.6001698970794678,,,,,,,,,,
269,4,,0.4583761394023895,0.8346968293190002,1.4333311319351196,0.4992167055606842,0.3027026951313019,,,,,
270,5,,,,,,,0.4583761394023895,0.3027026951313019,0.4992167055606842,1.4333311319351196,0.8346968293190002
