step,train_loss,epoch,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_loss
9,0.6462128758430481,0,,,,,,
19,0.7393501996994019,0,,,,,,
29,0.7834540605545044,0,,,,,,
39,0.5033212900161743,0,,,,,,
49,0.40724802017211914,0,,,,,,
59,0.3464058041572571,0,,,,,,
69,0.38049250841140747,0,,,,,,
79,0.8517569899559021,0,,,,,,
89,0.5045840740203857,0,,,,,,
99,0.36034873127937317,0,,,,,,
109,0.39815929532051086,0,,,,,,
119,0.7463240027427673,0,,,,,,
129,0.11414194852113724,0,,,,,,
139,0.35011526942253113,0,,,,,,
149,0.29971951246261597,0,,,,,,
159,0.6379103660583496,0,,,,,,
169,0.35735243558883667,0,,,,,,
179,0.3710216283798218,0,,,,,,
189,0.5231005549430847,0,,,,,,
199,0.1618104875087738,0,,,,,,
209,0.08711150288581848,0,,,,,,
219,0.2655978202819824,0,,,,,,
229,0.16802740097045898,0,,,,,,
239,0.49895310401916504,0,,,,,,
249,1.3902456760406494,0,,,,,,
259,0.8537001609802246,0,,,,,,
269,0.18060022592544556,0,,,,,,
279,0.12163325399160385,0,,,,,,
289,0.17303450405597687,0,,,,,,
299,0.1391354203224182,0,,,,,,
309,0.28204798698425293,0,,,,,,
319,0.23236021399497986,0,,,,,,
329,0.11777612566947937,0,,,,,,
339,0.4925226867198944,0,,,,,,
349,0.9157842397689819,0,,,,,,
352,,0,0.5875137448310852,0.46889951825141907,0.6093156337738037,0.07507509738206863,0.8811105489730835,
359,0.26294511556625366,1,,,,,,
369,0.09236007928848267,1,,,,,,
379,0.18081483244895935,1,,,,,,
389,0.20559076964855194,1,,,,,,
399,0.2249281406402588,1,,,,,,
409,0.3564535081386566,1,,,,,,
419,0.14343687891960144,1,,,,,,
429,0.12806791067123413,1,,,,,,
439,0.14938469231128693,1,,,,,,
449,0.1728975474834442,1,,,,,,
459,0.28762513399124146,1,,,,,,
469,0.4107058644294739,1,,,,,,
479,0.332987904548645,1,,,,,,
489,0.054064832627773285,1,,,,,,
499,0.32254454493522644,1,,,,,,
509,0.13583147525787354,1,,,,,,
519,0.08814597874879837,1,,,,,,
529,0.10016610473394394,1,,,,,,
539,0.20035776495933533,1,,,,,,
549,0.09216605126857758,1,,,,,,
559,0.1707482784986496,1,,,,,,
569,0.4721955358982086,1,,,,,,
579,0.28636884689331055,1,,,,,,
589,0.4490453898906708,1,,,,,,
599,0.8408830165863037,1,,,,,,
609,0.20006541907787323,1,,,,,,
619,0.08629243820905685,1,,,,,,
629,0.15703974664211273,1,,,,,,
639,0.09302917867898941,1,,,,,,
649,0.08243671804666519,1,,,,,,
659,0.07284902781248093,1,,,,,,
669,0.5846319198608398,1,,,,,,
679,0.2523069381713867,1,,,,,,
689,0.07202504575252533,1,,,,,,
699,0.4453314542770386,1,,,,,,
705,,1,0.6139818429946899,0.5167464017868042,0.636073648929596,0.06180097907781601,0.8918880224227905,
