epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss
0,9,1.447766900062561,,,,,,
0,19,0.8774490356445312,,,,,,
0,29,0.3264177143573761,,,,,,
0,39,0.22888998687267303,,,,,,
0,49,0.7363154292106628,,,,,,
0,59,0.8038906455039978,,,,,,
0,69,0.8867365121841431,,,,,,
0,79,0.4833105206489563,,,,,,
0,89,0.43906083703041077,,,,,,
0,94,,0.5769011974334717,0.5565648078918457,0.33947888016700745,0.8576059341430664,0.41558441519737244,
1,99,0.2522829473018646,,,,,,
1,109,0.9307758212089539,,,,,,
1,119,0.4811759889125824,,,,,,
1,129,0.45493507385253906,,,,,,
1,139,0.5684284567832947,,,,,,
1,149,0.17982140183448792,,,,,,
1,159,0.1393412947654724,,,,,,
1,169,0.31291037797927856,,,,,,
1,179,0.22503463923931122,,,,,,
1,189,0.43974027037620544,,,,,,
1,189,,0.5975896716117859,0.586823046207428,0.3106597065925598,0.868437647819519,0.48051947355270386,
2,199,0.24562259018421173,,,,,,
2,209,0.16602723300457,,,,,,
2,219,0.21518851816654205,,,,,,
2,229,0.4619026184082031,,,,,,
2,239,0.2195468246936798,,,,,,
2,249,0.6629775166511536,,,,,,
2,259,0.38760098814964294,,,,,,
2,269,0.2161216288805008,,,,,,
2,279,0.23005691170692444,,,,,,
2,284,,0.6096952557563782,0.5958384275436401,0.3130708336830139,0.8697039484977722,0.4761904776096344,
3,289,0.07389410585165024,,,,,,
3,299,0.38169634342193604,,,,,,
3,309,0.20541930198669434,,,,,,
3,319,0.23058292269706726,,,,,,
3,329,0.2911882698535919,,,,,,
3,339,0.05336924269795418,,,,,,
3,349,0.04890970140695572,,,,,,
3,359,0.19267763197422028,,,,,,
3,369,0.05809277668595314,,,,,,
3,379,0.21997931599617004,,,,,,
3,379,,0.6195694804191589,0.6030740737915039,0.3228006362915039,0.8731167316436768,0.48917749524116516,
4,389,0.08103728294372559,,,,,,
4,399,0.06474091857671738,,,,,,
4,409,0.12671811878681183,,,,,,
4,419,0.1941906362771988,,,,,,
4,429,0.11178047209978104,,,,,,
4,439,0.4376312494277954,,,,,,
4,449,0.19413699209690094,,,,,,
4,459,0.12099432945251465,,,,,,
4,469,0.04745257645845413,,,,,,
4,474,,0.6277894973754883,0.6119321584701538,0.3427751660346985,0.8757445216178894,0.4935064911842346,
5,475,,,,,,,0.3427751660346985
