step,epoch,train_loss,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_loss
9,0,1.1505910158157349,,,,,,
19,0,0.371218740940094,,,,,,
29,0,0.563722550868988,,,,,,
39,0,0.61766117811203,,,,,,
49,0,0.3779955506324768,,,,,,
59,0,0.6702814698219299,,,,,,
69,0,0.47047439217567444,,,,,,
79,0,0.8124471306800842,,,,,,
89,0,0.5252245664596558,,,,,,
99,0,0.8375657796859741,,,,,,
102,0,,0.14736314117908478,0.3008849620819092,0.4878961741924286,0.5353320240974426,0.8436813950538635,
109,1,0.5982802510261536,,,,,,
119,1,2.082573652267456,,,,,,
129,1,0.9948056936264038,,,,,,
139,1,0.10191205888986588,,,,,,
149,1,0.5432222485542297,,,,,,
159,1,0.15430615842342377,,,,,,
169,1,0.2872595191001892,,,,,,
179,1,0.24982298910617828,,,,,,
189,1,0.33618175983428955,,,,,,
199,1,0.41378989815711975,,,,,,
205,1,,0.13482478260993958,0.36725664138793945,0.5398562550544739,0.5825707912445068,0.8598468899726868,
209,2,0.1612910032272339,,,,,,
219,2,0.21479608118534088,,,,,,
229,2,0.14289742708206177,,,,,,
239,2,0.2690408229827881,,,,,,
249,2,0.19919563829898834,,,,,,
259,2,0.06548002362251282,,,,,,
269,2,0.29089128971099854,,,,,,
279,2,0.10689596086740494,,,,,,
289,2,0.6315532922744751,,,,,,
299,2,0.15512695908546448,,,,,,
308,2,,0.12223955243825912,0.4247787594795227,0.5810219645500183,0.6200297474861145,0.8753308653831482,
309,3,0.055048998445272446,,,,,,
319,3,0.07676515728235245,,,,,,
329,3,0.18353070318698883,,,,,,
339,3,0.09890340268611908,,,,,,
349,3,0.18888795375823975,,,,,,
359,3,0.03464563563466072,,,,,,
369,3,0.10322606563568115,,,,,,
379,3,0.1821298599243164,,,,,,
389,3,0.043549131602048874,,,,,,
399,3,0.17338338494300842,,,,,,
409,3,0.24038085341453552,,,,,,
411,3,,0.12347719073295593,0.4292035400867462,0.5868484377861023,0.6247677803039551,0.8755531907081604,
419,4,0.04730542376637459,,,,,,
429,4,0.1425582617521286,,,,,,
439,4,0.25992533564567566,,,,,,
449,4,0.027933478355407715,,,,,,
459,4,0.02400536835193634,,,,,,
469,4,0.02661680430173874,,,,,,
479,4,0.0633637085556984,,,,,,
489,4,0.16103757917881012,,,,,,
499,4,0.020164769142866135,,,,,,
509,4,0.04084036499261856,,,,,,
514,4,,0.13166245818138123,0.4336283206939697,0.5868204236030579,0.6170014142990112,0.8761001229286194,
515,5,,,,,,,0.13166245818138123
