train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_loss
0.5166852474212646,0,9,,,,,,
0.6368178129196167,0,19,,,,,,
0.40316110849380493,0,29,,,,,,
0.4945126175880432,0,39,,,,,,
0.26913201808929443,0,49,,,,,,
0.5594707727432251,0,59,,,,,,
0.3627610206604004,0,69,,,,,,
0.3172120451927185,0,79,,,,,,
0.33320048451423645,0,89,,,,,,
0.34937790036201477,0,99,,,,,,
,0,107,0.8647489547729492,0.5966809391975403,0.17481695115566254,0.37837839126586914,0.5592946410179138,
0.6272569298744202,1,109,,,,,,
0.5380924940109253,1,119,,,,,,
0.19875890016555786,1,129,,,,,,
0.1594332903623581,1,139,,,,,,
0.3375399708747864,1,149,,,,,,
0.7705440521240234,1,159,,,,,,
0.323794424533844,1,169,,,,,,
0.186441570520401,1,179,,,,,,
0.3567732572555542,1,189,,,,,,
0.6155940890312195,1,199,,,,,,
0.5256268978118896,1,209,,,,,,
,1,215,0.8830578923225403,0.6513943076133728,0.16209392249584198,0.4486486613750458,0.6220094561576843,
0.07800111174583435,2,219,,,,,,
0.209156796336174,2,229,,,,,,
0.22653789818286896,2,239,,,,,,
0.6619215607643127,2,249,,,,,,
0.06500200182199478,2,259,,,,,,
0.17984305322170258,2,269,,,,,,
0.3272815942764282,2,279,,,,,,
0.41277748346328735,2,289,,,,,,
0.1788744032382965,2,299,,,,,,
0.37438756227493286,2,309,,,,,,
0.2556055784225464,2,319,,,,,,
,2,323,0.8839833736419678,0.6484556198120117,0.16332729160785675,0.4486486613750458,0.6232291460037231,
0.12720055878162384,3,329,,,,,,
0.04805348441004753,3,339,,,,,,
0.3429591953754425,3,349,,,,,,
0.0946841761469841,3,359,,,,,,
0.15171639621257782,3,369,,,,,,
0.12704885005950928,3,379,,,,,,
0.181982159614563,3,389,,,,,,
0.19204621016979218,3,399,,,,,,
0.4362441301345825,3,409,,,,,,
0.10444213449954987,3,419,,,,,,
0.06938930600881577,3,429,,,,,,
,3,431,0.8848971724510193,0.6454269289970398,0.1708087921142578,0.45945945382118225,0.6230189204216003,
0.06487290561199188,4,439,,,,,,
0.0785815641283989,4,449,,,,,,
0.31755656003952026,4,459,,,,,,
0.01718629151582718,4,469,,,,,,
0.05231072008609772,4,479,,,,,,
0.07248198240995407,4,489,,,,,,
0.7345434427261353,4,499,,,,,,
0.03743729367852211,4,509,,,,,,
0.05180264636874199,4,519,,,,,,
0.16548018157482147,4,529,,,,,,
0.1363028734922409,4,539,,,,,,
,4,539,0.8867402672767639,0.6460981369018555,0.1797405183315277,0.47567567229270935,0.6288139820098877,
,5,540,,,,,,0.1797405183315277
