step,epoch,train_loss,val_qa_sas,val_qa_em,val_loss,val_qa_bert_score,val_qa_answer_f1,test_loss
9,0,1.455105185508728,,,,,,
19,0,0.8284507989883423,,,,,,
29,0,0.48941123485565186,,,,,,
39,0,0.20692947506904602,,,,,,
49,0,0.6649119853973389,,,,,,
59,0,0.713728666305542,,,,,,
69,0,0.8664798736572266,,,,,,
79,0,0.6447567343711853,,,,,,
89,0,0.46499666571617126,,,,,,
94,0,,0.5376805663108826,0.39393940567970276,0.3540096879005432,0.8499197363853455,0.5224618315696716,
99,1,0.2896479368209839,,,,,,
109,1,1.074474573135376,,,,,,
119,1,0.418247252702713,,,,,,
129,1,0.3880612552165985,,,,,,
139,1,0.7001915574073792,,,,,,
149,1,0.4064231216907501,,,,,,
159,1,0.11507207900285721,,,,,,
169,1,0.2470015585422516,,,,,,
179,1,0.1507580727338791,,,,,,
189,1,0.38113805651664734,,,,,,
189,1,,0.5757586359977722,0.4502164423465729,0.32748880982398987,0.8617902994155884,0.5605742335319519,
199,2,0.26065459847450256,,,,,,
209,2,0.17994087934494019,,,,,,
219,2,0.2736485004425049,,,,,,
229,2,0.49393707513809204,,,,,,
239,2,0.20734471082687378,,,,,,
249,2,0.6591574549674988,,,,,,
259,2,0.32412824034690857,,,,,,
269,2,0.28957489132881165,,,,,,
279,2,0.21165220439434052,,,,,,
284,2,,0.5683338642120361,0.4285714328289032,0.3308810293674469,0.8594854474067688,0.5489271879196167,
289,3,0.08234190940856934,,,,,,
299,3,0.5356196761131287,,,,,,
309,3,0.14115934073925018,,,,,,
319,3,0.16086365282535553,,,,,,
329,3,0.32184380292892456,,,,,,
339,3,0.11391415446996689,,,,,,
349,3,0.02605997957289219,,,,,,
359,3,0.1659581959247589,,,,,,
369,3,0.04391500726342201,,,,,,
379,3,0.12261159718036652,,,,,,
379,3,,0.5577415227890015,0.4199134111404419,0.3385675549507141,0.8574308753013611,0.538490355014801,
389,4,0.06946051865816116,,,,,,
399,4,0.07320598512887955,,,,,,
409,4,0.1558218002319336,,,,,,
419,4,0.16803553700447083,,,,,,
429,4,0.09867595136165619,,,,,,
439,4,0.3112744987010956,,,,,,
449,4,0.14769147336483002,,,,,,
459,4,0.13876932859420776,,,,,,
469,4,0.035941604524850845,,,,,,
474,4,,0.5749753713607788,0.4502164423465729,0.3591856360435486,0.8622190952301025,0.5552085638046265,
475,5,,,,,,,0.32748880982398987
