step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
9,1.6700177192687988,0,,,,,,,,,,
19,1.1438169479370117,0,,,,,,,,,,
29,0.96535325050354,0,,,,,,,,,,
39,0.7675153613090515,0,,,,,,,,,,
41,,0,0.7848678827285767,0.20129869878292084,0.2669128477573395,0.5022391676902771,0.2904566526412964,,,,,
49,0.5995129346847534,1,,,,,,,,,,
59,0.5057142376899719,1,,,,,,,,,,
69,0.5800999999046326,1,,,,,,,,,,
79,0.3222087025642395,1,,,,,,,,,,
83,,1,0.8073314428329468,0.2922077775001526,0.33885496854782104,0.370872437953949,0.3673459589481354,,,,,
89,0.42686331272125244,2,,,,,,,,,,
99,0.4795294404029846,2,,,,,,,,,,
109,0.32526716589927673,2,,,,,,,,,,
119,0.3626735210418701,2,,,,,,,,,,
125,,2,0.8253194689750671,0.37012988328933716,0.40327149629592896,0.31721287965774536,0.43024057149887085,,,,,
129,0.5334804654121399,3,,,,,,,,,,
139,0.34426364302635193,3,,,,,,,,,,
149,0.35144487023353577,3,,,,,,,,,,
159,0.2779211699962616,3,,,,,,,,,,
167,,3,0.8223590850830078,0.33766233921051025,0.3747009336948395,0.2932097911834717,0.40433698892593384,,,,,
169,0.47066640853881836,4,,,,,,,,,,
179,0.47237375378608704,4,,,,,,,,,,
189,0.4017011225223541,4,,,,,,,,,,
199,0.5293267369270325,4,,,,,,,,,,
209,0.38001951575279236,4,,,,,,,,,,
209,,4,0.8354381322860718,0.3961038887500763,0.42121583223342896,0.2820743918418884,0.45271211862564087,,,,,
210,,5,,,,,,0.45271211862564087,0.8354381322860718,0.2820743918418884,0.42121583223342896,0.3961038887500763
