step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,0.8075957894325256,,,,,,,,,,
19,0,0.933759868144989,,,,,,,,,,
29,0,1.0102183818817139,,,,,,,,,,
39,0,0.9441807270050049,,,,,,,,,,
41,0,,0.6410186886787415,0.7671262621879578,0.1913580298423767,0.2355034500360489,0.21775402128696442,,,,,
49,1,0.7196325659751892,,,,,,,,,,
59,1,0.48578208684921265,,,,,,,,,,
69,1,0.5575902462005615,,,,,,,,,,
79,1,0.3621521592140198,,,,,,,,,,
83,1,,0.3987922668457031,0.7980450987815857,0.2530864179134369,0.3179885447025299,0.2855585217475891,,,,,
89,2,0.595937192440033,,,,,,,,,,
99,2,0.3843948543071747,,,,,,,,,,
109,2,0.45342689752578735,,,,,,,,,,
119,2,0.4058951437473297,,,,,,,,,,
125,2,,0.3532813787460327,0.8041328191757202,0.29012346267700195,0.34807658195495605,0.30923739075660706,,,,,
129,3,0.3605717122554779,,,,,,,,,,
139,3,0.3286948502063751,,,,,,,,,,
149,3,0.4672181308269501,,,,,,,,,,
159,3,0.28502488136291504,,,,,,,,,,
167,3,,0.3274259567260742,0.8046998977661133,0.2839506268501282,0.34534889459609985,0.30637428164482117,,,,,
169,4,0.5831007957458496,,,,,,,,,,
179,4,0.34395813941955566,,,,,,,,,,
189,4,0.2630678415298462,,,,,,,,,,
199,4,0.2609756290912628,,,,,,,,,,
209,4,0.32870811223983765,,,,,,,,,,
209,4,,0.3020496368408203,0.8267663717269897,0.3580246865749359,0.4160652160644531,0.3707164525985718,,,,,
210,5,,,,,,,0.3580246865749359,0.4160652160644531,0.3020496368408203,0.8267663717269897,0.3707164525985718
