step,epoch,train_loss,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,1.7135976552963257,,,,,,,,,,
19,0,1.167143702507019,,,,,,,,,,
29,0,0.8212988972663879,,,,,,,,,,
39,0,0.797735333442688,,,,,,,,,,
49,0,0.7059779763221741,,,,,,,,,,
59,0,0.7352794408798218,,,,,,,,,,
60,0,,0.8183760643005371,0.32404422760009766,0.410392701625824,0.23166023194789886,0.2861991226673126,,,,,
69,1,0.5639103651046753,,,,,,,,,,
79,1,0.5766642093658447,,,,,,,,,,
89,1,0.5488836765289307,,,,,,,,,,
99,1,0.37133824825286865,,,,,,,,,,
109,1,0.43956121802330017,,,,,,,,,,
119,1,0.6422760486602783,,,,,,,,,,
121,1,,0.8359405398368835,0.39617905020713806,0.33758410811424255,0.3088802993297577,0.34728866815567017,,,,,
129,2,0.443541556596756,,,,,,,,,,
139,2,0.4021628499031067,,,,,,,,,,
149,2,0.4102722704410553,,,,,,,,,,
159,2,0.4370972216129303,,,,,,,,,,
169,2,0.4503194987773895,,,,,,,,,,
179,2,0.5156130790710449,,,,,,,,,,
182,2,,0.8514322638511658,0.44290563464164734,0.31137698888778687,0.3629343509674072,0.3926638066768646,,,,,
189,3,0.41613003611564636,,,,,,,,,,
199,3,0.21186061203479767,,,,,,,,,,
209,3,0.2383645623922348,,,,,,,,,,
219,3,0.43490344285964966,,,,,,,,,,
229,3,0.37958022952079773,,,,,,,,,,
239,3,0.25066888332366943,,,,,,,,,,
243,3,,0.854745626449585,0.45604461431503296,0.2962576448917389,0.38223937153816223,0.4220043122768402,,,,,
249,4,0.2090362012386322,,,,,,,,,,
259,4,0.23944421112537384,,,,,,,,,,
269,4,0.3078828454017639,,,,,,,,,,
279,4,0.2417459636926651,,,,,,,,,,
289,4,0.4691999852657318,,,,,,,,,,
299,4,0.31796741485595703,,,,,,,,,,
304,4,,0.8554154634475708,0.457400381565094,0.28652510046958923,0.38223937153816223,0.40908321738243103,,,,,
305,5,,,,,,,0.38223937153816223,0.457400381565094,0.28652510046958923,0.8554154634475708,0.40908321738243103
