step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
9,1.461562156677246,0,,,,,,,,,,
19,2.826779365539551,0,,,,,,,,,,
29,1.6195896863937378,0,,,,,,,,,,
39,2.1936752796173096,0,,,,,,,,,,
48,,0,1.941216230392456,0.47034454345703125,0.5473458170890808,0.8396798968315125,0.27751195430755615,,,,,
49,1.2031126022338867,1,,,,,,,,,,
59,1.4052798748016357,1,,,,,,,,,,
69,1.5782467126846313,1,,,,,,,,,,
79,2.026029586791992,1,,,,,,,,,,
89,1.291053056716919,1,,,,,,,,,,
97,,1,1.737238883972168,0.517940878868103,0.5257126688957214,0.8420101404190063,0.35885167121887207,,,,,
99,1.649120807647705,2,,,,,,,,,,
109,0.5014628767967224,2,,,,,,,,,,
119,1.5354169607162476,2,,,,,,,,,,
129,1.478588342666626,2,,,,,,,,,,
139,6.208775520324707,2,,,,,,,,,,
146,,2,1.6653798818588257,0.5309920310974121,0.5304385423660278,0.8473135232925415,0.3779904246330261,,,,,
149,1.9303494691848755,3,,,,,,,,,,
159,1.3837940692901611,3,,,,,,,,,,
169,0.8178136348724365,3,,,,,,,,,,
179,0.9619279503822327,3,,,,,,,,,,
189,0.8252726793289185,3,,,,,,,,,,
195,,3,1.6323696374893188,0.5452479720115662,0.610595703125,0.8793069124221802,0.4066985547542572,,,,,
199,1.3165912628173828,4,,,,,,,,,,
209,0.930225133895874,4,,,,,,,,,,
219,0.9045112729072571,4,,,,,,,,,,
229,1.625891089439392,4,,,,,,,,,,
239,0.6844357848167419,4,,,,,,,,,,
244,,4,1.5979089736938477,0.5290977358818054,0.5967668890953064,0.8732461929321289,0.38277512788772583,,,,,
245,,5,,,,,,0.4066985547542572,1.6323696374893188,0.610595703125,0.5452479720115662,0.8793069124221802
