step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss
9,0.20966561138629913,0,,,,,,
19,0.18423166871070862,0,,,,,,
29,0.5236198306083679,0,,,,,,
39,nan,0,,,,,,
49,1.9546277523040771,0,,,,,,
59,0.24681337177753448,0,,,,,,
69,0.11055333912372589,0,,,,,,
79,0.19039681553840637,0,,,,,,
89,0.16808277368545532,0,,,,,,
99,0.2108275592327118,0,,,,,,
102,,0,0.08839008957147598,0.5738847255706787,0.643775224685669,0.8833988904953003,0.32870370149612427,
109,0.2186884582042694,1,,,,,,
119,0.15131032466888428,1,,,,,,
129,0.14994163811206818,1,,,,,,
139,0.16849030554294586,1,,,,,,
149,0.559127151966095,1,,,,,,
159,0.13459563255310059,1,,,,,,
169,0.17301800847053528,1,,,,,,
179,0.23961743712425232,1,,,,,,
189,0.09488584846258163,1,,,,,,
199,0.191056489944458,1,,,,,,
205,,1,0.0873047262430191,0.6745287775993347,0.7227045893669128,0.9142979979515076,0.4583333432674408,
209,0.10531358420848846,2,,,,,,
219,0.0653335303068161,2,,,,,,
229,0.16431836783885956,2,,,,,,
239,0.06921184808015823,2,,,,,,
249,0.16716375946998596,2,,,,,,
259,0.1600426882505417,2,,,,,,
269,0.044430896639823914,2,,,,,,
279,0.07292516529560089,2,,,,,,
289,0.08727504312992096,2,,,,,,
299,0.12999776005744934,2,,,,,,
308,,2,0.08565828204154968,0.7058671116828918,0.7620221376419067,0.9222360849380493,0.49074074625968933,
309,0.03700174763798714,3,,,,,,
319,0.0630427896976471,3,,,,,,
329,0.06557997316122055,3,,,,,,
339,0.07649096101522446,3,,,,,,
349,0.039434559643268585,3,,,,,,
359,0.04716172441840172,3,,,,,,
369,0.11385811865329742,3,,,,,,
379,0.06582023948431015,3,,,,,,
389,0.041841473430395126,3,,,,,,
399,0.015857579186558723,3,,,,,,
409,0.07628712058067322,3,,,,,,
411,,3,0.08811737596988678,0.7046810984611511,0.7569094896316528,0.921816349029541,0.46296295523643494,
419,0.019828960299491882,4,,,,,,
429,0.019071737304329872,4,,,,,,
439,0.010493597015738487,4,,,,,,
449,0.05828743800520897,4,,,,,,
459,0.08789723366498947,4,,,,,,
469,0.08431437611579895,4,,,,,,
479,0.02983061410486698,4,,,,,,
489,0.007892816327512264,4,,,,,,
499,0.01363352220505476,4,,,,,,
509,0.012290013954043388,4,,,,,,
514,,4,0.09340222179889679,0.6876779198646545,0.748628556728363,0.9160587787628174,0.4583333432674408,
515,,5,,,,,,0.09340222179889679
