step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
9,1.1454925537109375,0,,,,,,
19,0.7917951345443726,0,,,,,,
29,0.48043474555015564,0,,,,,,
39,0.8316840529441833,0,,,,,,
49,0.31026625633239746,0,,,,,,
59,0.4190366566181183,0,,,,,,
69,0.25043562054634094,0,,,,,,
79,0.3520963490009308,0,,,,,,
83,,0,0.22727273404598236,0.3032083213329315,0.3305619955062866,0.7939363718032837,0.09265575557947159,
89,0.2472107857465744,1,,,,,,
99,0.30078476667404175,1,,,,,,
109,0.28255578875541687,1,,,,,,
119,0.3083500862121582,1,,,,,,
129,0.22323809564113617,1,,,,,,
139,0.2325972020626068,1,,,,,,
149,0.24221155047416687,1,,,,,,
159,0.30409306287765503,1,,,,,,
167,,1,0.30519479513168335,0.38422712683677673,0.3750112056732178,0.8118307590484619,0.07579153031110764,
169,0.2345079630613327,2,,,,,,
179,0.0869653970003128,2,,,,,,
189,0.10604123026132584,2,,,,,,
199,0.17693810164928436,2,,,,,,
209,0.10193707048892975,2,,,,,,
219,0.1404787003993988,2,,,,,,
229,0.16749754548072815,2,,,,,,
239,0.14759252965450287,2,,,,,,
249,0.07423709332942963,2,,,,,,
251,,2,0.3636363744735718,0.4245099723339081,0.40151989459991455,0.8273258209228516,0.06959579885005951,
259,0.10305695235729218,3,,,,,,
269,0.20611947774887085,3,,,,,,
279,0.06113192439079285,3,,,,,,
289,0.15382029116153717,3,,,,,,
299,0.05202314630150795,3,,,,,,
309,0.0752042755484581,3,,,,,,
319,0.062125757336616516,3,,,,,,
329,0.09664497524499893,3,,,,,,
335,,3,0.3961038887500763,0.44822919368743896,0.42269569635391235,0.8334457278251648,0.06989751756191254,
339,0.06506315618753433,4,,,,,,
349,0.09245490282773972,4,,,,,,
359,0.06971397995948792,4,,,,,,
369,0.05443036928772926,4,,,,,,
379,0.07071977108716965,4,,,,,,
389,0.08291016519069672,4,,,,,,
399,0.05246768519282341,4,,,,,,
409,0.06987197697162628,4,,,,,,
419,0.06522003561258316,4,,,,,,
419,,4,0.3961038887500763,0.44444164633750916,0.42244938015937805,0.8303877115249634,0.07267431169748306,
420,,5,,,,,,0.06989751756191254
