train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss
1.2917345762252808,0,9,,,,,,,
0.2177332490682602,0,19,,,,,,,
0.4062976539134979,0,29,,,,,,,
0.4375230073928833,0,39,,,,,,,
0.26189643144607544,0,49,,,,,,,
0.3596455752849579,0,59,,,,,,,
0.8942713141441345,0,69,,,,,,,
0.1773020178079605,0,79,,,,,,,
0.16887004673480988,0,89,,,,,,,
,0,94,0.33001285791397095,0.5560392737388611,0.8832889199256897,0.4285714328289032,0.5919004082679749,0.5751369595527649,
0.25047674775123596,1,99,,,,,,,
0.8860654234886169,1,109,,,,,,,
0.36003896594047546,1,119,,,,,,,
0.4732925593852997,1,129,,,,,,,
0.575354278087616,1,139,,,,,,,
0.21390500664710999,1,149,,,,,,,
0.09438055008649826,1,159,,,,,,,
0.2940160930156708,1,169,,,,,,,
0.18486283719539642,1,179,,,,,,,
0.28979820013046265,1,189,,,,,,,
,1,189,0.31192106008529663,0.5799971222877502,0.8946664929389954,0.47186148166656494,0.6214454174041748,0.595887303352356,
0.2046293169260025,2,199,,,,,,,
0.14616839587688446,2,209,,,,,,,
0.19602766633033752,2,219,,,,,,,
0.4362552762031555,2,229,,,,,,,
0.1994520127773285,2,239,,,,,,,
0.6778672337532043,2,249,,,,,,,
0.35228171944618225,2,259,,,,,,,
0.23277273774147034,2,269,,,,,,,
0.1325134038925171,2,279,,,,,,,
,2,284,0.31239232420921326,0.5895415544509888,0.8966151475906372,0.47186148166656494,0.6297944784164429,0.605132520198822,
0.0627344474196434,3,289,,,,,,,
0.4490338861942291,3,299,,,,,,,
0.14950798451900482,3,309,,,,,,,
0.1789018213748932,3,319,,,,,,,
0.20508058369159698,3,329,,,,,,,
0.030921369791030884,3,339,,,,,,,
0.06347627192735672,3,349,,,,,,,
0.1573474407196045,3,359,,,,,,,
0.06593567132949829,3,369,,,,,,,
0.13357779383659363,3,379,,,,,,,
,3,379,0.3194550573825836,0.5846766233444214,0.8979495167732239,0.4761904776096344,0.625878095626831,0.6022095680236816,
0.0778108611702919,4,389,,,,,,,
0.05117823928594589,4,399,,,,,,,
0.09970852732658386,4,409,,,,,,,
0.16691772639751434,4,419,,,,,,,
0.0926780253648758,4,429,,,,,,,
0.33310961723327637,4,439,,,,,,,
0.1660909205675125,4,449,,,,,,,
0.11845865845680237,4,459,,,,,,,
0.025180090218782425,4,469,,,,,,,
,4,474,0.3319246470928192,0.5926131010055542,0.901154100894928,0.48917749524116516,0.6289696097373962,0.6111992001533508,
,5,475,,,,,,,0.3319246470928192
