step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_em,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1
9,0.9234194755554199,0,,,,,,,,,,
19,0.5544061064720154,0,,,,,,,,,,
29,0.43948304653167725,0,,,,,,,,,,
39,0.4087912142276764,0,,,,,,,,,,
49,0.5869947075843811,0,,,,,,,,,,
59,0.5121361613273621,0,,,,,,,,,,
69,0.35495105385780334,0,,,,,,,,,,
79,0.30634453892707825,0,,,,,,,,,,
89,0.25874948501586914,0,,,,,,,,,,
99,0.2321898341178894,0,,,,,,,,,,
109,0.24257218837738037,0,,,,,,,,,,
119,0.22253701090812683,0,,,,,,,,,,
129,0.2826046645641327,0,,,,,,,,,,
139,0.25319036841392517,0,,,,,,,,,,
149,0.18288730084896088,0,,,,,,,,,,
159,0.3443627655506134,0,,,,,,,,,,
169,0.29156363010406494,0,,,,,,,,,,
175,,0,0.44070062041282654,0.4264538884162903,0.19088365137577057,0.3757668733596802,0.8204073905944824,,,,,
179,0.3074743449687958,1,,,,,,,,,,
189,0.20812910795211792,1,,,,,,,,,,
199,0.2818605303764343,1,,,,,,,,,,
209,0.18108388781547546,1,,,,,,,,,,
219,0.21283037960529327,1,,,,,,,,,,
229,0.1904834508895874,1,,,,,,,,,,
239,0.3642948865890503,1,,,,,,,,,,
249,0.24885477125644684,1,,,,,,,,,,
259,0.22308263182640076,1,,,,,,,,,,
269,0.21905730664730072,1,,,,,,,,,,
279,0.2519210875034332,1,,,,,,,,,,
289,0.316867858171463,1,,,,,,,,,,
299,0.2560628056526184,1,,,,,,,,,,
309,0.36046573519706726,1,,,,,,,,,,
319,0.2548425793647766,1,,,,,,,,,,
329,0.17768867313861847,1,,,,,,,,,,
339,0.17214423418045044,1,,,,,,,,,,
349,0.18392226099967957,1,,,,,,,,,,
351,,1,0.49724894762039185,0.489317923784256,0.1680184304714203,0.43865031003952026,0.8438988924026489,,,,,
359,0.09365849941968918,2,,,,,,,,,,
369,0.272817462682724,2,,,,,,,,,,
379,0.11777669936418533,2,,,,,,,,,,
389,0.2964998483657837,2,,,,,,,,,,
399,nan,2,,,,,,,,,,
409,0.2534887492656708,2,,,,,,,,,,
419,0.24233655631542206,2,,,,,,,,,,
429,0.1588367074728012,2,,,,,,,,,,
439,0.1366940587759018,2,,,,,,,,,,
449,0.1668112576007843,2,,,,,,,,,,
459,0.11781871318817139,2,,,,,,,,,,
469,0.19491328299045563,2,,,,,,,,,,
479,0.15038973093032837,2,,,,,,,,,,
489,0.15902204811573029,2,,,,,,,,,,
499,0.12550316751003265,2,,,,,,,,,,
509,0.23181337118148804,2,,,,,,,,,,
519,0.13634903728961945,2,,,,,,,,,,
527,,2,0.5155059099197388,0.4990244209766388,0.16312822699546814,0.44938650727272034,0.8545505404472351,,,,,
529,0.17542587220668793,3,,,,,,,,,,
539,0.20890632271766663,3,,,,,,,,,,
549,0.1439550369977951,3,,,,,,,,,,
559,0.1576842963695526,3,,,,,,,,,,
569,0.26040205359458923,3,,,,,,,,,,
579,0.11773926019668579,3,,,,,,,,,,
589,0.21429769694805145,3,,,,,,,,,,
599,0.1964876353740692,3,,,,,,,,,,
609,0.17378069460391998,3,,,,,,,,,,
619,0.13787156343460083,3,,,,,,,,,,
629,0.22242628037929535,3,,,,,,,,,,
639,0.11638582497835159,3,,,,,,,,,,
649,0.1483239084482193,3,,,,,,,,,,
659,0.1507968306541443,3,,,,,,,,,,
669,0.1859932690858841,3,,,,,,,,,,
679,0.1782909631729126,3,,,,,,,,,,
689,0.1249556764960289,3,,,,,,,,,,
699,0.14502666890621185,3,,,,,,,,,,
703,,3,0.5435225367546082,0.5343135595321655,0.1474699079990387,0.4907975494861603,0.8645923733711243,,,,,
709,0.11087265610694885,4,,,,,,,,,,
719,0.16592301428318024,4,,,,,,,,,,
729,0.24287554621696472,4,,,,,,,,,,
739,0.1582316905260086,4,,,,,,,,,,
749,0.24343577027320862,4,,,,,,,,,,
759,0.1172102764248848,4,,,,,,,,,,
769,0.16163137555122375,4,,,,,,,,,,
779,0.1798391044139862,4,,,,,,,,,,
789,0.16763661801815033,4,,,,,,,,,,
799,0.11462853103876114,4,,,,,,,,,,
809,0.1137196496129036,4,,,,,,,,,,
819,0.132453054189682,4,,,,,,,,,,
829,0.20612554252147675,4,,,,,,,,,,
839,0.2134314626455307,4,,,,,,,,,,
849,0.10937963426113129,4,,,,,,,,,,
859,0.19593562185764313,4,,,,,,,,,,
869,0.11830584704875946,4,,,,,,,,,,
879,0.1591724306344986,4,,,,,,,,,,
879,,4,0.5640184283256531,0.558397650718689,0.14121052622795105,0.5138036608695984,0.872041642665863,,,,,
880,,5,,,,,,0.5138036608695984,0.872041642665863,0.14121052622795105,0.5640184283256531,0.558397650718689
