train_loss,step,epoch,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_em,test_loss
0.4793426990509033,9,0,,,,,,
1.1107732057571411,19,0,,,,,,
0.4579445719718933,29,0,,,,,,
0.6460095047950745,39,0,,,,,,
0.23475399613380432,49,0,,,,,,
0.523027777671814,59,0,,,,,,
0.5020634531974792,69,0,,,,,,
0.37904202938079834,79,0,,,,,,
0.7176646590232849,89,0,,,,,,
0.8320391178131104,99,0,,,,,,
0.5049808621406555,109,0,,,,,,
0.46526309847831726,119,0,,,,,,
0.5813700556755066,129,0,,,,,,
0.3798188269138336,139,0,,,,,,
0.08808910101652145,149,0,,,,,,
0.3077777028083801,159,0,,,,,,
0.30228912830352783,169,0,,,,,,
0.28115496039390564,179,0,,,,,,
0.2539196014404297,189,0,,,,,,
0.3185747265815735,199,0,,,,,,
0.40140193700790405,209,0,,,,,,
0.1134939044713974,219,0,,,,,,
0.1973646879196167,229,0,,,,,,
0.2571660876274109,239,0,,,,,,
0.24094358086585999,249,0,,,,,,
1.1985787153244019,259,0,,,,,,
0.18478229641914368,269,0,,,,,,
0.2596959173679352,279,0,,,,,,
0.5034035444259644,289,0,,,,,,
0.03780534118413925,299,0,,,,,,
0.07681221514940262,309,0,,,,,,
0.6268181800842285,319,0,,,,,,
0.14805379509925842,329,0,,,,,,
0.11068560183048248,339,0,,,,,,
0.34918680787086487,349,0,,,,,,
0.061696797609329224,359,0,,,,,,
0.1994984894990921,369,0,,,,,,
0.24047724902629852,379,0,,,,,,
,384,0,0.8848135471343994,0.6654942035675049,0.11093504726886749,0.6349878907203674,0.4648648500442505,
0.10247846692800522,389,1,,,,,,
0.34797194600105286,399,1,,,,,,
0.21653524041175842,409,1,,,,,,
0.05249183252453804,419,1,,,,,,
0.19746755063533783,429,1,,,,,,
0.19200877845287323,439,1,,,,,,
0.3339194655418396,449,1,,,,,,
0.3098103106021881,459,1,,,,,,
0.13986718654632568,469,1,,,,,,
0.31107011437416077,479,1,,,,,,
0.3024871051311493,489,1,,,,,,
0.06393086165189743,499,1,,,,,,
0.32173681259155273,509,1,,,,,,
0.8506971001625061,519,1,,,,,,
0.16766436398029327,529,1,,,,,,
0.2572311460971832,539,1,,,,,,
0.20782370865345,549,1,,,,,,
0.5014594197273254,559,1,,,,,,
0.10092426836490631,569,1,,,,,,
0.26050519943237305,579,1,,,,,,
0.05471431836485863,589,1,,,,,,
0.34794098138809204,599,1,,,,,,
0.21062296628952026,609,1,,,,,,
0.16926538944244385,619,1,,,,,,
0.08076001703739166,629,1,,,,,,
0.21940572559833527,639,1,,,,,,
0.3464943468570709,649,1,,,,,,
0.16198906302452087,659,1,,,,,,
1.8405282497406006,669,1,,,,,,
0.13974528014659882,679,1,,,,,,
