train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss
0.5639393925666809,0,9,,,,,,,
0.49326324462890625,0,19,,,,,,,
0.5185522437095642,0,29,,,,,,,
0.2705612778663635,0,39,,,,,,,
0.3753048777580261,0,49,,,,,,,
0.5868937969207764,0,59,,,,,,,
0.18474772572517395,0,69,,,,,,,
0.4601725935935974,0,79,,,,,,,
0.3335614800453186,0,89,,,,,,,
0.5829475522041321,0,99,,,,,,,
0.1748863160610199,0,109,,,,,,,
0.4213402271270752,0,119,,,,,,,
0.19297170639038086,0,129,,,,,,,
0.18171897530555725,0,139,,,,,,,
0.26480063796043396,0,149,,,,,,,
0.5494900345802307,0,159,,,,,,,
0.2092563658952713,0,169,,,,,,,
0.18876561522483826,0,179,,,,,,,
0.16184724867343903,0,189,,,,,,,
0.3375622034072876,0,199,,,,,,,
0.2068217247724533,0,209,,,,,,,
0.26071372628211975,0,219,,,,,,,
0.11693232506513596,0,229,,,,,,,
0.24094340205192566,0,239,,,,,,,
0.2012917846441269,0,249,,,,,,,
0.1388058364391327,0,259,,,,,,,
0.21351955831050873,0,269,,,,,,,
0.21303443610668182,0,279,,,,,,,
0.9164524078369141,0,289,,,,,,,
0.22878706455230713,0,299,,,,,,,
0.24042898416519165,0,309,,,,,,,
0.24823138117790222,0,319,,,,,,,
0.21543195843696594,0,329,,,,,,,
,0,333,2.7423086166381836,0.6583380699157715,0.9142494797706604,0.5497835278511047,0.679999589920044,0.6649696230888367,
0.14244234561920166,1,339,,,,,,,
0.14873623847961426,1,349,,,,,,,
0.2655332684516907,1,359,,,,,,,
0.19732078909873962,1,369,,,,,,,
0.11778289079666138,1,379,,,,,,,
0.1699349731206894,1,389,,,,,,,
0.4844880998134613,1,399,,,,,,,
0.38281771540641785,1,409,,,,,,,
0.3207727074623108,1,419,,,,,,,
0.08982641249895096,1,429,,,,,,,
0.09787485003471375,1,439,,,,,,,
1.3216956853866577,1,449,,,,,,,
0.3108687400817871,1,459,,,,,,,
0.03325081244111061,1,469,,,,,,,
0.13889573514461517,1,479,,,,,,,
0.09208574891090393,1,489,,,,,,,
0.07994498312473297,1,499,,,,,,,
0.12747584283351898,1,509,,,,,,,
