step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
9,2.0041399002075195,0,,,,,,,,,,
19,1.8278307914733887,0,,,,,,,,,,
29,1.427079439163208,0,,,,,,,,,,
39,3.491697311401367,0,,,,,,,,,,
49,2.0996899604797363,0,,,,,,,,,,
54,,0,1.8174095153808594,0.7766029834747314,0.19835951924324036,0.03703703731298447,0.2934459447860718,,,,,
59,1.669089913368225,1,,,,,,,,,,
69,2.1198220252990723,1,,,,,,,,,,
79,3.734038829803467,1,,,,,,,,,,
89,1.4298135042190552,1,,,,,,,,,,
99,1.7324830293655396,1,,,,,,,,,,
109,1.534669280052185,1,,,,,,,,,,
109,,1,1.7485767602920532,0.8048322796821594,0.2641874849796295,0.04938271641731262,0.39511939883232117,,,,,
119,2.1966207027435303,2,,,,,,,,,,
129,1.4062851667404175,2,,,,,,,,,,
139,1.6366119384765625,2,,,,,,,,,,
149,2.2386906147003174,2,,,,,,,,,,
159,1.6115208864212036,2,,,,,,,,,,
164,,2,1.7084442377090454,0.8124195337295532,0.2945393919944763,0.07407407462596893,0.4305530786514282,,,,,
169,2.2792956829071045,3,,,,,,,,,,
179,1.5866947174072266,3,,,,,,,,,,
189,1.693509578704834,3,,,,,,,,,,
199,1.3131589889526367,3,,,,,,,,,,
209,1.7767866849899292,3,,,,,,,,,,
219,1.8860546350479126,3,,,,,,,,,,
219,,3,1.684545636177063,0.8099151849746704,0.3044741451740265,0.08024691045284271,0.4296875,,,,,
229,2.361571788787842,4,,,,,,,,,,
239,1.6519787311553955,4,,,,,,,,,,
249,1.6431580781936646,4,,,,,,,,,,
259,1.4715405702590942,4,,,,,,,,,,
269,1.8820600509643555,4,,,,,,,,,,
274,,4,1.6720224618911743,0.8142977356910706,0.3021963834762573,0.08024691045284271,0.4644220471382141,,,,,
275,,5,,,,,,0.08024691045284271,0.3021963834762573,0.8142977356910706,1.6720224618911743,0.4644220471382141
