step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,0.37809649109840393,0,,,,,,,,,,
19,0.30515769124031067,0,,,,,,,,,,
29,0.17430569231510162,0,,,,,,,,,,
39,0.21401305496692657,0,,,,,,,,,,
49,0.2123049944639206,0,,,,,,,,,,
59,0.14149066805839539,0,,,,,,,,,,
69,0.09600574523210526,0,,,,,,,,,,
79,0.12351805716753006,0,,,,,,,,,,
89,0.14894455671310425,0,,,,,,,,,,
93,,0,0.42944860458374023,0.8738265037536621,0.376963347196579,0.1046304777264595,0.4943338930606842,,,,,
99,0.30342093110084534,1,,,,,,,,,,
109,0.11649072170257568,1,,,,,,,,,,
119,0.09762131422758102,1,,,,,,,,,,
129,0.11668568849563599,1,,,,,,,,,,
139,0.14209610223770142,1,,,,,,,,,,
149,0.08553565293550491,1,,,,,,,,,,
159,0.1053776815533638,1,,,,,,,,,,
169,0.08913907408714294,1,,,,,,,,,,
179,0.12397148460149765,1,,,,,,,,,,
187,,1,0.5334941744804382,0.8950499892234802,0.4895288050174713,0.08838380873203278,0.579803466796875,,,,,
189,0.11741816252470016,2,,,,,,,,,,
199,0.11095207184553146,2,,,,,,,,,,
209,0.12023970484733582,2,,,,,,,,,,
219,0.11683376878499985,2,,,,,,,,,,
229,0.17506705224514008,2,,,,,,,,,,
239,0.08207137137651443,2,,,,,,,,,,
249,0.1646287888288498,2,,,,,,,,,,
259,0.08291399478912354,2,,,,,,,,,,
269,0.11461907625198364,2,,,,,,,,,,
279,0.09779772907495499,2,,,,,,,,,,
281,,2,0.5543787479400635,0.8995375633239746,0.5078533887863159,0.08559627085924149,0.595306396484375,,,,,
289,0.11640486121177673,3,,,,,,,,,,
299,0.09191740304231644,3,,,,,,,,,,
309,0.12481256574392319,3,,,,,,,,,,
319,0.08575046062469482,3,,,,,,,,,,
329,0.0943927988409996,3,,,,,,,,,,
339,0.0886518657207489,3,,,,,,,,,,
349,0.07930609583854675,3,,,,,,,,,,
359,0.16449762880802155,3,,,,,,,,,,
369,0.10770770907402039,3,,,,,,,,,,
375,,3,0.5648443102836609,0.9014434814453125,0.5235602259635925,0.08175622671842575,0.6033833622932434,,,,,
379,0.07146070152521133,4,,,,,,,,,,
389,0.13380298018455505,4,,,,,,,,,,
399,0.08849911391735077,4,,,,,,,,,,
409,0.12081748992204666,4,,,,,,,,,,
419,0.06788062304258347,4,,,,,,,,,,
429,0.062426935881376266,4,,,,,,,,,,
439,0.08523007482290268,4,,,,,,,,,,
449,0.08125399053096771,4,,,,,,,,,,
459,0.25202733278274536,4,,,,,,,,,,
469,0.10493877530097961,4,,,,,,,,,,
469,,4,0.5995200872421265,0.9094865918159485,0.5575916171073914,0.08163725584745407,0.634490966796875,,,,,
470,,5,,,,,,0.634490966796875,0.5995200872421265,0.9094865918159485,0.08163725584745407,0.5575916171073914
