epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas
0,9,2.7956697940826416,,,,,,,,,,
0,19,2.2211737632751465,,,,,,,,,,
0,29,1.7576245069503784,,,,,,,,,,
0,39,1.9122110605239868,,,,,,,,,,
0,49,2.2671878337860107,,,,,,,,,,
0,49,,0.13423340022563934,0.7115744948387146,0.04471544548869133,0.09876671433448792,1.527756929397583,,,,,
1,59,1.1843540668487549,,,,,,,,,,
1,69,1.5533320903778076,,,,,,,,,,
1,79,1.6347861289978027,,,,,,,,,,
1,89,1.699145793914795,,,,,,,,,,
1,99,1.364399790763855,,,,,,,,,,
1,99,,0.2186565399169922,0.7442057132720947,0.13008129596710205,0.19944868981838226,1.3316562175750732,,,,,
2,109,1.2418957948684692,,,,,,,,,,
2,119,1.5706781148910522,,,,,,,,,,
2,129,1.1974891424179077,,,,,,,,,,
2,139,0.8606225252151489,,,,,,,,,,
2,149,1.3072946071624756,,,,,,,,,,
2,149,,0.356603741645813,0.8042701482772827,0.19105690717697144,0.31480637192726135,1.2260667085647583,,,,,
3,159,0.8950362205505371,,,,,,,,,,
3,169,0.6729117035865784,,,,,,,,,,
3,179,0.832521378993988,,,,,,,,,,
3,189,1.0435549020767212,,,,,,,,,,
3,199,0.8538608551025391,,,,,,,,,,
3,199,,0.4139021039009094,0.8212417364120483,0.2601625919342041,0.3918319046497345,1.1773780584335327,,,,,
4,209,0.5968562960624695,,,,,,,,,,
4,219,0.7347564697265625,,,,,,,,,,
4,229,0.6827530860900879,,,,,,,,,,
4,239,0.6428308486938477,,,,,,,,,,
4,249,0.9759529232978821,,,,,,,,,,
4,249,,0.43723294138908386,0.8210923075675964,0.2804878056049347,0.4116864502429962,1.1711994409561157,,,,,
5,250,,,,,,,0.4116864502429962,0.8210923075675964,0.2804878056049347,1.1711994409561157,0.43723294138908386
