train_loss,epoch,step,val_qa_bert_score,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,test_loss
0.6709481477737427,0,9,,,,,,
0.36172324419021606,0,19,,,,,,
0.42701366543769836,0,29,,,,,,
0.4279665946960449,0,39,,,,,,
0.36966821551322937,0,49,,,,,,
0.4698503613471985,0,59,,,,,,
0.4019417464733124,0,69,,,,,,
0.1586100459098816,0,79,,,,,,
0.352373868227005,0,89,,,,,,
0.35954025387763977,0,99,,,,,,
0.3817448318004608,0,109,,,,,,
0.3372228443622589,0,119,,,,,,
0.3010511100292206,0,129,,,,,,
0.3085562288761139,0,139,,,,,,
0.22400516271591187,0,149,,,,,,
0.16814349591732025,0,159,,,,,,
0.23718826472759247,0,169,,,,,,
0.2689875662326813,0,179,,,,,,
0.2122599333524704,0,189,,,,,,
0.24965523183345795,0,199,,,,,,
0.10887721180915833,0,209,,,,,,
0.20443768799304962,0,219,,,,,,
0.27906307578086853,0,229,,,,,,
0.23068898916244507,0,239,,,,,,
0.33411380648612976,0,249,,,,,,
0.1535687893629074,0,259,,,,,,
0.1708318293094635,0,269,,,,,,
0.2161923348903656,0,279,,,,,,
0.11605657637119293,0,289,,,,,,
0.2087903916835785,0,299,,,,,,
0.16469594836235046,0,309,,,,,,
0.2810879647731781,0,319,,,,,,
0.23392702639102936,0,329,,,,,,
0.1793941706418991,0,339,,,,,,
0.13899368047714233,0,349,,,,,,
0.11727754771709442,0,359,,,,,,
0.16388395428657532,0,369,,,,,,
0.169250950217247,0,379,,,,,,
0.12259086966514587,0,389,,,,,,
0.15754064917564392,0,399,,,,,,
0.2058716118335724,0,409,,,,,,
0.17087692022323608,0,419,,,,,,
0.2797947824001312,0,429,,,,,,
0.2331007868051529,0,439,,,,,,
0.15206269919872284,0,449,,,,,,
0.20767417550086975,0,459,,,,,,
0.14967454969882965,0,469,,,,,,
0.1011447161436081,0,479,,,,,,
0.1925148367881775,0,489,,,,,,
0.1914597451686859,0,499,,,,,,
0.0757550522685051,0,509,,,,,,
0.1310151368379593,0,519,,,,,,
0.09421613067388535,0,529,,,,,,
0.14397551119327545,0,539,,,,,,
0.18517038226127625,0,549,,,,,,
0.1765376776456833,0,559,,,,,,
0.05017785355448723,0,569,,,,,,
0.14601849019527435,0,579,,,,,,
0.16608430445194244,0,589,,,,,,
0.23903228342533112,0,599,,,,,,
0.1874944567680359,0,609,,,,,,
0.15386593341827393,0,619,,,,,,
,0,627,0.8245293498039246,0.33888888359069824,0.39668071269989014,0.40575456619262695,0.1712859719991684,
0.08152251690626144,1,629,,,,,,
0.11761408299207687,1,639,,,,,,
0.0523638091981411,1,649,,,,,,
0.10856211185455322,1,659,,,,,,
0.27831578254699707,1,669,,,,,,
0.21664173901081085,1,679,,,,,,
0.1045583039522171,1,689,,,,,,
0.11832558363676071,1,699,,,,,,
0.2190459966659546,1,709,,,,,,
0.14916439354419708,1,719,,,,,,
0.14170393347740173,1,729,,,,,,
0.1752866506576538,1,739,,,,,,
0.166195347905159,1,749,,,,,,
0.12483666837215424,1,759,,,,,,
0.25427278876304626,1,769,,,,,,
0.08381397277116776,1,779,,,,,,
0.130341574549675,1,789,,,,,,
0.07200571149587631,1,799,,,,,,
0.09707711637020111,1,809,,,,,,
0.1348200887441635,1,819,,,,,,
0.0836336761713028,1,829,,,,,,
0.09614813327789307,1,839,,,,,,
0.11470063775777817,1,849,,,,,,
0.14008241891860962,1,859,,,,,,
0.05521956831216812,1,869,,,,,,
0.13008908927440643,1,879,,,,,,
0.1931636929512024,1,889,,,,,,
0.07764436304569244,1,899,,,,,,
0.1506234109401703,1,909,,,,,,
0.10691547393798828,1,919,,,,,,
0.09010161459445953,1,929,,,,,,
0.1539658010005951,1,939,,,,,,
0.08238653838634491,1,949,,,,,,
0.07700131833553314,1,959,,,,,,
0.15047504007816315,1,969,,,,,,
0.11599688977003098,1,979,,,,,,
0.16035474836826324,1,989,,,,,,
0.13445542752742767,1,999,,,,,,
0.0719657838344574,1,1009,,,,,,
0.058828651905059814,1,1019,,,,,,
0.08499171584844589,1,1029,,,,,,
0.17050528526306152,1,1039,,,,,,
