epoch,step,train_loss,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_loss
0,9,2.094524383544922,,,,,,,,,,
0,19,3.2587363719940186,,,,,,,,,,
0,29,1.5117900371551514,,,,,,,,,,
0,39,1.278551459312439,,,,,,,,,,
0,49,2.7825217247009277,,,,,,,,,,
0,59,1.614941954612732,,,,,,,,,,
0,69,1.5888229608535767,,,,,,,,,,
0,79,1.1380786895751953,,,,,,,,,,
0,89,0.5873031616210938,,,,,,,,,,
0,99,1.6314982175827026,,,,,,,,,,
0,101,,0.5237093567848206,0.5928955078125,0.9186477065086365,0.3095238208770752,0.8568673133850098,,,,,
1,109,1.3719942569732666,,,,,,,,,,
1,119,1.1077951192855835,,,,,,,,,,
1,129,1.1272634267807007,,,,,,,,,,
1,139,1.3370763063430786,,,,,,,,,,
1,149,1.7205591201782227,,,,,,,,,,
1,159,2.2045695781707764,,,,,,,,,,
1,169,1.2561066150665283,,,,,,,,,,
1,179,1.943729043006897,,,,,,,,,,
1,189,0.5721932649612427,,,,,,,,,,
1,199,1.951138973236084,,,,,,,,,,
1,203,,0.5462131500244141,0.601103663444519,0.849275529384613,0.3333333432674408,0.8665129542350769,,,,,
2,209,0.9755832552909851,,,,,,,,,,
2,219,0.8136010766029358,,,,,,,,,,
2,229,0.24155095219612122,,,,,,,,,,
2,239,1.7019879817962646,,,,,,,,,,
2,249,1.7369054555892944,,,,,,,,,,
2,259,0.9905771017074585,,,,,,,,,,
2,269,0.8194882273674011,,,,,,,,,,
2,279,1.6943111419677734,,,,,,,,,,
2,289,1.4182575941085815,,,,,,,,,,
2,299,0.7324703931808472,,,,,,,,,,
2,305,,0.5425073504447937,0.6025053858757019,0.798700213432312,0.3333333432674408,0.8687495589256287,,,,,
3,309,0.7936948537826538,,,,,,,,,,
3,319,1.432367205619812,,,,,,,,,,
3,329,0.7331973910331726,,,,,,,,,,
3,339,0.3274252414703369,,,,,,,,,,
3,349,1.3740030527114868,,,,,,,,,,
3,359,0.3637651205062866,,,,,,,,,,
3,369,1.1966966390609741,,,,,,,,,,
3,379,1.373923897743225,,,,,,,,,,
3,389,0.7448849081993103,,,,,,,,,,
3,399,1.404590368270874,,,,,,,,,,
3,407,,0.5390280485153198,0.597050130367279,0.7389705777168274,0.3268398344516754,0.8663738965988159,,,,,
4,409,1.4887748956680298,,,,,,,,,,
4,419,1.1203217506408691,,,,,,,,,,
4,429,1.4004937410354614,,,,,,,,,,
4,439,0.9414919018745422,,,,,,,,,,
4,449,0.6048970818519592,,,,,,,,,,
4,459,0.7696586847305298,,,,,,,,,,
4,469,0.9561625123023987,,,,,,,,,,
4,479,0.44389089941978455,,,,,,,,,,
4,489,0.4331098794937134,,,,,,,,,,
4,499,1.4367858171463013,,,,,,,,,,
4,509,1.4078043699264526,,,,,,,,,,
4,509,,0.5664433836936951,0.6156468987464905,0.7239707112312317,0.35930734872817993,0.874795138835907,,,,,
5,510,,,,,,,0.6156468987464905,0.874795138835907,0.35930734872817993,0.5664433836936951,0.7239707112312317
