step,train_loss,epoch,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,2.2304558753967285,0,,,,,,,,,,
19,1.9409571886062622,0,,,,,,,,,,
29,2.293926954269409,0,,,,,,,,,,
39,1.5075984001159668,0,,,,,,,,,,
49,1.130095362663269,0,,,,,,,,,,
51,,0,0.28761062026023865,0.5279948115348816,0.46911928057670593,1.4951170682907104,0.8412458300590515,,,,,
59,1.5524914264678955,1,,,,,,,,,,
69,1.6342215538024902,1,,,,,,,,,,
79,1.2676475048065186,1,,,,,,,,,,
89,1.24777090549469,1,,,,,,,,,,
99,1.4727996587753296,1,,,,,,,,,,
103,,1,0.3539822995662689,0.5514973998069763,0.5063215494155884,1.3488870859146118,0.8612973690032959,,,,,
109,2.0243709087371826,2,,,,,,,,,,
119,1.5340399742126465,2,,,,,,,,,,
129,1.0097966194152832,2,,,,,,,,,,
139,1.7080895900726318,2,,,,,,,,,,
149,0.8877419233322144,2,,,,,,,,,,
155,,2,0.39380529522895813,0.56494140625,0.5297728776931763,1.2724800109863281,0.8633127808570862,,,,,
159,1.6388087272644043,3,,,,,,,,,,
169,1.3407891988754272,3,,,,,,,,,,
179,0.7462373971939087,3,,,,,,,,,,
189,0.627621591091156,3,,,,,,,,,,
199,0.8625693321228027,3,,,,,,,,,,
207,,3,0.39823007583618164,0.5689615607261658,0.5341396927833557,1.239469289779663,0.8739237189292908,,,,,
209,1.187387466430664,4,,,,,,,,,,
219,0.7514387369155884,4,,,,,,,,,,
229,1.752089500427246,4,,,,,,,,,,
239,0.8969144821166992,4,,,,,,,,,,
249,0.5776054859161377,4,,,,,,,,,,
259,1.7992111444473267,4,,,,,,,,,,
259,,4,0.4159291982650757,0.5691731572151184,0.5458758473396301,1.2221015691757202,0.8789558410644531,,,,,
260,,5,,,,,,0.5691731572151184,0.5458758473396301,0.8789558410644531,1.2221015691757202,0.4159291982650757
