train_loss,step,epoch,val_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_qa_bert_score,test_loss
0.11246504634618759,9,0,,,,,,
0.07924072444438934,19,0,,,,,,
0.12966014444828033,29,0,,,,,,
0.05226535722613335,39,0,,,,,,
0.05118684843182564,49,0,,,,,,
0.06818892806768417,59,0,,,,,,
0.053134892135858536,69,0,,,,,,
0.051102519035339355,79,0,,,,,,
0.08069872856140137,89,0,,,,,,
0.04843743517994881,99,0,,,,,,
0.07011741399765015,109,0,,,,,,
0.06012912467122078,119,0,,,,,,
0.06612132489681244,129,0,,,,,,
0.06150476261973381,139,0,,,,,,
0.05008791759610176,149,0,,,,,,
0.0646444708108902,159,0,,,,,,
0.054765600711107254,169,0,,,,,,
0.049472250044345856,179,0,,,,,,
0.07690871506929398,189,0,,,,,,
,193,0,0.10792069882154465,0.23417602479457855,0.1702786386013031,0.33368995785713196,0.8236657977104187,
0.1006116196513176,199,1,,,,,,
0.052672114223241806,209,1,,,,,,
0.044729940593242645,219,1,,,,,,
0.06279969215393066,229,1,,,,,,
0.06083163619041443,239,1,,,,,,
0.03505881130695343,249,1,,,,,,
0.06396323442459106,259,1,,,,,,
0.04732801392674446,269,1,,,,,,
0.04621975123882294,279,1,,,,,,
0.05683978274464607,289,1,,,,,,
0.06059509143233299,299,1,,,,,,
0.05109138786792755,309,1,,,,,,
0.05635835602879524,319,1,,,,,,
0.05011241137981415,329,1,,,,,,
0.08474040776491165,339,1,,,,,,
0.04147830978035927,349,1,,,,,,
0.05098268389701843,359,1,,,,,,
0.047427330166101456,369,1,,,,,,
0.07271424680948257,379,1,,,,,,
,387,1,0.11225051432847977,0.2618981599807739,0.19504643976688385,0.3559754490852356,0.8324509263038635,
0.05236896127462387,389,2,,,,,,
0.060164954513311386,399,2,,,,,,
0.048106446862220764,409,2,,,,,,
0.04665772244334221,419,2,,,,,,
0.046534620225429535,429,2,,,,,,
0.04286278411746025,439,2,,,,,,
0.04594653099775314,449,2,,,,,,
0.061212003231048584,459,2,,,,,,
0.046895358711481094,469,2,,,,,,
0.06691011786460876,479,2,,,,,,
0.04092014580965042,489,2,,,,,,
0.06814760714769363,499,2,,,,,,
0.04436829686164856,509,2,,,,,,
0.07201089709997177,519,2,,,,,,
0.04300118237733841,529,2,,,,,,
0.06202169135212898,539,2,,,,,,
0.035945456475019455,549,2,,,,,,
0.06806112825870514,559,2,,,,,,
0.059455886483192444,569,2,,,,,,
0.03712714463472366,579,2,,,,,,
,581,2,0.11539214849472046,0.2816351652145386,0.21671827137470245,0.3664223253726959,0.8361664414405823,
0.05201441049575806,589,3,,,,,,
0.036253564059734344,599,3,,,,,,
0.039731770753860474,609,3,,,,,,
0.05290669947862625,619,3,,,,,,
0.03399372473359108,629,3,,,,,,
0.03456422686576843,639,3,,,,,,
0.06135695055127144,649,3,,,,,,
0.0396832637488842,659,3,,,,,,
0.05065589398145676,669,3,,,,,,
0.04176017642021179,679,3,,,,,,
0.04738590493798256,689,3,,,,,,
0.05497252568602562,699,3,,,,,,
0.03525731712579727,709,3,,,,,,
0.05208961293101311,719,3,,,,,,
0.035212818533182144,729,3,,,,,,
0.017080476507544518,739,3,,,,,,
0.027720998972654343,749,3,,,,,,
0.028120966628193855,759,3,,,,,,
0.03425213694572449,769,3,,,,,,
,775,3,0.1622314304113388,0.3148917257785797,0.2631579041481018,0.3912898302078247,0.8448366522789001,
0.04126164689660072,779,4,,,,,,
0.031090570613741875,789,4,,,,,,
0.024570133537054062,799,4,,,,,,
0.02890853025019169,809,4,,,,,,
0.02123442478477955,819,4,,,,,,
0.012880787253379822,829,4,,,,,,
0.018420802429318428,839,4,,,,,,
0.03934501111507416,849,4,,,,,,
0.03456701710820198,859,4,,,,,,
0.025630002841353416,869,4,,,,,,
0.032946858555078506,879,4,,,,,,
0.023880891501903534,889,4,,,,,,
0.017000913619995117,899,4,,,,,,
0.017651043832302094,909,4,,,,,,
0.023433545604348183,919,4,,,,,,
0.03197585046291351,929,4,,,,,,
0.021492738276720047,939,4,,,,,,
0.020251071080565453,949,4,,,,,,
0.009557070210576057,959,4,,,,,,
0.0077948300167918205,969,4,,,,,,
,969,4,0.36854708194732666,0.325152724981308,0.2693498432636261,0.40732449293136597,0.848503828048706,
,970,5,,,,,,0.36854708194732666
