epoch,train_loss,step,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
0,1.2296268939971924,9,,,,,,,,,,
0,0.46726781129837036,19,,,,,,,,,,
0,0.8384014964103699,29,,,,,,,,,,
0,0.5991240739822388,39,,,,,,,,,,
0,0.5447107553482056,49,,,,,,,,,,
0,0.40762510895729065,59,,,,,,,,,,
0,0.2945408523082733,69,,,,,,,,,,
0,0.3315657079219818,79,,,,,,,,,,
0,0.30715522170066833,89,,,,,,,,,,
0,0.3355165719985962,99,,,,,,,,,,
0,0.35734716057777405,109,,,,,,,,,,
0,0.3532506227493286,119,,,,,,,,,,
0,0.2301427125930786,129,,,,,,,,,,
0,0.514394998550415,139,,,,,,,,,,
0,0.2412080317735672,149,,,,,,,,,,
0,0.31188178062438965,159,,,,,,,,,,
0,0.18779926002025604,169,,,,,,,,,,
0,,178,0.7990911602973938,0.22351911664009094,0.3061889111995697,0.3464934527873993,0.3699137270450592,,,,,
1,0.2511885166168213,179,,,,,,,,,,
1,0.2580641508102417,189,,,,,,,,,,
1,0.3413033187389374,199,,,,,,,,,,
1,0.20237241685390472,209,,,,,,,,,,
1,0.23490069806575775,219,,,,,,,,,,
1,0.3103773891925812,229,,,,,,,,,,
1,0.23288702964782715,239,,,,,,,,,,
1,0.3924329876899719,249,,,,,,,,,,
1,0.2436172217130661,259,,,,,,,,,,
1,0.2405930608510971,269,,,,,,,,,,
1,0.20430250465869904,279,,,,,,,,,,
1,0.16951851546764374,289,,,,,,,,,,
1,0.3673005998134613,299,,,,,,,,,,
1,0.23988516628742218,309,,,,,,,,,,
1,0.1849939227104187,319,,,,,,,,,,
1,0.19175870716571808,329,,,,,,,,,,
1,0.24265331029891968,339,,,,,,,,,,
1,0.17916639149188995,349,,,,,,,,,,
1,,357,0.8221343755722046,0.19974730908870697,0.3583061993122101,0.40463340282440186,0.41742414236068726,,,,,
2,0.20054160058498383,359,,,,,,,,,,
2,0.23040184378623962,369,,,,,,,,,,
2,0.3223537504673004,379,,,,,,,,,,
2,0.200381338596344,389,,,,,,,,,,
2,0.17185813188552856,399,,,,,,,,,,
2,0.2378188967704773,409,,,,,,,,,,
2,0.28072693943977356,419,,,,,,,,,,
2,0.15331770479679108,429,,,,,,,,,,
2,0.17624099552631378,439,,,,,,,,,,
2,0.24676446616649628,449,,,,,,,,,,
2,0.2422085851430893,459,,,,,,,,,,
2,0.19688166677951813,469,,,,,,,,,,
2,0.24473422765731812,479,,,,,,,,,,
2,0.16055279970169067,489,,,,,,,,,,
2,0.2895728051662445,499,,,,,,,,,,
2,0.1417228728532791,509,,,,,,,,,,
2,0.16353614628314972,519,,,,,,,,,,
2,0.15715274214744568,529,,,,,,,,,,
2,,536,0.8356990218162537,0.18210811913013458,0.39087948203086853,0.43945616483688354,0.44907790422439575,,,,,
3,0.16618967056274414,539,,,,,,,,,,
3,0.20774632692337036,549,,,,,,,,,,
3,0.3629873991012573,559,,,,,,,,,,
3,0.18886114656925201,569,,,,,,,,,,
3,0.19392266869544983,579,,,,,,,,,,
3,0.14516855776309967,589,,,,,,,,,,
3,0.17008763551712036,599,,,,,,,,,,
3,0.3299621343612671,609,,,,,,,,,,
3,0.12920837104320526,619,,,,,,,,,,
3,0.21393908560276031,629,,,,,,,,,,
3,0.16519561409950256,639,,,,,,,,,,
3,0.2240193486213684,649,,,,,,,,,,
3,0.18032880127429962,659,,,,,,,,,,
3,0.22380642592906952,669,,,,,,,,,,
3,0.1976577192544937,679,,,,,,,,,,
3,0.1606752872467041,689,,,,,,,,,,
3,0.13729912042617798,699,,,,,,,,,,
3,0.14598742127418518,709,,,,,,,,,,
3,,715,0.8354542851448059,0.1688247174024582,0.41205212473869324,0.45195314288139343,0.4596260190010071,,,,,
4,0.16101880371570587,719,,,,,,,,,,
4,0.22423970699310303,729,,,,,,,,,,
4,0.1512312889099121,739,,,,,,,,,,
4,0.10308638960123062,749,,,,,,,,,,
4,0.27071622014045715,759,,,,,,,,,,
4,0.2424071580171585,769,,,,,,,,,,
4,0.17407777905464172,779,,,,,,,,,,
4,0.21974888443946838,789,,,,,,,,,,
4,0.16500002145767212,799,,,,,,,,,,
4,0.1398611217737198,809,,,,,,,,,,
4,0.2505878806114197,819,,,,,,,,,,
4,0.13180671632289886,829,,,,,,,,,,
4,0.22533592581748962,839,,,,,,,,,,
4,0.2412664145231247,849,,,,,,,,,,
4,0.2095392346382141,859,,,,,,,,,,
4,0.17595016956329346,869,,,,,,,,,,
4,0.1960170716047287,879,,,,,,,,,,
4,0.1144021674990654,889,,,,,,,,,,
4,,894,0.8475373983383179,0.1624583750963211,0.43322476744651794,0.4779614806175232,0.48049065470695496,,,,,
5,,895,,,,,,0.4779614806175232,0.1624583750963211,0.48049065470695496,0.8475373983383179,0.43322476744651794
