step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
9,0.36380118131637573,0,,,,,,,,,,
19,0.3205057978630066,0,,,,,,,,,,
29,0.17912925779819489,0,,,,,,,,,,
39,0.28572896122932434,0,,,,,,,,,,
49,0.15994219481945038,0,,,,,,,,,,
59,0.22128497064113617,0,,,,,,,,,,
69,0.15150193870067596,0,,,,,,,,,,
79,0.13551202416419983,0,,,,,,,,,,
89,0.1584845334291458,0,,,,,,,,,,
94,,0,0.4300326406955719,0.11147874593734741,0.38161560893058777,0.8705263733863831,0.4882175624370575,,,,,
99,0.09502848982810974,1,,,,,,,,,,
109,0.15948165953159332,1,,,,,,,,,,
119,0.335294246673584,1,,,,,,,,,,
129,0.11154278367757797,1,,,,,,,,,,
139,0.16105961799621582,1,,,,,,,,,,
149,0.12623505294322968,1,,,,,,,,,,
159,0.12503595650196075,1,,,,,,,,,,
169,0.11664189398288727,1,,,,,,,,,,
179,0.10803896188735962,1,,,,,,,,,,
189,0.06528337299823761,1,,,,,,,,,,
189,,1,0.4666248559951782,0.10122842341661453,0.417827308177948,0.8782238364219666,0.52198326587677,,,,,
199,0.0997258722782135,2,,,,,,,,,,
209,0.09392878413200378,2,,,,,,,,,,
219,0.07064995169639587,2,,,,,,,,,,
229,0.14007064700126648,2,,,,,,,,,,
239,0.15909482538700104,2,,,,,,,,,,
249,0.15935835242271423,2,,,,,,,,,,
259,0.11895148456096649,2,,,,,,,,,,
269,0.12575514614582062,2,,,,,,,,,,
279,0.14995060861110687,2,,,,,,,,,,
284,,2,0.489345908164978,0.09656521677970886,0.43454039096832275,0.8832967877388,0.5403150320053101,,,,,
289,0.09386542439460754,3,,,,,,,,,,
299,0.3052750527858734,3,,,,,,,,,,
309,0.18272119760513306,3,,,,,,,,,,
319,0.11266647279262543,3,,,,,,,,,,
329,0.09560751914978027,3,,,,,,,,,,
339,0.09515681862831116,3,,,,,,,,,,
349,0.11144914478063583,3,,,,,,,,,,
359,0.11159545928239822,3,,,,,,,,,,
369,0.08991269022226334,3,,,,,,,,,,
379,0.12012261152267456,3,,,,,,,,,,
379,,3,0.4885852038860321,0.09459870308637619,0.4373258948326111,0.8833792209625244,0.5378842353820801,,,,,
389,0.18785277009010315,4,,,,,,,,,,
399,0.12273545563220978,4,,,,,,,,,,
409,0.06641089171171188,4,,,,,,,,,,
419,0.11397860944271088,4,,,,,,,,,,
429,0.05521659180521965,4,,,,,,,,,,
439,0.08909716457128525,4,,,,,,,,,,
449,0.13215354084968567,4,,,,,,,,,,
459,0.09811730682849884,4,,,,,,,,,,
469,0.08528848737478256,4,,,,,,,,,,
474,,4,0.518512487411499,0.08957205712795258,0.46518105268478394,0.8915117383003235,0.5596446394920349,,,,,
475,,5,,,,,,0.518512487411499,0.08957205712795258,0.8915117383003235,0.46518105268478394,0.5596446394920349
