step,train_loss,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,0.966898500919342,0,,,,,,
19,0.6978023648262024,0,,,,,,
29,0.5889648199081421,0,,,,,,
39,0.7360839247703552,0,,,,,,
49,0.4168565571308136,0,,,,,,
59,0.23751875758171082,0,,,,,,
69,0.40847212076187134,0,,,,,,
79,0.4097963869571686,0,,,,,,
83,,0,0.7824184894561768,0.08764884620904922,0.30563223361968994,0.16455696523189545,0.2354229837656021,
89,0.28690648078918457,1,,,,,,
99,0.2127557098865509,1,,,,,,
109,0.2515387237071991,1,,,,,,
119,0.2592053711414337,1,,,,,,
129,0.20762567222118378,1,,,,,,
139,0.22357921302318573,1,,,,,,
149,0.23854568600654602,1,,,,,,
159,0.22226621210575104,1,,,,,,
167,,1,0.8060558438301086,0.08571757376194,0.343434602022171,0.2721518874168396,0.33562037348747253,
169,0.16927284002304077,2,,,,,,
179,0.1807488203048706,2,,,,,,
189,0.1961776465177536,2,,,,,,
199,0.15026168525218964,2,,,,,,
209,0.12469778209924698,2,,,,,,
219,0.133505716919899,2,,,,,,
229,0.10927776247262955,2,,,,,,
239,0.18603505194187164,2,,,,,,
249,0.07900026440620422,2,,,,,,
251,,2,0.8212853074073792,0.0834973007440567,0.3777841627597809,0.3291139304637909,0.38308191299438477,
259,0.10145510733127594,3,,,,,,
269,0.0549033097922802,3,,,,,,
279,0.10845571756362915,3,,,,,,
289,0.08543898910284042,3,,,,,,
299,0.09206037223339081,3,,,,,,
309,0.11574243754148483,3,,,,,,
319,0.08290917426347733,3,,,,,,
329,0.10182138532400131,3,,,,,,
335,,3,0.8268552422523499,0.08454173058271408,0.4063985347747803,0.3670886158943176,0.4202834963798523,
339,0.14114774763584137,4,,,,,,
349,0.0937814861536026,4,,,,,,
359,0.1386728286743164,4,,,,,,
369,0.20927943289279938,4,,,,,,
379,0.31377965211868286,4,,,,,,
389,0.3193441927433014,4,,,,,,
399,0.09582135826349258,4,,,,,,
409,0.12330009043216705,4,,,,,,
419,0.15277992188930511,4,,,,,,
419,,4,0.814507246017456,0.07887071371078491,0.3695653975009918,0.32278481125831604,0.3846169412136078,
420,,5,,,,,,0.08454173058271408
