train_loss,step,epoch,val_qa_sas,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score
0.3392690420150757,9,0,,,,,
0.31936362385749817,19,0,,,,,
0.2381829172372818,29,0,,,,,
0.15570156276226044,39,0,,,,,
0.1912657916545868,49,0,,,,,
0.18443122506141663,59,0,,,,,
0.11158086359500885,69,0,,,,,
0.1097453236579895,79,0,,,,,
0.10158234089612961,89,0,,,,,
0.25276100635528564,99,0,,,,,
0.17492559552192688,109,0,,,,,
,117,0,0.5064314603805542,0.380952388048172,0.4385054409503937,0.10689465701580048,0.8705925941467285
0.12151183933019638,119,1,,,,,
0.1850259006023407,129,1,,,,,
0.305187463760376,139,1,,,,,
0.1176740899682045,149,1,,,,,
0.40547654032707214,159,1,,,,,
0.2402963489294052,169,1,,,,,
0.3636150062084198,179,1,,,,,
0.10274522751569748,189,1,,,,,
0.14119845628738403,199,1,,,,,
0.09535068273544312,209,1,,,,,
0.07495272159576416,219,1,,,,,
0.10849964618682861,229,1,,,,,
,235,1,0.5550803542137146,0.4476190507411957,0.4988766014575958,0.0986737310886383,0.8851752877235413
0.2413162738084793,239,2,,,,,
0.11312325298786163,249,2,,,,,
0.22022081911563873,259,2,,,,,
0.12160173058509827,269,2,,,,,
0.15901359915733337,279,2,,,,,
0.29430997371673584,289,2,,,,,
0.11252602934837341,299,2,,,,,
0.27106931805610657,309,2,,,,,
0.10313116759061813,319,2,,,,,
0.061858028173446655,329,2,,,,,
0.11051918566226959,339,2,,,,,
0.2256430834531784,349,2,,,,,
,353,2,0.5800804495811462,0.48380953073501587,0.5327188372612,0.0917142853140831,0.8926734328269958
0.11095205694437027,359,3,,,,,
0.1524258702993393,369,3,,,,,
0.09950075298547745,379,3,,,,,
0.2292194813489914,389,3,,,,,
0.06897011399269104,399,3,,,,,
0.08160460740327835,409,3,,,,,
0.1254107505083084,419,3,,,,,
0.08903580904006958,429,3,,,,,
0.076204814016819,439,3,,,,,
0.0800277441740036,449,3,,,,,
0.09401019662618637,459,3,,,,,
0.07545977085828781,469,3,,,,,
,471,3,0.5995935797691345,0.5047619342803955,0.5541842579841614,0.08890952914953232,0.8980209231376648
0.10330740362405777,479,4,,,,,
0.28265225887298584,489,4,,,,,
0.042987700551748276,499,4,,,,,
0.07636720687150955,509,4,,,,,
0.12196321040391922,519,4,,,,,
0.07243502885103226,529,4,,,,,
0.3317301273345947,539,4,,,,,
0.09645628184080124,549,4,,,,,
0.07203950732946396,559,4,,,,,
0.08107493817806244,569,4,,,,,
