step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,test_loss
9,0.09691479057073593,0,,,,,,
19,0.07003989070653915,0,,,,,,
29,0.09824973344802856,0,,,,,,
39,0.08918964862823486,0,,,,,,
49,0.052611444145441055,0,,,,,,
59,0.0359971858561039,0,,,,,,
69,0.04352930188179016,0,,,,,,
79,0.041377149522304535,0,,,,,,
89,0.08731915801763535,0,,,,,,
99,0.05640904977917671,0,,,,,,
109,0.0621100477874279,0,,,,,,
119,0.030493689700961113,0,,,,,,
129,0.04247229918837547,0,,,,,,
139,0.03366461396217346,0,,,,,,
149,0.041872572153806686,0,,,,,,
159,0.04126375913619995,0,,,,,,
169,0.04741552472114563,0,,,,,,
179,0.033019423484802246,0,,,,,,
189,0.035388343036174774,0,,,,,,
199,0.05706285685300827,0,,,,,,
209,0.07226217538118362,0,,,,,,
219,0.0497002899646759,0,,,,,,
229,0.04893168807029724,0,,,,,,
239,0.04324968159198761,0,,,,,,
249,0.029078379273414612,0,,,,,,
259,0.04292164742946625,0,,,,,,
269,0.032722752541303635,0,,,,,,
279,0.042240291833877563,0,,,,,,
289,0.05608697980642319,0,,,,,,
299,0.023693814873695374,0,,,,,,
309,0.033789150416851044,0,,,,,,
319,0.04203520715236664,0,,,,,,
329,0.05095532909035683,0,,,,,,
339,0.04084082692861557,0,,,,,,
349,0.04299527779221535,0,,,,,,
359,0.044031549245119095,0,,,,,,
369,0.03612181916832924,0,,,,,,
379,0.03346635028719902,0,,,,,,
389,0.056766532361507416,0,,,,,,
399,0.025158897042274475,0,,,,,,
409,0.0407373420894146,0,,,,,,
419,0.02761153317987919,0,,,,,,
421,,0,0.3467860817909241,0.273791640996933,0.18881118297576904,0.8319562077522278,0.09883179515600204,
429,0.03592030331492424,1,,,,,,
439,0.039513520896434784,1,,,,,,
449,0.03561348095536232,1,,,,,,
459,0.038117896765470505,1,,,,,,
469,0.03279303014278412,1,,,,,,
479,0.03565021604299545,1,,,,,,
489,0.05087045580148697,1,,,,,,
499,0.028539059683680534,1,,,,,,
509,0.03831380978226662,1,,,,,,
519,0.04867660254240036,1,,,,,,
529,0.0221694502979517,1,,,,,,
539,0.031320057809352875,1,,,,,,
549,0.04447834938764572,1,,,,,,
559,0.0349435918033123,1,,,,,,
569,0.05162863805890083,1,,,,,,
579,0.023564184084534645,1,,,,,,
589,0.04796086251735687,1,,,,,,
599,0.048456039279699326,1,,,,,,
609,0.062233954668045044,1,,,,,,
619,0.038315437734127045,1,,,,,,
629,0.0696134865283966,1,,,,,,
639,0.031653039157390594,1,,,,,,
