step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
9,0.3004612922668457,0,,,,,,
19,0.15690602362155914,0,,,,,,
29,0.11312927305698395,0,,,,,,
39,0.2209615558385849,0,,,,,,
49,0.16517919301986694,0,,,,,,
59,1.7615329027175903,0,,,,,,
69,0.38186919689178467,0,,,,,,
79,0.1940440982580185,0,,,,,,
89,0.17112909257411957,0,,,,,,
99,0.169852152466774,0,,,,,,
109,0.10823514312505722,0,,,,,,
109,,0,0.13195109367370605,0.8822219967842102,0.2716049253940582,0.5837519764900208,0.6478002071380615,
119,0.19513173401355743,1,,,,,,
129,0.1471487432718277,1,,,,,,
139,0.23309820890426636,1,,,,,,
149,0.3177233636379242,1,,,,,,
159,0.19389653205871582,1,,,,,,
169,0.2828119397163391,1,,,,,,
179,0.12868468463420868,1,,,,,,
189,0.12482021749019623,1,,,,,,
199,0.15572138130664825,1,,,,,,
209,0.09951990097761154,1,,,,,,
219,0.6506935954093933,1,,,,,,
219,,1,0.122748464345932,0.9034225344657898,0.3580246865749359,0.6487618684768677,0.7039328813552856,
229,0.13484877347946167,2,,,,,,
239,0.09101493656635284,2,,,,,,
249,0.12611106038093567,2,,,,,,
259,0.1665956974029541,2,,,,,,
269,0.12002643197774887,2,,,,,,
279,0.15727536380290985,2,,,,,,
289,0.08498913049697876,2,,,,,,
299,0.06492719054222107,2,,,,,,
309,0.09700437635183334,2,,,,,,
319,0.05567226931452751,2,,,,,,
329,0.6954449415206909,2,,,,,,
329,,2,0.11809247732162476,0.9140066504478455,0.3580246865749359,0.6785023212432861,0.7315959334373474,
339,0.08637727051973343,3,,,,,,
349,0.05997074395418167,3,,,,,,
359,0.08231767266988754,3,,,,,,
369,0.0877426415681839,3,,,,,,
379,0.08452469110488892,3,,,,,,
389,0.08472949266433716,3,,,,,,
399,0.062128618359565735,3,,,,,,
409,0.04095936194062233,3,,,,,,
419,0.06251943856477737,3,,,,,,
429,0.03384093567728996,3,,,,,,
439,0.7393887042999268,3,,,,,,
439,,3,0.1176714301109314,0.9118749499320984,0.35185185074806213,0.6733951568603516,0.7261428833007812,
449,0.05792923644185066,4,,,,,,
459,0.04137116298079491,4,,,,,,
469,0.06248380243778229,4,,,,,,
479,0.0476221926510334,4,,,,,,
489,0.05307960882782936,4,,,,,,
499,0.030533380806446075,4,,,,,,
509,0.04515288770198822,4,,,,,,
519,0.021246865391731262,4,,,,,,
529,0.033391136676073074,4,,,,,,
539,0.02000223845243454,4,,,,,,
549,0.3358251452445984,4,,,,,,
549,,4,0.12381286174058914,0.9103692770004272,0.37037035822868347,0.6698138117790222,0.7270988821983337,
550,,5,,,,,,0.12381286174058914
