epoch,step,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,val_qa_bert_score,test_loss
0,9,0.09924567490816116,,,,,,
0,19,0.07004154473543167,,,,,,
0,29,0.06049680337309837,,,,,,
0,39,0.09464055299758911,,,,,,
0,49,0.041735295206308365,,,,,,
0,59,0.06292825937271118,,,,,,
0,69,0.05042899027466774,,,,,,
0,79,0.06141630932688713,,,,,,
0,89,0.0689014419913292,,,,,,
0,99,0.06842957437038422,,,,,,
0,109,0.04951094835996628,,,,,,
0,119,0.06879539042711258,,,,,,
0,129,0.06488408148288727,,,,,,
0,139,0.052781108766794205,,,,,,
0,149,0.07351759076118469,,,,,,
0,159,0.0625835657119751,,,,,,
0,169,0.055308692157268524,,,,,,
0,179,0.05856791138648987,,,,,,
0,180,,0.10449495911598206,0.4690829813480377,0.4033549427986145,0.34032633900642395,0.8666455149650574,
1,189,0.04651404917240143,,,,,,
1,199,0.06728213280439377,,,,,,
1,209,0.06493353098630905,,,,,,
1,219,0.04094008728861809,,,,,,
1,229,0.050334397703409195,,,,,,
1,239,0.04220398887991905,,,,,,
1,249,0.04569917172193527,,,,,,
1,259,0.048315417021512985,,,,,,
1,269,0.04139362648129463,,,,,,
1,279,0.06566130369901657,,,,,,
1,289,0.03166789188981056,,,,,,
1,299,0.0538228340446949,,,,,,
1,309,0.05506499856710434,,,,,,
1,319,0.053277626633644104,,,,,,
1,329,0.0344650000333786,,,,,,
1,339,0.03301714360713959,,,,,,
1,349,0.046787332743406296,,,,,,
1,359,0.043598927557468414,,,,,,
1,361,,0.07525715976953506,0.6912379860877991,0.6609746813774109,0.6247086524963379,0.9230489730834961,
2,369,0.043896064162254333,,,,,,
2,379,0.035378679633140564,,,,,,
2,389,0.041807133704423904,,,,,,
2,399,0.02738736756145954,,,,,,
2,409,0.03295021876692772,,,,,,
2,419,0.032070498913526535,,,,,,
2,429,0.02865642122924328,,,,,,
2,439,0.032837480306625366,,,,,,
2,449,0.043676190078258514,,,,,,
2,459,0.04659667983651161,,,,,,
2,469,0.03480590879917145,,,,,,
2,479,0.032177794724702835,,,,,,
2,489,0.033169642090797424,,,,,,
2,499,0.030226917937397957,,,,,,
2,509,0.027468234300613403,,,,,,
2,519,0.01551690325140953,,,,,,
2,529,0.03669576719403267,,,,,,
2,539,0.011745106428861618,,,,,,
2,542,,0.0854058489203453,0.6904636025428772,0.6596940755844116,0.6247086524963379,0.9230989813804626,
3,549,0.011589615605771542,,,,,,
3,559,0.01390046440064907,,,,,,
3,569,0.013182321563363075,,,,,,
3,579,0.03013448975980282,,,,,,
3,589,0.03790127485990524,,,,,,
3,599,0.025797974318265915,,,,,,
3,609,0.01507293339818716,,,,,,
3,619,0.02970229834318161,,,,,,
3,629,0.011552129872143269,,,,,,
3,639,0.01269571017473936,,,,,,
3,649,0.022273380309343338,,,,,,
3,659,0.013035099022090435,,,,,,
3,669,0.012390350922942162,,,,,,
3,679,0.014092816039919853,,,,,,
3,689,0.02628244459629059,,,,,,
3,699,0.0382474921643734,,,,,,
3,709,0.017589492723345757,,,,,,
3,719,0.010105093941092491,,,,,,
3,723,,0.1028386652469635,0.6980047225952148,0.6694018840789795,0.6340326070785522,0.9250025153160095,
4,729,0.007383872754871845,,,,,,
4,739,0.00403260113671422,,,,,,
4,749,0.02442452684044838,,,,,,
4,759,0.0628073588013649,,,,,,
4,769,0.007742312271147966,,,,,,
4,779,0.002154827816411853,,,,,,
4,789,0.005500439088791609,,,,,,
4,799,0.008109095506370068,,,,,,
4,809,0.010231108404695988,,,,,,
4,819,0.008021284826099873,,,,,,
4,829,0.009234534576535225,,,,,,
4,839,0.0016240337863564491,,,,,,
4,849,0.004397942218929529,,,,,,
4,859,0.003483477281406522,,,,,,
4,869,0.005826323758810759,,,,,,
4,879,0.0038376927841454744,,,,,,
4,889,0.0016502218786627054,,,,,,
4,899,0.012896127998828888,,,,,,
4,904,,0.14017686247825623,0.682235836982727,0.6504197716712952,0.6107226014137268,0.9207386374473572,
5,905,,,,,,,0.14017686247825623
