epoch,step,train_loss,val_qa_em,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,test_loss
0,9,0.09554177522659302,,,,,,
0,19,0.07511519640684128,,,,,,
0,29,0.059280164539813995,,,,,,
0,39,0.09105809032917023,,,,,,
0,49,0.08365069329738617,,,,,,
0,59,0.04258193075656891,,,,,,
0,69,0.09232786297798157,,,,,,
0,79,0.08859230577945709,,,,,,
0,89,0.08998299390077591,,,,,,
0,99,0.058268751949071884,,,,,,
0,109,0.04971656948328018,,,,,,
0,119,0.074826180934906,,,,,,
0,129,0.06812907755374908,,,,,,
0,139,0.05142519250512123,,,,,,
0,149,0.06636890023946762,,,,,,
0,159,0.07383746653795242,,,,,,
0,169,0.06474101543426514,,,,,,
0,179,0.06768127530813217,,,,,,
0,189,0.05276084691286087,,,,,,
0,199,0.08891347795724869,,,,,,
0,209,0.05407316982746124,,,,,,
0,219,0.0377265103161335,,,,,,
0,229,0.04577338695526123,,,,,,
0,239,0.08066699653863907,,,,,,
0,239,,0.20040899515151978,0.12013685703277588,0.8333078622817993,0.2783995568752289,0.36875176429748535,
1,249,0.07328641414642334,,,,,,
1,259,0.053745925426483154,,,,,,
1,269,0.047035761177539825,,,,,,
1,279,0.05287981033325195,,,,,,
1,289,0.05533350259065628,,,,,,
1,299,0.046129681169986725,,,,,,
1,309,0.04797208681702614,,,,,,
1,319,0.07248077541589737,,,,,,
1,329,0.050524529069662094,,,,,,
1,339,0.04289830103516579,,,,,,
1,349,0.05637779459357262,,,,,,
1,359,0.08928287029266357,,,,,,
1,369,0.060936469584703445,,,,,,
1,379,0.04443681612610817,,,,,,
1,389,0.06687142699956894,,,,,,
1,399,0.036820922046899796,,,,,,
1,409,0.048747505992650986,,,,,,
1,419,0.04012984782457352,,,,,,
1,429,0.05425748601555824,,,,,,
1,439,0.03688274696469307,,,,,,
1,449,0.04077053442597389,,,,,,
1,459,0.08762329071760178,,,,,,
1,469,0.05052171275019646,,,,,,
1,479,0.046470899134874344,,,,,,
1,479,,0.21472392976284027,0.10781362652778625,0.8369409441947937,0.2931177318096161,0.37925398349761963,
2,489,0.06560581922531128,,,,,,
2,499,0.050422411412000656,,,,,,
2,509,0.04245434328913689,,,,,,
2,519,0.04552865028381348,,,,,,
2,529,0.05117204785346985,,,,,,
2,539,0.04200137034058571,,,,,,
2,549,0.04454223811626434,,,,,,
2,559,0.058993589133024216,,,,,,
2,569,0.04624710604548454,,,,,,
2,579,0.0386846698820591,,,,,,
2,589,0.04232855141162872,,,,,,
2,599,0.08032774180173874,,,,,,
2,609,0.054349370300769806,,,,,,
2,619,0.040043510496616364,,,,,,
2,629,0.05756700411438942,,,,,,
2,639,0.03293239697813988,,,,,,
2,649,0.04179099574685097,,,,,,
2,659,0.03676407411694527,,,,,,
2,669,0.04816582053899765,,,,,,
2,679,0.03250947967171669,,,,,,
2,689,0.03623221442103386,,,,,,
2,699,0.07296159118413925,,,,,,
2,709,0.043962977826595306,,,,,,
2,719,0.03949239104986191,,,,,,
2,719,,0.22494886815547943,0.1180192306637764,0.8387395143508911,0.3009715974330902,0.38379761576652527,
3,729,0.059582628309726715,,,,,,
3,739,0.045793402940034866,,,,,,
3,749,0.039234012365341187,,,,,,
3,759,0.041996218264102936,,,,,,
3,769,0.04413711279630661,,,,,,
3,779,0.039751727133989334,,,,,,
3,789,0.03892604634165764,,,,,,
3,799,0.051298994570970535,,,,,,
3,809,0.04079672321677208,,,,,,
3,819,0.035816825926303864,,,,,,
3,829,0.038488488644361496,,,,,,
3,839,0.06545623391866684,,,,,,
3,849,0.0447707362473011,,,,,,
3,859,0.03146263584494591,,,,,,
3,869,0.04340168088674545,,,,,,
3,879,0.030428417026996613,,,,,,
3,889,0.030895134434103966,,,,,,
3,899,0.03183604031801224,,,,,,
3,909,0.03708923980593681,,,,,,
3,919,0.02758297137916088,,,,,,
3,929,0.03158997744321823,,,,,,
3,939,0.04096163436770439,,,,,,
3,949,0.04101971164345741,,,,,,
3,959,0.027933480218052864,,,,,,
3,959,,0.2474437654018402,0.14871178567409515,0.8416703343391418,0.3149597644805908,0.3895214796066284,
4,969,0.0670391097664833,,,,,,
4,979,0.05194533243775368,,,,,,
4,989,0.04665062949061394,,,,,,
4,999,0.04782570153474808,,,,,,
4,1009,0.04795682057738304,,,,,,
4,1019,0.046362411230802536,,,,,,
4,1029,0.05230702459812164,,,,,,
4,1039,0.055835094302892685,,,,,,
4,1049,0.0362318679690361,,,,,,
4,1059,0.03827887028455734,,,,,,
4,1069,0.042790450155735016,,,,,,
4,1079,0.08989983797073364,,,,,,
4,1089,0.04886883124709129,,,,,,
4,1099,0.04963858053088188,,,,,,
4,1109,0.05857161805033684,,,,,,
4,1119,0.0421270914375782,,,,,,
4,1129,0.033268172293901443,,,,,,
4,1139,0.045591238886117935,,,,,,
4,1149,0.05157282575964928,,,,,,
4,1159,0.028219088912010193,,,,,,
4,1169,0.04368039220571518,,,,,,
4,1179,0.07913277298212051,,,,,,
4,1189,0.04308808594942093,,,,,,
4,1199,0.03793055936694145,,,,,,
4,1199,,0.25153374671936035,0.12606580555438995,0.8427141904830933,0.32156550884246826,0.3987254202365875,
5,1200,,,,,,,0.12606580555438995
