epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_sas
0,9,0.41019827127456665,,,,,,,,,,
0,19,0.3985695242881775,,,,,,,,,,
0,29,0.15264233946800232,,,,,,,,,,
0,39,0.17198777198791504,,,,,,,,,,
0,49,0.12193801254034042,,,,,,,,,,
0,59,0.3449048399925232,,,,,,,,,,
0,69,0.22649429738521576,,,,,,,,,,
0,79,0.2961634695529938,,,,,,,,,,
0,89,0.10698086768388748,,,,,,,,,,
0,99,0.15156202018260956,,,,,,,,,,
0,109,0.1762307584285736,,,,,,,,,,
0,119,0.10636386275291443,,,,,,,,,,
0,120,,0.5307855606079102,0.5734677910804749,0.9021161198616028,0.6083937287330627,0.08114000409841537,,,,,
1,129,0.1004217341542244,,,,,,,,,,
1,139,0.16413994133472443,,,,,,,,,,
1,149,0.08330849558115005,,,,,,,,,,
1,159,0.1573343276977539,,,,,,,,,,
1,169,0.10443159937858582,,,,,,,,,,
1,179,0.10048231482505798,,,,,,,,,,
1,189,0.1288086473941803,,,,,,,,,,
1,199,0.13232499361038208,,,,,,,,,,
1,209,0.3267742693424225,,,,,,,,,,
1,219,0.09360752999782562,,,,,,,,,,
1,229,0.07650230824947357,,,,,,,,,,
1,239,0.08978629857301712,,,,,,,,,,
1,241,,0.5796178579330444,0.6222014427185059,0.9145295023918152,0.6521093845367432,0.07384764403104782,,,,,
2,249,0.2698310315608978,,,,,,,,,,
2,259,0.09702054411172867,,,,,,,,,,
2,269,0.10532454401254654,,,,,,,,,,
2,279,0.051002878695726395,,,,,,,,,,
2,289,0.0870615690946579,,,,,,,,,,
2,299,0.06272865831851959,,,,,,,,,,
2,309,0.1016538143157959,,,,,,,,,,
2,319,0.4101886451244354,,,,,,,,,,
2,329,0.22412258386611938,,,,,,,,,,
2,339,0.05706751346588135,,,,,,,,,,
2,349,0.31797850131988525,,,,,,,,,,
2,359,0.11585988104343414,,,,,,,,,,
2,362,,0.6114649772644043,0.6529018878936768,0.9215219616889954,0.6787082552909851,0.06950461119413376,,,,,
3,369,0.16603945195674896,,,,,,,,,,
3,379,0.0773598700761795,,,,,,,,,,
3,389,0.06687959283590317,,,,,,,,,,
3,399,0.13295137882232666,,,,,,,,,,
3,409,0.09991536289453506,,,,,,,,,,
3,419,0.0606633722782135,,,,,,,,,,
3,429,0.048723988234996796,,,,,,,,,,
3,439,0.060425397008657455,,,,,,,,,,
3,449,0.20539408922195435,,,,,,,,,,
3,459,0.0602823942899704,,,,,,,,,,
3,469,0.07616589218378067,,,,,,,,,,
3,479,0.08407386392354965,,,,,,,,,,
3,483,,0.6199575662612915,0.6603023409843445,0.9237216114997864,0.6852596998214722,0.06813468784093857,,,,,
4,489,0.1498565524816513,,,,,,,,,,
4,499,0.11249668896198273,,,,,,,,,,
4,509,0.07314538955688477,,,,,,,,,,
4,519,0.09509766101837158,,,,,,,,,,
4,529,0.08482914417982101,,,,,,,,,,
4,539,0.07315872609615326,,,,,,,,,,
4,549,0.22745659947395325,,,,,,,,,,
4,559,0.10152258723974228,,,,,,,,,,
4,569,0.08337696641683578,,,,,,,,,,
4,579,0.11808917671442032,,,,,,,,,,
4,589,0.04131343215703964,,,,,,,,,,
4,599,0.17846865952014923,,,,,,,,,,
4,604,,0.6199575662612915,0.6601535677909851,0.9230412840843201,0.6859303712844849,0.06797843426465988,,,,,
5,605,,,,,,,0.06797843426465988,0.6199575662612915,0.6601535677909851,0.9230412840843201,0.6859303712844849
