step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_loss
9,3.171757936477661,0,,,,,,,,,,
19,1.7010225057601929,0,,,,,,,,,,
29,0.9291238188743591,0,,,,,,,,,,
39,1.4849179983139038,0,,,,,,,,,,
49,1.88469398021698,0,,,,,,,,,,
49,,0,0.5768648386001587,0.8730860948562622,0.60614013671875,0.40243902802467346,1.6843818426132202,,,,,
59,1.3072046041488647,1,,,,,,,,,,
69,1.0782009363174438,1,,,,,,,,,,
79,1.4747573137283325,1,,,,,,,,,,
89,1.90606689453125,1,,,,,,,,,,
99,2.1159253120422363,1,,,,,,,,,,
99,,1,0.6135372519493103,0.8853164911270142,0.635040283203125,0.45528456568717957,1.5607595443725586,,,,,
109,1.563736915588379,2,,,,,,,,,,
119,1.2630261182785034,2,,,,,,,,,,
129,0.6711617708206177,2,,,,,,,,,,
139,0.9390677809715271,2,,,,,,,,,,
149,0.9165835380554199,2,,,,,,,,,,
149,,2,0.6254227161407471,0.8899186849594116,0.646453857421875,0.46341463923454285,1.5188905000686646,,,,,
159,1.8270330429077148,3,,,,,,,,,,
169,1.1789333820343018,3,,,,,,,,,,
179,1.1715317964553833,3,,,,,,,,,,
189,1.2793043851852417,3,,,,,,,,,,
199,2.015354871749878,3,,,,,,,,,,
199,,3,0.6318446397781372,0.8896689414978027,0.6563568115234375,0.4593496024608612,1.484423041343689,,,,,
209,0.8935679197311401,4,,,,,,,,,,
219,1.6003292798995972,4,,,,,,,,,,
229,1.1857516765594482,4,,,,,,,,,,
239,1.0356050729751587,4,,,,,,,,,,
249,1.0601407289505005,4,,,,,,,,,,
249,,4,0.6178815960884094,0.8858693838119507,0.6414794921875,0.4593496024608612,1.4783704280853271,,,,,
250,,5,,,,,,0.6178815960884094,0.8858693838119507,0.4593496024608612,0.6414794921875,1.4783704280853271
