step,epoch,train_loss,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss
9,0,1.2890377044677734,,,,,,,,,,
19,0,0.9466170072555542,,,,,,,,,,
29,0,0.5219385623931885,,,,,,,,,,
39,0,2.9789772033691406,,,,,,,,,,
49,0,1.5350908041000366,,,,,,,,,,
54,0,,1.113579273223877,0.5187766551971436,0.3856505751609802,0.8367622494697571,0.09876543283462524,,,,,
59,1,0.36121252179145813,,,,,,,,,,
69,1,1.239349126815796,,,,,,,,,,
79,1,2.917278528213501,,,,,,,,,,
89,1,0.8788502216339111,,,,,,,,,,
99,1,1.1945935487747192,,,,,,,,,,
109,1,0.6666169762611389,,,,,,,,,,
109,1,,1.077147364616394,0.5457430481910706,0.4221610426902771,0.846896767616272,0.12962962687015533,,,,,
119,2,1.5299421548843384,,,,,,,,,,
129,2,0.7231204509735107,,,,,,,,,,
139,2,1.2368746995925903,,,,,,,,,,
149,2,1.1668715476989746,,,,,,,,,,
159,2,0.9287474751472473,,,,,,,,,,
164,2,,1.05875563621521,0.5348233580589294,0.41481754183769226,0.8458259105682373,0.12345679104328156,,,,,
169,3,1.2795259952545166,,,,,,,,,,
179,3,1.075492262840271,,,,,,,,,,
189,3,0.9059056639671326,,,,,,,,,,
199,3,0.6376699209213257,,,,,,,,,,
209,3,1.5648144483566284,,,,,,,,,,
219,3,1.1402885913848877,,,,,,,,,,
219,3,,1.0420951843261719,0.55126953125,0.4305894076824188,0.8492593169212341,0.15432098507881165,,,,,
229,4,1.701383113861084,,,,,,,,,,
239,4,0.5820989608764648,,,,,,,,,,
249,4,0.9546608328819275,,,,,,,,,,
259,4,0.8228689432144165,,,,,,,,,,
269,4,1.2572654485702515,,,,,,,,,,
274,4,,1.0383105278015137,0.5560191869735718,0.43714767694473267,0.851984441280365,0.14814814925193787,,,,,
275,5,,,,,,,0.851984441280365,0.14814814925193787,0.5560191869735718,0.43714767694473267,1.0383105278015137
