epoch,step,train_loss,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,test_loss
0,9,0.7239618897438049,,,,,,
0,19,0.3848525285720825,,,,,,
0,29,1.0079416036605835,,,,,,
0,39,0.9108166098594666,,,,,,
0,49,0.8126453757286072,,,,,,
0,59,2.1571133136749268,,,,,,
0,69,13.176630973815918,,,,,,
0,79,0.17909938097000122,,,,,,
0,89,0.5301811099052429,,,,,,
0,96,,0.5320263504981995,0.13750393688678741,0.463532954454422,0.8470529913902283,0.3031674325466156,
1,99,0.2734885811805725,,,,,,
1,109,0.29215553402900696,,,,,,
1,119,1.5237008333206177,,,,,,
1,129,0.3632323145866394,,,,,,
1,139,0.39558300375938416,,,,,,
1,149,0.1535552442073822,,,,,,
1,159,0.6404349207878113,,,,,,
1,169,0.12048447132110596,,,,,,
1,179,0.11791672557592392,,,,,,
1,189,0.7850754857063293,,,,,,
1,193,,0.5640512704849243,0.12642695009708405,0.5110169649124146,0.8619095683097839,0.3891402781009674,
2,199,0.5509927868843079,,,,,,
2,209,0.16069503128528595,,,,,,
2,219,0.5103146433830261,,,,,,
2,229,0.2647985816001892,,,,,,
2,239,0.500210165977478,,,,,,
2,249,0.09707175195217133,,,,,,
2,259,0.21173915266990662,,,,,,
2,269,0.2785196304321289,,,,,,
2,279,0.19553537666797638,,,,,,
2,289,0.4215700030326843,,,,,,
2,290,,0.5767300724983215,0.1299367994070053,0.5290195345878601,0.8676806688308716,0.39819005131721497,
3,299,0.26205161213874817,,,,,,
3,309,0.06832949072122574,,,,,,
3,319,0.07635650038719177,,,,,,
3,329,0.05160291865468025,,,,,,
3,339,0.07696479558944702,,,,,,
3,349,0.39116519689559937,,,,,,
3,359,0.2843979001045227,,,,,,
3,369,0.19367676973342896,,,,,,
3,379,0.11916843801736832,,,,,,
3,387,,0.5842347741127014,0.13598008453845978,0.5364190936088562,0.8711032271385193,0.40271493792533875,
4,389,0.14204633235931396,,,,,,
4,399,0.04559764638543129,,,,,,
4,409,0.052314113825559616,,,,,,
4,419,0.03033093363046646,,,,,,
4,429,0.08833442628383636,,,,,,
4,439,0.10016217827796936,,,,,,
4,449,0.018553130328655243,,,,,,
4,459,0.034804608672857285,,,,,,
4,469,0.10275028645992279,,,,,,
4,479,0.046103332191705704,,,,,,
4,484,,0.5974663496017456,0.15148338675498962,0.557548463344574,0.8775427937507629,0.42533937096595764,
5,485,,,,,,,0.15148338675498962
