step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
9,2.2208735942840576,0,,,,,,,,,,
19,2.1259942054748535,0,,,,,,,,,,
29,2.5046050548553467,0,,,,,,,,,,
39,1.6912301778793335,0,,,,,,,,,,
49,2.580523729324341,0,,,,,,,,,,
51,,0,1.9502363204956055,0.762231707572937,0.15825915336608887,0.0325581394135952,0.297576904296875,,,,,
59,2.1159660816192627,1,,,,,,,,,,
69,2.077406406402588,1,,,,,,,,,,
79,2.162231206893921,1,,,,,,,,,,
89,1.9367717504501343,1,,,,,,,,,,
99,2.7719969749450684,1,,,,,,,,,,
103,,1,1.8680120706558228,0.7790082097053528,0.20882156491279602,0.055813953280448914,0.3370753824710846,,,,,
109,1.9187216758728027,2,,,,,,,,,,
119,1.6734977960586548,2,,,,,,,,,,
129,2.007431745529175,2,,,,,,,,,,
139,1.7594941854476929,2,,,,,,,,,,
149,1.9688462018966675,2,,,,,,,,,,
155,,2,1.8132535219192505,0.7899134755134583,0.2441207468509674,0.06976744532585144,0.3808462917804718,,,,,
159,2.119389533996582,3,,,,,,,,,,
169,1.3603367805480957,3,,,,,,,,,,
179,1.519086241722107,3,,,,,,,,,,
189,2.2296977043151855,3,,,,,,,,,,
199,1.6448272466659546,3,,,,,,,,,,
207,,3,1.7863454818725586,0.7941888570785522,0.2599307596683502,0.07441860437393188,0.4134085476398468,,,,,
209,1.9413453340530396,4,,,,,,,,,,
219,1.4925131797790527,4,,,,,,,,,,
229,1.6101398468017578,4,,,,,,,,,,
239,1.2799335718154907,4,,,,,,,,,,
249,1.564941644668579,4,,,,,,,,,,
259,1.1391394138336182,4,,,,,,,,,,
259,,4,1.7737352848052979,0.7975459098815918,0.2757780849933624,0.07441860437393188,0.4189583957195282,,,,,
260,,5,,,,,,0.07441860437393188,0.2757780849933624,0.7975459098815918,1.7737352848052979,0.4189583957195282
