step,train_loss,epoch,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score
9,0.6814758777618408,0,,,,,,,,,,
19,1.0479155778884888,0,,,,,,,,,,
29,1.188098430633545,0,,,,,,,,,,
39,0.9724689722061157,0,,,,,,,,,,
49,1.0546636581420898,0,,,,,,,,,,
52,,0,0.5248647928237915,0.21287128329277039,0.8417941331863403,0.4127652645111084,1.1561661958694458,,,,,
59,1.4050172567367554,1,,,,,,,,,,
69,1.58611261844635,1,,,,,,,,,,
79,1.4581749439239502,1,,,,,,,,,,
89,0.7487683892250061,1,,,,,,,,,,
99,0.9476089477539062,1,,,,,,,,,,
105,,1,0.509108304977417,0.20297029614448547,0.8375816345214844,0.3967321813106537,1.1353001594543457,,,,,
109,1.6234073638916016,2,,,,,,,,,,
119,0.5192803144454956,2,,,,,,,,,,
129,0.9480295777320862,2,,,,,,,,,,
139,1.052574634552002,2,,,,,,,,,,
149,0.7015113234519958,2,,,,,,,,,,
158,,2,0.5009577870368958,0.19306930899620056,0.8348205089569092,0.3871748149394989,1.10938560962677,,,,,
159,1.4477918148040771,3,,,,,,,,,,
169,0.904010534286499,3,,,,,,,,,,
179,1.0187923908233643,3,,,,,,,,,,
189,1.0568928718566895,3,,,,,,,,,,
199,0.7848557829856873,3,,,,,,,,,,
209,1.313734769821167,3,,,,,,,,,,
211,,3,0.504469633102417,0.20792078971862793,0.8357830047607422,0.389692097902298,1.0962251424789429,,,,,
219,1.5547102689743042,4,,,,,,,,,,
229,0.761201798915863,4,,,,,,,,,,
239,0.49004748463630676,4,,,,,,,,,,
249,0.7854106426239014,4,,,,,,,,,,
259,1.3577265739440918,4,,,,,,,,,,
264,,4,0.48781174421310425,0.17326731979846954,0.833497941493988,0.3877778649330139,1.0958499908447266,,,,,
265,,5,,,,,,0.17326731979846954,0.48781174421310425,0.3877778649330139,1.0958499908447266,0.833497941493988
