step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
9,1.6276720762252808,0,,,,,,,,,,
19,0.9079943299293518,0,,,,,,,,,,
29,1.1589146852493286,0,,,,,,,,,,
39,0.7830052375793457,0,,,,,,,,,,
49,0.6610316634178162,0,,,,,,,,,,
59,0.5292066335678101,0,,,,,,,,,,
62,,0,0.2688712179660797,0.5044596791267395,0.7808822989463806,0.19823788106441498,0.24918080866336823,,,,,
69,0.4662237763404846,1,,,,,,,,,,
79,0.509147584438324,1,,,,,,,,,,
89,0.4879641830921173,1,,,,,,,,,,
99,0.5623726844787598,1,,,,,,,,,,
109,0.41374075412750244,1,,,,,,,,,,
119,0.33061671257019043,1,,,,,,,,,,
125,,1,0.34556958079338074,0.41168272495269775,0.8100420832633972,0.28634360432624817,0.33662140369415283,,,,,
129,0.39488333463668823,2,,,,,,,,,,
139,0.390849232673645,2,,,,,,,,,,
149,0.5557330846786499,2,,,,,,,,,,
159,0.3886875808238983,2,,,,,,,,,,
169,0.26201334595680237,2,,,,,,,,,,
179,0.3010540306568146,2,,,,,,,,,,
188,,2,0.3899890184402466,0.35932812094688416,0.8335225582122803,0.33039647340774536,0.3965623080730438,,,,,
189,0.3348360061645508,3,,,,,,,,,,
199,0.39201441407203674,3,,,,,,,,,,
209,0.3902648985385895,3,,,,,,,,,,
219,0.566723644733429,3,,,,,,,,,,
229,0.32951411604881287,3,,,,,,,,,,
239,0.4073541462421417,3,,,,,,,,,,
249,0.4325033128261566,3,,,,,,,,,,
251,,3,0.4065971076488495,0.3239867389202118,0.839059054851532,0.34361234307289124,0.4089621305465698,,,,,
259,0.2877345085144043,4,,,,,,,,,,
269,0.2063879817724228,4,,,,,,,,,,
279,0.29242295026779175,4,,,,,,,,,,
289,0.39590486884117126,4,,,,,,,,,,
299,0.3039427399635315,4,,,,,,,,,,
309,0.41528216004371643,4,,,,,,,,,,
314,,4,0.43153801560401917,0.3257327973842621,0.8403324484825134,0.3700440526008606,0.4272531270980835,,,,,
315,,5,,,,,,0.8403324484825134,0.43153801560401917,0.4272531270980835,0.3700440526008606,0.3257327973842621
