step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas
9,2.53896164894104,0,,,,,,,,,,
19,1.7339574098587036,0,,,,,,,,,,
29,2.4662365913391113,0,,,,,,,,,,
39,2.3056559562683105,0,,,,,,,,,,
49,2.081109046936035,0,,,,,,,,,,
51,,0,1.498071312904358,0.788044273853302,0.20788459479808807,0.06018518656492233,0.3155604898929596,,,,,
59,2.364905595779419,1,,,,,,,,,,
69,1.920724868774414,1,,,,,,,,,,
79,1.8626583814620972,1,,,,,,,,,,
89,2.151182174682617,1,,,,,,,,,,
99,2.2114830017089844,1,,,,,,,,,,
103,,1,1.4399081468582153,0.7997874021530151,0.2568665146827698,0.0972222238779068,0.3605782687664032,,,,,
109,2.067800998687744,2,,,,,,,,,,
119,1.7124654054641724,2,,,,,,,,,,
129,2.217756748199463,2,,,,,,,,,,
139,2.1772749423980713,2,,,,,,,,,,
149,1.9362800121307373,2,,,,,,,,,,
155,,2,1.4138258695602417,0.8126259446144104,0.29786986112594604,0.12962962687015533,0.4024919867515564,,,,,
159,1.1608725786209106,3,,,,,,,,,,
169,1.7872650623321533,3,,,,,,,,,,
179,1.2063913345336914,3,,,,,,,,,,
189,1.6135419607162476,3,,,,,,,,,,
199,1.6685744524002075,3,,,,,,,,,,
207,,3,1.3888280391693115,0.8186367750167847,0.3133460581302643,0.1388888955116272,0.41058349609375,,,,,
209,1.8337600231170654,4,,,,,,,,,,
219,1.948988437652588,4,,,,,,,,,,
229,1.4513565301895142,4,,,,,,,,,,
239,1.681373953819275,4,,,,,,,,,,
249,1.6788431406021118,4,,,,,,,,,,
259,1.5287762880325317,4,,,,,,,,,,
259,,4,1.3824882507324219,0.8215750455856323,0.33004480600357056,0.1388888955116272,0.4212384819984436,,,,,
260,,5,,,,,,0.1388888955116272,0.33004480600357056,0.8215750455856323,1.3824882507324219,0.4212384819984436
